step,step_ms,forward_ms,backward_ms,optimizer_ms
0,1524.639975,127.533444,223.592212,63.203312
1,1472.847395,129.459307,226.347591,57.035983
2,1470.653546,129.200712,225.977715,57.060304
3,1474.962072,129.311645,227.128915,57.533222
4,1471.543222,129.731232,226.907631,56.937642
5,1474.921141,129.720912,225.937173,56.742078
6,1474.939561,129.677241,226.451693,56.587246
7,1475.939229,130.153719,227.332089,56.687817
8,1478.420713,130.008477,227.337009,56.926181
9,1477.791152,130.2095,227.41292,57.034483
10,1479.246437,130.424564,227.44128,56.511325
11,1481.304964,130.329942,227.807956,57.210436
12,1481.403414,130.322692,226.917772,57.220326
13,1480.979557,130.526836,227.360339,56.556485
14,1484.628722,130.530766,228.651441,56.437923
15,1484.338996,131.060985,228.433488,56.608925
16,1484.097773,130.7445,228.178583,56.550205
17,1482.618706,130.908443,227.741595,56.793469
18,1488.758405,131.235178,228.507329,57.066514
19,1489.096401,131.319439,227.99316,56.816678
20,1489.961255,131.436662,228.871695,56.709607
21,1484.825956,131.359131,228.495349,56.581245
22,1493.07366,131.725926,228.836265,56.891101
23,1488.639632,131.283708,228.259055,56.640386
24,1490.507645,131.835769,229.17603,56.548194
25,1490.353025,131.740857,228.215787,57.10683
26,1491.771189,132.041982,229.009011,56.678653
27,1493.600651,131.957602,229.639163,56.56337
28,1496.603224,131.933851,230.329834,56.883776
29,1492.111695,131.973281,228.814318,57.06147
30,1489.377907,131.648606,229.070422,57.469407
31,1490.968635,131.478762,228.249418,56.791895
32,1491.532895,131.242749,229.302937,56.58085
33,1493.845256,131.823809,229.51012,57.08869
34,1494.703611,131.720337,229.582991,57.002319
35,1491.461914,131.775019,228.725456,56.651882
36,1494.432295,132.145454,229.620762,56.938297
37,1498.386765,132.202306,229.497969,56.489399
38,1497.404828,132.051243,229.776615,56.52872
39,1498.270713,132.061453,230.340785,56.759114
40,1495.004795,131.936701,230.532007,56.603532
41,1496.074475,131.751207,229.352657,56.56523
42,1497.030902,132.181185,229.385268,57.182242
43,1497.786935,132.159975,229.389279,56.572041
44,1499.963032,132.185505,229.541701,56.920007
45,1498.197532,132.240736,229.729794,56.746724
46,1497.446328,132.360798,229.618142,57.07984
47,1501.172634,132.417439,229.757904,57.036759
48,1499.371353,132.496271,229.601111,56.498299
49,1496.074125,131.589615,229.922008,56.597451
50,1496.529132,132.315928,230.161211,56.742994
51,1499.351152,131.571985,229.852546,56.729944
52,1499.011406,131.923541,230.494357,56.895757
53,1497.962527,132.270077,230.564319,56.834645
54,1500.606835,132.050422,230.499478,56.741764
55,1500.351479,132.326188,230.533408,56.826935
56,1499.469894,131.868479,230.241403,56.617702
57,1498.862853,131.90358,230.458556,56.659802
58,1499.950712,131.932621,229.952698,56.975937
59,1498.939205,131.970072,230.409975,56.427229
60,1497.937257,131.88147,230.754432,56.815365
61,1500.160946,131.89446,230.301004,56.684752
62,1501.113594,131.995262,230.05923,57.08574
63,1499.558396,132.011582,230.05513,56.768544
64,1498.287383,131.978751,229.928427,56.956228
65,1501.109562,132.223875,230.593389,56.478909
66,1498.989506,132.228167,229.976398,56.499869
67,1497.210055,132.188455,230.09091,56.543061
68,1501.237155,132.378788,230.179062,56.742874
69,1500.451282,132.037203,230.251103,56.614512
70,1500.630274,132.188065,230.382795,56.791345
71,1501.247125,132.46403,231.400003,56.791415
72,1503.378022,132.366489,230.617869,57.063809
73,1503.938222,132.668074,230.781473,56.646832
74,1501.55207,132.134224,229.955588,56.891367
75,1500.96735,132.294817,230.194672,56.472519
76,1502.548018,132.41924,230.784073,56.985858
77,1499.77935,132.617202,230.466307,56.416689
78,1497.346187,132.148424,230.298924,56.651703
79,1502.017488,132.47125,230.940766,56.607521
80,1503.628227,132.498191,231.579167,56.950907
81,1506.784752,132.376928,230.751172,57.151371
82,1502.04797,132.50482,230.465358,56.741503
83,1501.649432,132.368409,230.252613,56.642512
84,1503.922702,132.310707,232.360301,56.962407
85,1505.001462,132.835537,231.391493,56.574341
86,1504.024703,132.673583,230.748712,56.583041
87,1503.175028,132.283497,230.280284,56.887396
88,1503.529616,132.524711,232.030184,56.55424
89,1504.516042,132.721196,231.126699,56.710893
90,1503.075438,132.505241,230.831104,56.536161
91,1502.382515,132.381309,230.348806,56.648662
92,1500.968361,132.269666,230.212483,56.50383
93,1503.220751,132.599603,231.400363,56.561921
94,1506.011209,132.915068,231.558356,56.820115
95,1506.594739,132.294197,230.333734,57.168722
96,1503.828631,132.478051,230.913996,56.798025
97,1504.081743,132.841347,231.593086,56.781385
98,1506.209143,132.595243,231.058587,56.56848
99,1505.342458,132.553522,231.117338,57.105271
100,1506.1226,132.892618,231.22749,56.670352
101,1505.038102,132.593882,230.770632,56.443189
102,1503.073277,132.45717,230.461417,57.08703
103,1503.965836,132.582092,231.251,56.816355
104,1507.88248,132.852057,231.633187,57.031578
105,1504.447792,132.293807,230.571348,57.048779
106,1499.740178,132.565101,230.168163,56.909566
107,1503.370453,132.48716,230.960215,56.889236
108,1504.781578,132.608383,231.511514,57.045469
109,1521.47332,132.885668,231.361513,56.693263
110,1506.526139,132.481301,230.451847,56.581762
111,1502.412265,132.460131,230.608549,56.990179
112,1503.704909,132.729735,232.121155,56.748074
113,1507.185849,133.048211,231.83627,56.993038
114,1506.09001,132.246107,230.774872,58.653268
115,1502.857052,132.631003,232.158636,56.628842
116,1506.406016,133.053971,231.709468,56.563561
117,1505.160873,132.50005,230.532238,56.798385
118,1502.677529,132.530582,230.710321,56.625302
119,1503.770229,132.774826,231.938822,56.5077
120,1507.701688,132.935518,231.063077,56.777815
121,1504.011234,132.45974,230.449136,56.703543
122,1504.274859,132.890528,232.030765,56.680273
123,1506.566908,132.965599,231.441924,56.893907
124,1503.660768,132.531651,230.254163,56.614022
125,1502.178171,132.403589,230.519247,56.659723
126,1503.83716,132.708904,232.074546,56.967118
127,1506.325365,132.800786,231.280711,56.659523
128,1505.530599,132.4703,230.866324,57.042959
129,1503.482255,132.560742,231.288661,56.752975
130,1505.596472,132.694623,231.447364,56.906417
131,1503.952843,132.500241,231.020506,56.570371
132,1503.705488,132.4866,230.307264,56.53043
133,1504.919789,132.574912,231.83133,57.091121
134,1506.526148,132.999269,231.385283,56.642722
135,1504.004864,132.591042,230.857113,56.741564
136,1504.133366,132.574192,230.68108,57.235132
137,1506.134641,132.810076,230.924345,56.926237
138,1506.432645,132.791816,231.446394,56.515569
139,1501.397138,132.48665,230.817293,57.078829
140,1502.463846,132.568912,230.978686,56.722963
141,1504.9738,132.817177,230.717141,56.421128
142,1505.754715,132.241206,231.070537,56.902197
143,1501.793135,132.46157,230.508628,56.842956
144,1502.972885,132.485771,230.729721,56.707923
145,1504.114745,132.556112,231.864881,56.675892
146,1506.455457,132.723394,231.306892,56.697153
147,1502.145581,132.524452,230.160991,56.525401
148,1504.971791,132.796426,231.507435,56.389458
149,1506.439505,133.00343,230.965185,56.662162
150,1505.755164,132.579102,231.129529,56.948717
151,1500.929739,132.43426,230.558338,56.439268
152,1505.228675,133.06525,231.873891,56.678973
153,1507.74522,133.01117,231.717669,56.917207
154,1503.876901,132.832457,230.391175,56.46674
155,1500.043614,132.234607,230.364804,56.620412
156,1502.218212,132.476141,231.274991,56.828646
157,1506.412976,132.679283,231.111118,56.790405
158,1505.864066,132.725445,230.783822,56.721964
159,1501.136554,132.669864,230.685701,56.634542
160,1503.748209,132.46942,231.293981,57.02333
161,1506.896984,132.798386,231.78557,57.041048
162,1504.767357,132.388439,230.470337,56.460709
163,1501.907327,132.463669,230.532219,56.552961
164,1501.885927,132.520861,230.900764,56.575751
165,1504.021894,132.575452,231.569085,56.641652
166,1506.358075,132.718724,231.083638,56.692253
167,1501.5605,132.557492,230.289413,57.08304
168,1502.354254,132.557402,230.379745,56.636002
169,1503.641717,132.659584,231.8526,56.933627
170,1506.958445,132.788186,231.662338,57.045449
171,1501.675852,132.336318,230.645449,56.552751
172,1503.057957,132.282147,230.151772,56.899886
173,1504.849879,132.839307,231.716269,56.536361
174,1506.599319,132.914269,231.575916,57.07545
175,1501.673962,132.336068,230.64104,56.438228
176,1503.167129,132.214716,230.416446,56.785195
177,1504.735816,132.846197,231.866382,56.714774
178,1506.849063,133.149422,231.490285,57.054299
179,1502.426365,132.533401,230.230823,56.668392
180,1503.598906,132.173606,230.988926,56.719514
181,1503.652607,132.547541,232.005694,56.702632
182,1505.776644,132.900258,231.306621,56.729434
183,1502.332424,132.283347,230.69566,56.849335
184,1503.171448,132.324068,230.348195,56.853906
185,1503.422533,132.45506,231.242661,57.210023
186,1505.973558,132.885868,231.755729,56.700173
187,1503.528895,132.395119,230.955675,56.814106
188,1502.471068,132.140325,230.396506,56.56244
189,1503.308211,132.42714,231.169939,56.689973
190,1503.791189,132.45299,231.690028,56.619412
191,1505.888307,132.49116,231.673968,56.671522
192,1503.512505,132.545922,230.329054,56.694803
193,1502.827633,132.350769,230.759243,56.785114
194,1503.77308,132.661423,231.064427,57.170252
195,1506.12781,132.660064,230.989146,56.693032
196,1503.936313,132.177095,230.204772,56.612592
197,1505.922357,132.849077,232.282529,56.879706
198,1506.993687,132.551191,231.435494,56.919387
199,1501.618792,132.348268,230.289544,56.604192
