timestamp_perf_counter_sec,elapsed_sec,step,cpu_util_percent,process_cpu_util_percent,gpu_util_percent,gpu_mem_used_mb,gpu_power_w,gpu_energy_mj
11004473.959405096,9.540095925331116e-05,-1,0.0,0.0,0.0,1991.25,14.689,194679295701.0
11004474.46179743,0.5024877339601517,0,0.6,101.5,98.0,9919.25,71.59,194679384801.0
11004474.968937915,1.0096282195299864,0,0.5,100.6,99.0,10705.25,192.598,194679500866.0
11004475.471687084,1.5123773887753487,0,0.6,99.5,99.0,10705.25,233.308,194679615518.0
11004475.974004824,2.0146951284259558,1,0.5,101.5,100.0,12279.25,230.147,194679727279.0
11004476.476291046,2.5169813502579927,1,0.5,99.6,99.0,13065.25,230.922,194679841646.0
11004476.978328353,3.0190186575055122,1,0.5,101.6,99.0,13065.25,233.765,194679978067.0
11004477.480563441,3.5212537460029125,2,0.5,99.6,100.0,13065.25,231.591,194680092832.0
11004477.987713115,4.028403420001268,2,0.6,102.5,99.0,13065.25,230.799,194680206361.0
11004478.49076396,4.531454265117645,2,0.5,99.4,99.0,13065.25,233.097,194680321068.0
11004478.993162144,5.033852448686957,3,0.5,101.5,100.0,13065.25,227.692,194680431056.0
11004479.495486664,5.536176968365908,3,0.5,99.6,99.0,13065.25,228.069,194680543503.0
11004479.997587211,6.038277516141534,3,0.5,101.6,100.0,13065.25,234.018,194680657335.0
11004480.499885784,6.540576089173555,4,0.5,101.5,100.0,13065.25,231.49,194680768229.0
11004481.006505968,7.04719627276063,4,0.5,100.7,99.0,13065.25,231.217,194680883409.0
11004481.50992466,7.5506149642169476,4,0.5,99.3,99.0,13065.25,233.843,194680999074.0
11004482.012260852,8.052951157093048,5,0.5,99.5,100.0,13065.25,231.86,194681111167.0
11004482.514523642,8.555213946849108,5,0.5,101.6,100.0,13065.25,231.863,194681224461.0
11004483.016729401,9.057419706135988,5,0.5,101.5,100.0,13065.25,233.782,194681337748.0
11004483.519057274,9.559747578576207,6,0.5,99.5,100.0,13065.25,230.67,194681448796.0
11004484.026175616,10.066865921020508,6,0.5,102.5,99.0,13065.25,232.152,194681564182.0
11004484.528392348,10.569082653149962,6,0.5,99.6,99.0,13065.25,235.152,194681678935.0
11004485.030680317,11.07137062214315,7,0.5,99.5,100.0,13065.25,231.167,194681791243.0
11004485.532962007,11.573652312159538,7,0.5,101.5,100.0,13065.25,231.431,194681905441.0
11004486.03524957,12.075939875096083,7,0.5,99.5,99.0,13065.25,234.142,194682017995.0
11004486.537557531,12.578247835859656,8,0.5,101.5,100.0,13065.25,229.636,194682129099.0
11004487.044794995,13.085485300049186,8,0.5,100.5,99.0,13065.25,229.968,194682244996.0
11004487.548213707,13.5889040119946,8,0.5,101.3,99.0,13065.25,234.313,194682360423.0
11004488.050573528,14.091263832524419,9,0.5,101.5,100.0,13065.25,230.571,194682472888.0
11004488.553052964,14.59374326840043,9,0.5,101.5,100.0,13065.25,231.17,194682585683.0
11004489.055190342,15.095880646258593,9,0.5,97.6,99.0,13065.25,234.113,194682698383.0
11004489.557445971,15.598136276006699,10,0.5,101.5,100.0,13065.25,230.243,194682809703.0
11004490.063948136,16.104638440534472,10,0.5,102.7,99.0,13065.25,231.163,194682926566.0
11004490.56645308,16.607143385335803,10,0.5,97.5,99.0,13065.25,234.149,194683041419.0
11004491.068867823,17.109558127820492,11,0.5,101.5,100.0,13065.25,229.908,194683153044.0
11004491.571119674,17.61180997826159,11,0.5,101.6,100.0,13065.25,231.693,194683267699.0
11004492.073250365,18.113940669223666,11,0.5,99.6,99.0,13065.25,234.489,194683403340.0
11004492.575523952,18.616214256733656,12,0.5,101.5,100.0,13065.25,229.724,194683515920.0
11004493.077658432,19.118348736315966,12,0.5,101.6,100.0,13065.25,230.131,194683631723.0
11004493.583400212,19.62409051693976,12,0.5,100.8,100.0,13065.25,234.131,194683748096.0
11004494.086897833,20.127588137984276,13,0.5,99.3,100.0,13065.25,230.545,194683857799.0
11004494.589172235,20.629862539470196,13,0.5,101.6,99.0,13065.25,230.828,194683971055.0
11004495.091290422,21.131980726495385,13,0.6,99.5,99.0,13065.25,234.759,194684084409.0
11004495.593566353,21.634256657212973,14,0.5,99.6,100.0,13065.25,231.274,194684193836.0
11004496.095652,22.136342303827405,14,0.5,101.6,100.0,13065.25,231.049,194684307192.0
11004496.60246396,22.643154265359044,14,0.5,100.6,99.0,13065.25,234.554,194684422946.0
11004497.105083765,23.145774070173502,15,0.5,101.5,100.0,13065.25,231.26,194684535320.0
11004497.607293665,23.64798397012055,15,0.5,101.6,99.0,13065.25,232.256,194684649753.0
11004498.109334912,24.15002521686256,15,0.5,97.6,99.0,13065.25,235.194,194684763996.0
11004498.611619253,24.652309557422996,16,0.5,103.5,100.0,13065.25,230.751,194684874870.0
11004499.113951376,25.154641680419445,16,0.5,99.6,100.0,13065.25,231.487,194684988904.0
11004499.621039348,25.661729652434587,16,0.5,100.5,99.0,13065.25,234.279,194685104192.0
11004500.123443453,26.16413375735283,17,0.5,101.5,100.0,13065.25,230.715,194685216973.0
11004500.62567198,26.666362285614014,17,0.5,99.6,100.0,13065.25,232.645,194685332561.0
11004501.12777264,27.16846294514835,17,0.5,101.5,99.0,13065.25,235.227,194685445748.0
11004501.630147692,27.670837996527553,18,0.5,99.5,100.0,13065.25,230.783,194685554541.0
11004502.132350681,28.173040986061096,18,0.5,101.6,100.0,13065.25,231.317,194685668903.0
11004502.634523392,28.675213696435094,18,0.5,99.5,99.0,13065.25,235.564,194685782031.0
11004503.140498344,29.181188648566604,19,0.5,102.8,100.0,13065.25,231.293,194685891874.0
11004503.643291194,29.68398149870336,19,0.8,99.5,100.0,13065.25,231.631,194686007496.0
11004504.14534174,30.1860320456326,19,0.5,99.6,100.0,13065.25,235.226,194686120898.0
11004504.64758204,30.688272343948483,20,0.5,101.5,99.0,13065.25,231.183,194686231149.0
11004505.149781993,31.190472297370434,20,0.6,99.6,100.0,13065.25,230.799,194686345618.0
11004505.651827158,31.692517463117838,20,0.5,101.6,99.0,13065.25,235.19,194686459270.0
11004506.15895102,32.199641324579716,21,0.5,100.6,99.0,13065.25,231.246,194686572084.0
11004506.662160657,32.70285096205771,21,0.5,101.4,100.0,13065.25,231.03,194686687874.0
11004507.164182095,33.20487239956856,21,0.5,101.6,100.0,13065.25,235.311,194686803359.0
11004507.666414544,33.70710484869778,22,0.5,97.6,100.0,13065.25,231.269,194686913581.0
