step,phase,time_ms
0,forward,309.724327
0,backward,417.709072
0,optimizer,64.314712
1,forward,246.246469
1,backward,414.864493
1,optimizer,56.611248
2,forward,246.077026
2,backward,418.304283
2,optimizer,56.69837
3,forward,246.651255
3,backward,415.190459
3,optimizer,56.773491
4,forward,246.677237
4,backward,415.244319
4,optimizer,56.732621
5,forward,244.040651
5,backward,415.545175
5,optimizer,56.659118
6,forward,247.171505
6,backward,416.283518
6,optimizer,56.432875
7,forward,246.32063
7,backward,417.420877
7,optimizer,56.429206
8,forward,247.485061
8,backward,419.150558
8,optimizer,56.326273
9,forward,248.110542
9,backward,418.971984
9,optimizer,56.584668
10,forward,246.508763
10,backward,416.514702
10,optimizer,56.579258
11,forward,244.940376
11,backward,417.017701
11,optimizer,56.765521
12,forward,247.798236
12,backward,416.963399
12,optimizer,56.626758
13,forward,247.003052
13,backward,417.923646
13,optimizer,56.585248
14,forward,248.636341
14,backward,421.569009
14,optimizer,56.372023
15,forward,248.247264
15,backward,417.613851
15,optimizer,56.871433
16,forward,247.950899
16,backward,417.981347
16,optimizer,56.362384
17,forward,245.277922
17,backward,417.682372
17,optimizer,56.960264
18,forward,248.668491
18,backward,422.051117
18,optimizer,57.201749
19,forward,249.14303
19,backward,425.049301
19,optimizer,56.441915
20,forward,249.15295
20,backward,421.814295
20,optimizer,56.463706
21,forward,247.945129
21,backward,418.266552
21,optimizer,56.739251
22,forward,245.963464
22,backward,418.703091
22,optimizer,56.413795
23,forward,249.288073
23,backward,423.539824
23,optimizer,56.68944
24,forward,249.930104
24,backward,418.71181
24,optimizer,56.859552
25,forward,249.685749
25,backward,423.510624
25,optimizer,56.539057
26,forward,249.286072
26,backward,418.691889
26,optimizer,56.647649
27,forward,247.161105
27,backward,420.260277
27,optimizer,57.072627
28,forward,250.619896
28,backward,419.530255
28,optimizer,56.590817
29,forward,250.32864
29,backward,420.795147
29,optimizer,56.435535
30,forward,250.554665
30,backward,421.649991
30,optimizer,56.458386
31,forward,250.075966
31,backward,420.153235
31,optimizer,57.008365
32,forward,250.794098
32,backward,419.205298
32,optimizer,56.372274
33,forward,247.290187
33,backward,418.584778
33,optimizer,56.72326
34,forward,249.544896
34,backward,420.254118
34,optimizer,56.552337
35,forward,248.734393
35,backward,422.278782
35,optimizer,56.481886
