timestamp_perf_counter_sec,elapsed_sec,step,cpu_util_percent,process_cpu_util_percent,gpu_util_percent,gpu_mem_used_mb,gpu_power_w,gpu_energy_mj
11419056.464431956,0.00019935332238674164,-1,0.0,0.0,11.0,1991.25,12.891,144146393143.0
11419056.96807682,0.50384421646595,0,1.1,99.4,96.0,16203.25,72.638,144146485416.0
11419057.47043444,1.0062018372118473,1,1.1,99.6,99.0,17777.25,194.197,144146598865.0
11419057.9727071,1.5084744971245527,2,1.0,101.5,100.0,19349.25,231.119,144146713764.0
11419058.4762694,2.012036796659231,2,1.0,101.2,100.0,19349.25,230.896,144146819953.0
11419058.984643895,2.520411292091012,3,1.1,102.3,98.0,19349.25,228.766,144146931933.0
11419059.487990463,3.0237578600645065,4,1.1,99.4,98.0,19349.25,227.004,144147042064.0
11419059.990045529,3.525812925770879,4,1.1,101.6,100.0,19349.25,230.638,144147157521.0
11419060.492203856,4.027971252799034,5,1.1,101.6,100.0,19349.25,226.664,144147268093.0
11419060.995269047,4.53103644400835,6,1.1,99.4,99.0,19349.25,225.581,144147400211.0
11419061.498613046,5.034380443394184,6,1.1,101.3,100.0,19349.25,232.222,144147519093.0
11419062.00454014,5.5403075367212296,7,1.1,100.8,99.0,19349.25,233.325,144147629634.0
11419062.507357037,6.043124433606863,8,1.0,101.3,98.0,19349.25,231.243,144147743042.0
11419063.010256227,6.546023624017835,9,1.1,99.5,99.0,19349.25,227.47,144147853295.0
11419063.514289945,7.050057342275977,9,1.0,101.2,100.0,19349.25,231.852,144147968360.0
11419064.01629246,7.552059857174754,10,1.2,99.6,100.0,19349.25,229.199,144148078873.0
11419064.523361173,8.059128569439054,11,1.0,100.6,99.0,19349.25,230.767,144148193309.0
11419065.045252014,8.581019410863519,11,1.1,105.3,100.0,19349.25,233.474,144148311783.0
11419065.548032202,9.083799598738551,12,1.1,101.5,100.0,19349.25,230.445,144148419590.0
11419066.050133878,9.585901275277138,13,1.0,99.5,98.0,19349.25,228.656,144148530023.0
11419066.553088687,10.088856084272265,13,1.1,101.5,100.0,19349.25,229.653,144148643391.0
11419067.055297049,10.59106444567442,14,1.0,99.6,100.0,19349.25,232.857,144148754514.0
11419067.56236266,11.098130056634545,15,1.0,102.5,98.0,19349.25,231.12,144148870712.0
11419068.065225078,11.60099247470498,16,1.1,99.3,99.0,19349.25,232.716,144148986733.0
11419068.568073308,12.103840705007315,16,1.0,103.4,100.0,19349.25,232.847,144149100135.0
11419069.070924876,12.606692273169756,17,1.1,99.5,100.0,19349.25,231.271,144149211203.0
11419069.573296016,13.109063412994146,18,1.2,99.5,100.0,19349.25,229.512,144149318137.0
11419070.083707696,13.619475092738867,18,1.6,103.9,100.0,19349.25,233.236,144149435284.0
11419070.585846653,14.121614050120115,19,1.1,99.6,99.0,19349.25,228.169,144149546026.0
11419071.087855795,14.623623192310333,20,1.0,99.6,98.0,19349.25,228.302,144149658941.0
11419071.590254009,15.126021405681968,20,1.0,99.5,100.0,19349.25,231.228,144149798397.0
11419072.092769273,15.628536669537425,21,1.0,101.5,100.0,19349.25,232.866,144149911338.0
11419072.594742624,16.1305100210011,22,0.8,99.6,100.0,19349.25,230.442,144150024292.0
11419073.1020067,16.637774096801877,23,1.0,102.5,100.0,19349.25,228.085,144150134563.0
11419073.604086028,17.139853425323963,23,0.8,99.6,100.0,19349.25,231.728,144150251076.0
11419074.1061105,17.64187789708376,24,1.0,101.6,99.0,19349.25,229.966,144150364441.0
11419074.608513542,18.14428093843162,25,1.1,101.5,98.0,19349.25,230.328,144150475708.0
11419075.123701816,18.659469213336706,25,1.1,102.8,100.0,19349.25,232.096,144150592802.0
11419075.626509184,19.162276580929756,26,1.0,99.5,100.0,19349.25,230.118,144150702210.0
11419076.128592232,19.664359629154205,27,1.1,99.6,98.0,19349.25,230.929,144150813914.0
11419076.630887669,20.166655065491796,27,1.0,101.5,100.0,19349.25,233.551,144150928588.0
11419077.132909603,20.6686770003289,28,1.1,99.6,100.0,19349.25,235.445,144151037998.0
11419077.639757184,21.175524581223726,29,1.0,102.6,99.0,19349.25,232.066,144151154165.0
11419078.141818408,21.677585804834962,29,1.1,101.6,100.0,19349.25,233.927,144151270863.0
11419078.644153379,22.179920775815845,30,1.1,99.6,100.0,19349.25,233.599,144151382397.0
11419079.146266904,22.682034300640225,31,1.0,101.5,98.0,19349.25,229.921,144151493462.0
11419079.6484451,23.184212496504188,32,1.1,99.5,99.0,19349.25,225.81,144151600431.0
11419080.159969272,23.695736669003963,32,1.1,101.7,100.0,19349.25,230.877,144151716433.0
11419080.661942296,24.197709692642093,33,1.1,101.6,100.0,19349.25,228.581,144151830171.0
11419081.164192913,24.699960310012102,34,1.1,99.6,99.0,19349.25,230.553,144151942335.0
11419081.66634619,25.202113587409258,34,1.1,99.6,100.0,19349.25,233.374,144152058010.0
11419082.168546898,25.704314295202494,35,1.1,101.6,100.0,19349.25,231.36,144152167925.0
11419082.670664145,26.206431541591883,36,1.0,99.6,98.0,19349.25,230.488,144152278345.0
11419083.177503971,26.713271368294954,36,1.1,100.6,100.0,19349.25,230.861,144152394169.0
11419083.680523744,27.21629114076495,37,1.1,101.4,100.0,19349.25,232.709,144152507115.0
11419084.182691032,27.71845842897892,38,1.0,101.6,98.0,19349.25,229.986,144152620072.0
11419084.684814269,28.22058166563511,39,1.1,99.5,100.0,19349.25,233.891,144152734354.0
11419085.199178599,28.734945995733142,39,1.1,103.1,100.0,19349.25,232.335,144152869396.0
11419085.701327175,29.23709457181394,40,1.1,101.5,99.0,19349.25,230.68,144152982088.0
11419086.203568932,29.739336328580976,41,1.0,99.6,98.0,19349.25,231.949,144153095352.0
11419086.705652228,30.24141962453723,41,1.1,99.6,100.0,19349.25,233.05,144153210689.0
11419087.207754431,30.743521828204393,42,1.0,101.5,100.0,19349.25,230.972,144153317665.0
11419087.709964132,31.24573152884841,43,1.1,99.6,98.0,19349.25,229.481,144153427789.0
11419088.216126088,31.751893484964967,43,1.1,102.7,100.0,19349.25,231.227,144153544693.0
11419088.718786243,32.25455364026129,44,1.0,99.5,99.0,19349.25,235.281,144153657319.0
11419089.22097106,32.75673845782876,45,1.0,99.6,99.0,19349.25,231.825,144153771597.0
11419089.723021246,33.25878864340484,45,1.0,101.6,100.0,19349.25,232.83,144153887281.0
11419090.225169782,33.76093717850745,46,0.6,99.6,100.0,19349.25,233.294,144153997993.0
11419090.727314508,34.26308190450072,47,0.6,101.6,98.0,19349.25,231.397,144154109513.0
11419091.229434883,34.76520228013396,48,0.6,99.5,99.0,19349.25,230.251,144154219066.0
11419091.735094352,35.27086174860597,48,0.6,100.9,100.0,19349.25,231.917,144154334075.0
11419092.237093408,35.7728608045727,49,0.6,101.6,100.0,19349.25,230.729,144154449140.0
11419092.739381757,36.2751491535455,50,0.6,99.6,100.0,19349.25,230.649,144154558683.0
11419093.247541947,36.78330934420228,50,0.6,102.3,100.0,19349.25,233.82,144154674997.0
11419093.75405838,37.2898257765919,51,0.6,100.7,100.0,19349.25,229.153,144154788325.0
11419094.257270167,37.79303756356239,52,0.6,101.3,98.0,19349.25,229.57,144154901880.0
11419094.759977441,38.29574483819306,52,0.6,101.5,100.0,19349.25,232.857,144155018084.0
11419095.262342753,38.79811014980078,53,0.6,99.6,100.0,19349.25,232.479,144155128064.0
11419095.764350869,39.30011826567352,54,0.6,99.6,98.0,19349.25,230.207,144155238169.0
11419096.26635854,39.80212593637407,54,0.6,101.6,100.0,19349.25,231.678,144155350904.0
