step,phase,time_ms
0,forward,274.384621
0,backward,137.996139
0,optimizer,79.647067
1,forward,65.358222
1,backward,115.771821
1,optimizer,56.42102
2,forward,63.381259
2,backward,113.620155
2,optimizer,56.860128
3,forward,65.319942
3,backward,115.907364
3,optimizer,56.422951
4,forward,65.116899
4,backward,116.473892
4,optimizer,56.550413
5,forward,64.732532
5,backward,115.583748
5,optimizer,56.579253
6,forward,63.541931
6,backward,116.832919
6,optimizer,57.076982
7,forward,64.558969
7,backward,115.111009
7,optimizer,56.718566
8,forward,62.495074
8,backward,117.565082
8,optimizer,56.730926
9,forward,63.372009
9,backward,113.389071
9,optimizer,56.454621
10,forward,65.397653
10,backward,115.270572
10,optimizer,56.528732
11,forward,64.517699
11,backward,116.362471
11,optimizer,57.250125
12,forward,62.130498
12,backward,114.039582
12,optimizer,56.771016
13,forward,62.941551
13,backward,115.902633
13,optimizer,56.913229
14,forward,65.925212
14,backward,115.553787
14,optimizer,57.072322
15,forward,65.301991
15,backward,115.183961
15,optimizer,56.744216
16,forward,65.282922
16,backward,116.373882
16,optimizer,56.570234
17,forward,65.272552
17,backward,115.392864
17,optimizer,56.726216
18,forward,64.390257
18,backward,116.536765
18,optimizer,57.648111
19,forward,62.158418
19,backward,114.245695
19,optimizer,56.821497
20,forward,62.930381
20,backward,115.605588
20,optimizer,57.01067
21,forward,65.676328
21,backward,115.545687
21,optimizer,56.464111
22,forward,64.940725
22,backward,115.532657
22,optimizer,56.360529
23,forward,64.971296
23,backward,116.273939
23,optimizer,56.476812
24,forward,65.046167
24,backward,115.410695
24,optimizer,56.371109
25,forward,63.841517
25,backward,116.749838
25,optimizer,56.709545
26,forward,62.313421
26,backward,113.854138
26,optimizer,56.525373
27,forward,64.543039
27,backward,115.647528
27,optimizer,56.98191
28,forward,66.294279
28,backward,116.039806
28,optimizer,56.298158
29,forward,64.62177
29,backward,115.745501
29,optimizer,57.202084
30,forward,64.588119
30,backward,116.490083
30,optimizer,56.484532
31,forward,64.713522
31,backward,115.499067
31,optimizer,56.571832
32,forward,63.571202
32,backward,117.097884
32,optimizer,58.192781
33,forward,62.400163
33,backward,114.074482
33,optimizer,57.238784
34,forward,64.59683
34,backward,115.375655
34,optimizer,57.100632
35,forward,65.706029
35,backward,116.404792
35,optimizer,57.251945
36,forward,64.558329
36,backward,115.365064
36,optimizer,57.016291
37,forward,64.436417
37,backward,116.678256
37,optimizer,56.681536
38,forward,63.151705
38,backward,115.261072
38,optimizer,56.463021
39,forward,63.280207
39,backward,117.068033
39,optimizer,56.763587
40,forward,62.685817
40,backward,112.856881
40,optimizer,56.577604
41,forward,64.800583
41,backward,115.541748
41,optimizer,56.99046
42,forward,65.324572
42,backward,116.643607
42,optimizer,57.003911
43,forward,64.724712
43,backward,115.599907
43,optimizer,56.785387
44,forward,63.894838
44,backward,117.206736
44,optimizer,56.754466
45,forward,64.57617
45,backward,115.467977
45,optimizer,56.576604
46,forward,62.808859
46,backward,115.545497
46,optimizer,57.190193
47,forward,63.983589
47,backward,114.382947
47,optimizer,56.545973
48,forward,65.76962
48,backward,115.581538
48,optimizer,56.489321
49,forward,64.920856
49,backward,116.623246
49,optimizer,56.699415
50,forward,65.315782
50,backward,115.253291
50,optimizer,56.340289
51,forward,63.513641
51,backward,117.305387
51,optimizer,56.652594
52,forward,66.695046
52,backward,115.7274
52,optimizer,56.296219
53,forward,65.210601
53,backward,115.295833
53,optimizer,57.044641
54,forward,64.145453
54,backward,115.417736
54,optimizer,56.948939
55,forward,65.652358
55,backward,115.358935
55,optimizer,56.638754
56,forward,64.905295
56,backward,116.738617
56,optimizer,57.525119
57,forward,65.15619
57,backward,115.333204
57,optimizer,56.541962
58,forward,63.509972
58,backward,117.297237
58,optimizer,56.3589
59,forward,66.874778
59,backward,115.727839
59,optimizer,56.678185
60,forward,62.616106
60,backward,117.815346
60,optimizer,56.45834
61,forward,64.434717
61,backward,114.712614
61,optimizer,56.491832
62,forward,65.78094
62,backward,115.599138
62,optimizer,57.002151
63,forward,64.813904
63,backward,116.726457
63,optimizer,56.614104
64,forward,65.685608
64,backward,115.546788
64,optimizer,56.226148
65,forward,63.466931
65,backward,117.084663
65,optimizer,57.037782
66,forward,66.152416
66,backward,115.852852
66,optimizer,56.760606
67,forward,62.396733
67,backward,117.721705
67,optimizer,56.850898
68,forward,63.578052
68,backward,113.821097
68,optimizer,56.676155
69,forward,65.718649
69,backward,115.601458
69,optimizer,56.505972
70,forward,65.011867
70,backward,116.571435
70,optimizer,56.668644
71,forward,65.305321
71,backward,115.528106
71,optimizer,56.92912
72,forward,63.607203
72,backward,117.49935
72,optimizer,56.605224
73,forward,66.274098
73,backward,115.70355
73,optimizer,56.930349
74,forward,62.551444
74,backward,117.651124
74,optimizer,56.771187
75,forward,64.228873
75,backward,114.728142
75,optimizer,56.493082
76,forward,65.890352
76,backward,115.744981
76,optimizer,56.921328
77,forward,64.839524
77,backward,116.988892
77,optimizer,56.124296
78,forward,65.481835
78,backward,115.490466
78,optimizer,56.571403
79,forward,63.575573
79,backward,115.907364
79,optimizer,57.090511
80,forward,66.707126
80,backward,115.937095
80,optimizer,56.557684
81,forward,65.365233
81,backward,115.859682
81,optimizer,56.882139
82,forward,63.936008
82,backward,114.047052
82,optimizer,56.807026
83,forward,65.78422
83,backward,115.66427
83,optimizer,56.628424
84,forward,65.114499
84,backward,117.187155
84,optimizer,56.843508
85,forward,64.960686
85,backward,115.786351
85,optimizer,56.616623
86,forward,63.922559
86,backward,117.308678
86,optimizer,56.869468
87,forward,64.985667
87,backward,115.413175
87,optimizer,56.660995
88,forward,62.85354
88,backward,117.595172
88,optimizer,56.489611
89,forward,63.955669
89,backward,114.031521
89,optimizer,56.699636
90,forward,65.600297
90,backward,115.580977
90,optimizer,56.833418
91,forward,65.397623
91,backward,116.638485
91,optimizer,56.814938
92,forward,65.068238
92,backward,115.844822
92,optimizer,56.863219
93,forward,63.817267
93,backward,117.46676
93,optimizer,56.718016
94,forward,65.667288
94,backward,115.859422
94,optimizer,56.460891
95,forward,65.064868
95,backward,115.854653
95,optimizer,57.106062
96,forward,64.268604
96,backward,114.121612
96,optimizer,56.97861
97,forward,65.506115
97,backward,115.691739
97,optimizer,56.589743
98,forward,65.688609
98,backward,116.635997
98,optimizer,56.614874
99,forward,65.076128
99,backward,115.7828
99,optimizer,56.592064
100,forward,64.183433
100,backward,117.642122
100,optimizer,56.787537
101,forward,66.058065
101,backward,116.773789
101,optimizer,56.437711
102,forward,62.90008
102,backward,117.607832
102,optimizer,56.521873
103,forward,64.820824
103,backward,115.826882
103,optimizer,56.763616
104,forward,65.296812
104,backward,115.851043
104,optimizer,56.629654
105,forward,64.879185
105,backward,115.807841
105,optimizer,56.460372
106,forward,65.19927
106,backward,115.795871
106,optimizer,56.36626
107,forward,65.151939
107,backward,115.992916
107,optimizer,56.542382
108,forward,65.119139
108,backward,116.034505
108,optimizer,56.415941
109,forward,65.108498
109,backward,115.928643
109,optimizer,56.40837
110,forward,65.045277
110,backward,116.059526
110,optimizer,56.857108
111,forward,65.186
111,backward,115.855253
111,optimizer,56.737066
112,forward,65.327242
112,backward,115.984404
112,optimizer,57.185674
113,forward,64.883885
113,backward,115.864633
113,optimizer,56.478371
114,forward,64.950106
114,backward,115.826063
114,optimizer,56.506742
115,forward,64.988746
115,backward,115.882862
115,optimizer,56.741946
116,forward,64.907315
116,backward,116.034456
116,optimizer,56.662134
117,forward,65.066978
117,backward,115.987366
117,optimizer,56.838258
118,forward,64.955046
118,backward,116.218988
118,optimizer,57.146143
119,forward,65.182389
119,backward,116.188008
119,optimizer,56.555572
120,forward,64.893525
120,backward,115.800922
120,optimizer,56.430861
121,forward,65.249991
121,backward,116.207788
121,optimizer,56.572083
122,forward,64.887224
122,backward,116.091867
122,optimizer,56.41144
123,forward,65.268991
123,backward,116.158388
123,optimizer,56.563063
124,forward,65.158959
124,backward,116.192998
124,optimizer,56.584604
125,forward,65.263761
125,backward,115.853733
125,optimizer,56.905238
126,forward,66.265468
126,backward,117.4343
126,optimizer,56.597854
127,forward,64.782103
127,backward,116.113106
127,optimizer,56.299259
128,forward,64.858395
128,backward,117.384239
128,optimizer,56.148145
129,forward,64.943316
129,backward,116.189938
129,optimizer,56.436771
130,forward,64.0158
130,backward,117.563381
130,optimizer,56.574854
131,forward,62.908761
131,backward,113.560723
131,optimizer,56.659634
132,forward,65.19463
132,backward,116.202948
132,optimizer,56.629064
133,forward,66.423261
133,backward,116.982601
133,optimizer,56.37411
134,forward,65.145879
134,backward,116.173308
134,optimizer,56.462462
135,forward,64.886785
135,backward,117.173035
135,optimizer,56.445991
136,forward,65.262491
136,backward,116.121997
136,optimizer,57.115513
137,forward,63.991399
137,backward,117.399869
137,optimizer,56.647274
138,forward,62.82083
138,backward,114.578621
138,optimizer,56.43864
139,forward,65.073018
139,backward,116.125207
139,optimizer,56.648704
140,forward,66.180387
140,backward,117.020462
140,optimizer,56.39901
141,forward,65.013617
141,backward,116.213189
141,optimizer,56.733056
142,forward,65.323402
142,backward,117.43758
142,optimizer,56.717325
143,forward,65.21138
143,backward,116.356151
143,optimizer,56.672045
144,forward,64.05228
144,backward,117.371099
144,optimizer,56.705385
145,forward,62.81624
145,backward,115.014978
145,optimizer,56.919539
146,forward,65.437754
146,backward,116.012485
146,optimizer,56.749707
147,forward,66.212318
147,backward,116.513104
147,optimizer,57.243974
148,forward,65.663138
148,backward,116.387321
148,optimizer,56.594964
149,forward,65.601106
149,backward,117.188445
149,optimizer,56.442071
150,forward,65.928703
150,backward,116.227999
150,optimizer,56.777557
151,forward,65.173859
151,backward,117.675673
151,optimizer,56.968921
152,forward,65.900081
152,backward,116.23891
152,optimizer,56.781316
153,forward,64.150972
153,backward,117.732764
153,optimizer,56.431161
154,forward,66.256888
154,backward,116.89517
154,optimizer,56.92549
155,forward,63.560132
155,backward,117.754645
155,optimizer,56.565762
156,forward,63.558311
156,backward,113.625725
156,optimizer,56.427451
157,forward,65.303301
157,backward,116.203208
157,optimizer,57.036431
158,forward,66.138646
158,backward,117.41612
158,optimizer,56.644624
159,forward,65.21252
159,backward,116.342511
159,optimizer,56.945139
160,forward,64.875735
160,backward,117.785515
160,optimizer,56.97684
161,forward,65.7887
161,backward,116.316471
161,optimizer,57.00751
162,forward,64.270384
162,backward,118.146971
162,optimizer,56.930809
163,forward,62.945011
163,backward,114.198754
163,optimizer,56.787888
164,forward,65.084088
164,backward,116.582765
164,optimizer,57.415067
165,forward,67.314835
165,backward,117.151555
165,optimizer,56.895959
166,forward,65.679508
166,backward,116.428502
166,optimizer,56.445881
167,forward,65.593437
167,backward,117.332098
167,optimizer,56.538542
168,forward,65.937282
168,backward,116.405791
168,optimizer,56.608844
169,forward,64.679931
169,backward,117.675503
169,optimizer,57.115142
170,forward,66.3816
170,backward,116.27005
170,optimizer,56.40353
171,forward,63.949228
171,backward,117.955998
171,optimizer,56.514633
172,forward,67.395067
172,backward,117.182745
172,optimizer,56.38272
173,forward,63.279167
173,backward,116.525004
173,optimizer,56.39144
174,forward,64.140402
174,backward,114.725843
174,optimizer,56.803437
175,forward,66.012374
175,backward,116.441582
175,optimizer,56.515452
176,forward,66.149077
176,backward,117.892438
176,optimizer,56.35902
177,forward,65.422934
177,backward,116.412331
177,optimizer,56.916409
178,forward,64.989437
178,backward,117.802896
178,optimizer,56.553202
179,forward,65.257271
179,backward,117.133225
179,optimizer,56.495202
180,forward,64.110851
180,backward,118.135251
180,optimizer,56.765906
181,forward,63.066104
181,backward,114.315337
181,optimizer,56.576723
182,forward,65.497455
182,backward,116.736008
182,optimizer,56.500672
183,forward,66.99931
183,backward,117.389148
183,optimizer,56.527062
184,forward,65.573906
184,backward,116.700397
184,optimizer,56.354129
185,forward,65.573597
185,backward,117.301567
185,optimizer,56.443781
186,forward,65.862042
186,backward,116.649756
186,optimizer,56.699915
187,forward,65.056877
187,backward,118.156502
187,optimizer,57.737363
188,forward,66.523112
188,backward,116.732687
188,optimizer,56.550253
189,forward,64.363536
189,backward,118.287164
189,optimizer,56.753875
190,forward,66.750476
190,backward,116.448042
190,optimizer,56.828008
191,forward,64.02996
191,backward,116.36061
191,optimizer,56.478562
192,forward,64.167662
192,backward,114.306686
192,optimizer,56.349639
193,forward,65.689968
193,backward,116.569765
193,optimizer,56.595573
194,forward,66.097635
194,backward,117.571761
194,optimizer,56.921289
195,forward,65.19217
195,backward,116.796959
195,optimizer,56.690484
196,forward,65.355323
196,backward,117.878267
196,optimizer,56.546633
197,forward,65.512855
197,backward,116.584024
197,optimizer,56.667255
198,forward,64.340145
198,backward,117.846766
198,optimizer,56.735396
199,forward,63.054474
199,backward,115.368363
199,optimizer,56.697346
200,forward,65.527315
200,backward,117.195475
200,optimizer,56.222427
201,forward,66.37812
201,backward,116.889231
201,optimizer,56.647005
202,forward,65.864651
202,backward,116.813698
202,optimizer,56.36679
203,forward,66.094825
203,backward,117.606983
203,optimizer,56.641504
204,forward,66.291918
204,backward,116.512474
204,optimizer,56.472042
205,forward,65.718059
205,backward,117.759585
205,optimizer,56.798388
206,forward,65.837821
206,backward,116.511804
206,optimizer,56.841728
207,forward,64.546598
207,backward,118.104631
207,optimizer,56.612145
208,forward,66.559393
208,backward,116.626226
208,optimizer,56.290818
209,forward,64.209913
209,backward,118.754612
209,optimizer,56.4241
210,forward,63.285057
210,backward,114.617061
210,optimizer,56.895688
211,forward,65.512246
211,backward,116.755678
211,optimizer,56.409341
212,forward,67.072192
212,backward,117.322217
212,optimizer,56.561573
213,forward,65.438084
213,backward,117.324007
213,optimizer,56.757477
214,forward,65.568707
214,backward,117.775205
214,optimizer,57.340636
215,forward,65.979514
215,backward,116.605526
215,optimizer,56.528562
216,forward,65.140309
216,backward,118.271613
216,optimizer,56.3998
217,forward,66.3818
217,backward,116.572875
217,optimizer,56.45838
218,forward,64.135501
218,backward,118.427376
218,optimizer,57.061672
219,forward,67.372627
219,backward,117.760165
219,optimizer,56.605203
220,forward,63.597083
220,backward,116.775458
220,optimizer,56.512512
221,forward,64.378016
221,backward,114.722262
221,optimizer,57.110663
222,forward,65.73795
222,backward,116.672426
222,optimizer,56.807937
223,forward,66.452241
223,backward,117.618663
