step,step_ms,forward_ms,backward_ms,optimizer_ms
0,493.002203,274.384621,137.996139,79.647067
1,239.553828,65.358222,115.771821,56.42102
2,234.98226,63.381259,113.620155,56.860128
3,239.210923,65.319942,115.907364,56.422951
4,239.255453,65.116899,116.473892,56.550413
5,238.192115,64.732532,115.583748,56.579253
6,238.575921,63.541931,116.832919,57.076982
7,237.777888,64.558969,115.111009,56.718566
8,238.219955,62.495074,117.565082,56.730926
9,234.725897,63.372009,113.389071,56.454621
10,238.334278,65.397653,115.270572,56.528732
11,239.65085,64.517699,116.362471,57.250125
12,234.069655,62.130498,114.039582,56.771016
13,237.140337,62.941551,115.902633,56.913229
14,240.371152,65.925212,115.553787,57.072322
15,238.393269,65.301991,115.183961,56.744216
16,239.677132,65.282922,116.373882,56.570234
17,238.973768,65.272552,115.392864,56.726216
18,239.708461,64.390257,116.536765,57.648111
19,234.531693,62.158418,114.245695,56.821497
20,237.034876,62.930381,115.605588,57.01067
21,239.0547,65.676328,115.545687,56.464111
22,238.173645,64.940725,115.532657,56.360529
23,238.858227,64.971296,116.273939,56.476812
24,238.517451,65.046167,115.410695,56.371109
25,238.650433,63.841517,116.749838,56.709545
26,233.819281,62.313421,113.854138,56.525373
27,238.566901,64.543039,115.647528,56.98191
28,239.775112,66.294279,116.039806,56.298158
29,238.915038,64.62177,115.745501,57.202084
30,238.985978,64.588119,116.490083,56.484532
31,237.89349,64.713522,115.499067,56.571832
32,240.015557,63.571202,117.097884,58.192781
33,234.832338,62.400163,114.074482,57.238784
34,238.229436,64.59683,115.375655,57.100632
35,240.495875,65.706029,116.404792,57.251945
36,238.105124,64.558329,115.365064,57.016291
37,238.934977,64.436417,116.678256,56.681536
38,236.436745,63.151705,115.261072,56.463021
39,240.305521,63.280207,117.068033,56.763587
40,233.258151,62.685817,112.856881,56.577604
41,238.674233,64.800583,115.541748,56.99046
42,240.117098,65.324572,116.643607,57.003911
43,238.250326,64.724712,115.599907,56.785387
44,238.986168,63.894838,117.206736,56.754466
45,237.762379,64.57617,115.467977,56.576604
46,236.667749,62.808859,115.545497,57.190193
47,236.046378,63.983589,114.382947,56.545973
48,238.976878,65.76962,115.581538,56.489321
49,239.792583,64.920856,116.623246,56.699415
50,238.039322,65.315782,115.253291,56.340289
51,238.635093,63.513641,117.305387,56.652594
52,239.853674,66.695046,115.7274,56.296219
53,238.685683,65.210601,115.295833,57.044641
54,237.637666,64.145453,115.417736,56.948939
55,238.812116,65.652358,115.358935,56.638754
56,240.298181,64.905295,116.738617,57.525119
57,238.43872,65.15619,115.333204,56.541962
58,238.317348,63.509972,117.297237,56.3589
59,240.642237,66.874778,115.727839,56.678185
60,237.997452,62.616106,117.815346,56.45834
61,236.972665,64.434717,114.712614,56.491832
62,239.535388,65.78094,115.599138,57.002151
63,239.337245,64.813904,116.726457,56.614104
64,238.610223,65.685608,115.546788,56.226148
65,239.050199,63.466931,117.084663,57.037782
66,239.996396,66.152416,115.852852,56.760606
67,238.329988,62.396733,117.721705,56.850898
68,235.55165,63.578052,113.821097,56.676155
69,239.147292,65.718649,115.601458,56.505972
70,239.693751,65.011867,116.571435,56.668644
71,239.008089,65.305321,115.528106,56.92912
72,238.869957,63.607203,117.49935,56.605224
73,240.035107,66.274098,115.70355,56.930349
74,238.097613,62.551444,117.651124,56.771187
75,236.597148,64.228873,114.728142,56.493082
76,239.713171,65.890352,115.744981,56.921328
77,239.361686,64.839524,116.988892,56.124296
78,238.692103,65.481835,115.490466,56.571403
79,237.719367,63.575573,115.907364,57.090511
80,240.335902,66.707126,115.937095,56.557684
81,240.474053,65.365233,115.859682,56.882139
82,235.929126,63.936008,114.047052,56.807026
83,239.220133,65.78422,115.66427,56.628424
84,240.296051,65.114499,117.187155,56.843508
85,238.51492,64.960686,115.786351,56.616623
86,239.58795,63.922559,117.308678,56.869468
87,238.211515,64.985667,115.413175,56.660995
88,238.057773,62.85354,117.595172,56.489611
89,236.094541,63.955669,114.031521,56.699636
90,239.159222,65.600297,115.580977,56.833418
91,240.316702,65.397623,116.638485,56.814938
92,239.128762,65.068238,115.844822,56.863219
93,239.168592,63.817267,117.46676,56.718016
94,239.128011,65.667288,115.859422,56.460891
95,239.397116,65.064868,115.854653,57.106062
96,236.542398,64.268604,114.121612,56.97861
97,238.943928,65.506115,115.691739,56.589743
98,240.091688,65.688609,116.635997,56.614874
99,239.05439,65.076128,115.7828,56.592064
100,239.824183,64.183433,117.642122,56.787537
101,240.421404,66.058065,116.773789,56.437711
102,238.261256,62.90008,117.607832,56.521873
103,238.532141,64.820824,115.826882,56.763616
104,238.984199,65.296812,115.851043,56.629654
105,238.301718,64.879185,115.807841,56.460372
106,238.5003,65.19927,115.795871,56.36626
107,238.801945,65.151939,115.992916,56.542382
108,239.075241,65.119139,116.034505,56.415941
109,238.657613,65.108498,115.928643,56.40837
110,239.130761,65.045277,116.059526,56.857108
111,239.179383,65.186,115.855253,56.737066
