timestamp_perf_counter_sec,elapsed_sec,step,cpu_util_percent,gpu_util_percent,gpu_mem_used_mb,gpu_power_w,gpu_energy_mj
10818338.36140026,0.00029237568378448486,-1,0.0,9.0,1991.25,42.74,174632713137.0
10818338.865731485,0.5046236012130976,0,0.4,74.0,7157.25,71.101,174632771349.0
10818339.368251262,1.0071433782577515,3,0.5,96.0,8757.25,153.44,174632872831.0
10818339.87035459,1.5092467050999403,5,0.5,98.0,8757.25,203.425,174632970684.0
10818340.372433608,2.0113257244229317,7,0.6,98.0,8757.25,206.35,174633069458.0
10818340.88418368,2.523075796663761,9,0.6,97.0,8757.25,207.292,174633173445.0
10818341.392428124,3.0313202403485775,11,0.6,99.0,8757.25,209.25,174633279078.0
10818341.894519333,3.5334114488214254,13,0.5,97.0,8757.25,211.421,174633381604.0
10818342.423603509,4.0624956246465445,15,0.6,97.0,8757.25,210.279,174633482467.0
10818342.92584251,4.564734626561403,17,0.6,97.0,8757.25,210.354,174633583861.0
10818343.42798104,5.066873155534267,19,0.5,97.0,8757.25,213.446,174633687375.0
10818343.930965422,5.569857537746429,22,0.5,98.0,8757.25,212.78,174633807259.0
10818344.43303841,6.071930525824428,24,0.5,97.0,8757.25,207.959,174633912504.0
10818344.934976876,6.573868991807103,26,0.6,99.0,8757.25,209.123,174634018995.0
10818345.45041554,7.089307656511664,28,0.6,97.0,8757.25,211.035,174634119511.0
10818345.95251019,7.591402305290103,30,0.6,97.0,8757.25,211.261,174634219639.0
10818346.454620088,8.093512203544378,32,0.5,97.0,8757.25,211.616,174634321276.0
10818346.96048634,8.59937845543027,34,0.5,97.0,8757.25,214.576,174634427684.0
10818347.463486735,9.10237885080278,36,0.5,98.0,8757.25,212.904,174634531055.0
10818347.965675954,9.604568069800735,38,0.5,97.0,8757.25,209.586,174634633364.0
10818348.467834525,10.106726640835404,41,0.6,99.0,8757.25,211.234,174634736473.0
10818348.970235595,10.609127711504698,43,0.6,97.0,8757.25,209.339,174634834273.0
10818349.472344004,11.111236119642854,45,0.5,97.0,8757.25,207.632,174634933709.0
10818349.9812921,11.62018421664834,47,0.6,98.0,8757.25,209.62,174635039169.0
10818350.489281237,12.128173353150487,49,0.6,98.0,8757.25,210.087,174635144268.0
10818350.991400927,12.630293043330312,51,0.5,99.0,8757.25,209.431,174635245798.0
