step,step_ms,forward_ms,backward_ms,optimizer_ms
0,559.690027,337.679977,138.63539,82.089648
1,235.17125,63.126687,113.120952,56.327427
2,238.746314,62.429094,117.978657,56.906267
3,236.645157,62.1916,115.674967,56.979458
4,238.405578,64.726075,115.456882,56.642783
5,238.765984,64.655233,115.483624,56.898766
6,237.773896,64.516441,115.212949,56.841286
7,238.495379,64.729614,115.494094,57.124001
8,238.51573,64.864997,115.784109,56.702634
9,239.024369,64.997969,115.525324,56.865896
10,238.312756,64.909367,115.376652,56.825696
11,238.02871,65.184072,115.440103,56.273706
12,237.707935,64.833166,115.359981,56.412148
13,238.379227,62.75627,117.891566,56.616262
14,239.545788,65.694921,115.704697,56.49544
15,238.306746,65.029959,115.2616,56.604772
16,238.734094,64.759414,116.241557,56.376718
17,238.301245,64.775895,115.30729,56.47208
18,238.55931,63.604624,116.748436,57.04605
19,234.874135,62.327382,114.473916,56.928227
20,238.016311,64.568061,115.381961,56.886237
21,240.004396,65.943016,116.335819,56.567562
22,238.252174,64.416549,115.600326,56.975619
23,238.780854,64.350838,116.548223,56.758415
24,236.509085,63.163877,115.430333,56.593063
25,236.468164,62.985383,115.688897,56.47684
26,234.256715,63.476022,113.178963,56.47754
27,238.669003,65.173212,115.322661,57.050939
28,239.248652,65.272814,116.541622,56.303847
29,237.718596,64.918037,115.375072,56.294136
30,239.148111,63.346099,117.287795,56.965709
31,239.620949,66.573857,115.640947,56.296706
32,238.667642,65.194113,115.426082,56.896667
33,238.076412,64.372409,115.442393,57.126822
34,238.277515,65.515148,115.27544,56.383148
35,239.264723,64.650343,116.471852,57.02591
36,239.344574,65.579109,115.459963,56.451539
37,238.285366,63.451031,117.335886,56.370358
38,238.897716,65.869224,115.461723,56.423659
39,239.082809,65.662111,115.425843,56.887706
40,238.998587,65.818323,115.408002,56.656452
41,238.484299,65.534729,115.461693,56.392978
42,239.256672,65.694541,115.512305,56.846636
43,239.323464,65.681721,115.412582,56.859366
44,238.491158,65.087431,115.502474,56.344277
45,238.640752,65.479448,115.418452,56.623313
46,239.469156,65.210403,115.494954,56.931288
47,238.236935,65.165512,115.416692,56.535012
48,238.480769,65.396196,115.512344,56.46438
49,238.698433,65.302644,115.456352,56.832526
50,238.457758,65.212673,115.461873,56.45741
51,238.412368,65.280665,115.406692,56.613302
52,239.324493,65.574399,115.564115,56.579401
53,239.290693,62.815051,117.951157,56.555591
54,236.84209,64.300877,115.036045,56.322717
55,239.294314,65.730601,115.578135,56.873857
56,239.612789,64.754275,116.917699,56.781195
57,239.272043,65.779592,115.655907,56.391488
58,238.820165,63.560073,117.201674,56.914668
59,239.848722,66.126299,115.880871,56.656492
60,238.52334,62.596487,117.647931,57.112201
61,236.213269,64.184145,114.511457,56.350377
62,238.807495,65.678321,115.548025,56.459169
63,240.066547,64.683313,116.730386,57.061899
64,239.216152,65.65221,115.547035,56.677623
65,238.845575,63.639305,117.278005,56.313187
66,239.749711,66.17446,115.755668,56.414679
67,238.127143,62.537645,118.009238,56.46786
68,237.164806,64.309877,115.107547,56.535951
69,239.006178,65.660091,115.463383,56.772465
70,238.736243,64.525501,116.709205,56.365658
71,239.214361,65.823264,115.514934,56.711265
72,235.731701,63.689636,114.228582,56.47401
73,238.809055,65.64132,115.605146,56.445679
74,239.440955,65.092241,116.784247,56.440368
