step,phase,time_ms
0,forward,122.597866
0,backward,122.669968
0,optimizer,68.10448
1,forward,62.060962
1,backward,112.781513
1,optimizer,56.92082
2,forward,64.248061
2,backward,114.186147
2,optimizer,61.349419
3,forward,64.348072
3,backward,114.592825
3,optimizer,56.86957
4,forward,64.400474
4,backward,114.209148
4,optimizer,56.739247
5,forward,64.583467
5,backward,114.552164
5,optimizer,57.842637
6,forward,64.611237
6,backward,114.535923
6,optimizer,56.82662
7,forward,65.135547
7,backward,114.704227
7,optimizer,56.556554
8,forward,65.648396
8,backward,114.456872
8,optimizer,57.018503
9,forward,65.444391
9,backward,114.772239
9,optimizer,56.622235
10,forward,65.220598
10,backward,114.621905
10,optimizer,56.86142
11,forward,65.200028
11,backward,114.641495
11,optimizer,56.89917
12,forward,65.077575
12,backward,114.683547
12,optimizer,56.640985
13,forward,64.680389
13,backward,114.772377
13,optimizer,56.801539
14,forward,64.554956
14,backward,114.450693
14,optimizer,57.086883
15,forward,64.2232
15,backward,114.278689
15,optimizer,57.020502
16,forward,64.478655
16,backward,114.581444
16,optimizer,56.623496
17,forward,63.115371
17,backward,114.602695
17,optimizer,56.384041
18,forward,63.669791
18,backward,113.174929
18,optimizer,56.758627
19,forward,65.36108
19,backward,114.789748
19,optimizer,56.830519
20,forward,63.999677
20,backward,116.101891
20,optimizer,56.676696
21,forward,64.986674
21,backward,114.660126
21,optimizer,57.144184
22,forward,62.55937
22,backward,116.503079
22,optimizer,57.259456
23,forward,65.736297
23,backward,114.675496
23,optimizer,57.045883
24,forward,64.860971
24,backward,114.848219
24,optimizer,57.190896
25,forward,64.73182
25,backward,115.308698
25,optimizer,56.646415
26,forward,64.604877
26,backward,114.749617
26,optimizer,56.576185
27,forward,63.237433
27,backward,116.419398
27,optimizer,56.731817
28,forward,62.484289
28,backward,111.693253
28,optimizer,56.558324
29,forward,65.36907
29,backward,114.557163
29,optimizer,56.83439
30,forward,64.861222
30,backward,115.791736
30,optimizer,56.655455
31,forward,65.591885
31,backward,114.699146
31,optimizer,56.700817
32,forward,63.041979
32,backward,116.388897
32,optimizer,56.551744
33,forward,66.260407
33,backward,115.148884
33,optimizer,56.994932
34,forward,65.372051
34,backward,115.077913
34,optimizer,56.34095
35,forward,65.36577
35,backward,115.304957
35,optimizer,56.392651
36,forward,64.912472
36,backward,114.962331
36,optimizer,57.081144
37,forward,63.845683
37,backward,116.374396
37,optimizer,57.081783
38,forward,62.163114
38,backward,112.458056
38,optimizer,56.620265
39,forward,64.703749
39,backward,114.582475
39,optimizer,56.804629
40,forward,65.696317
40,backward,115.574752
40,optimizer,56.580654
41,forward,64.73904
41,backward,114.464192
