step,step_ms,forward_ms,backward_ms,optimizer_ms
0,313.760651,122.597866,122.669968,68.10448
1,233.2003,62.060962,112.781513,56.92082
2,241.249414,64.248061,114.186147,61.349419
3,237.242212,64.348072,114.592825,56.86957
4,236.754674,64.400474,114.209148,56.739247
5,238.311971,64.583467,114.552164,57.842637
6,237.199031,64.611237,114.535923,56.82662
7,237.619039,65.135547,114.704227,56.556554
8,238.331821,65.648396,114.456872,57.018503
9,238.049017,65.444391,114.772239,56.622235
10,237.942764,65.220598,114.621905,56.86142
11,237.970295,65.200028,114.641495,56.89917
12,237.598859,65.077575,114.683547,56.640985
13,237.510547,64.680389,114.772377,56.801539
14,237.324383,64.554956,114.450693,57.086883
15,236.722892,64.2232,114.278689,57.020502
16,236.929017,64.478655,114.581444,56.623496
17,235.313767,63.115371,114.602695,56.384041
18,234.803059,63.669791,113.174929,56.758627
19,238.250929,65.36108,114.789748,56.830519
20,237.995215,63.999677,116.101891,56.676696
21,237.995386,64.986674,114.660126,57.144184
22,237.72744,62.55937,116.503079,57.259456
23,238.79434,65.736297,114.675496,57.045883
24,238.109277,64.860971,114.848219,57.190896
25,238.234759,64.73182,115.308698,56.646415
26,237.150261,64.604877,114.749617,56.576185
27,237.585528,63.237433,116.419398,56.731817
28,231.923148,62.484289,111.693253,56.558324
29,237.974266,65.36907,114.557163,56.83439
30,238.532825,64.861222,115.791736,56.655455
31,238.187379,65.591885,114.699146,56.700817
32,237.187731,63.041979,116.388897,56.551744
33,239.606544,66.260407,115.148884,56.994932
34,237.987986,65.372051,115.077913,56.34095
35,238.294691,65.36577,115.304957,56.392651
36,238.144549,64.912472,114.962331,57.081144
37,238.518194,63.845683,116.374396,57.081783
38,232.503718,62.163114,112.458056,56.620265
39,237.533078,64.703749,114.582475,56.804629
40,239.055224,65.696317,115.574752,56.580654
41,237.320673,64.73904,114.464192,56.8914
42,237.782721,63.600699,116.005319,56.84605
43,240.52304,66.547421,115.706415,57.047172
44,236.969198,62.404979,116.827954,56.553725
45,236.60158,64.23048,113.924852,57.191575
46,238.647887,65.803018,114.85587,56.775947
47,239.026254,65.105656,116.128292,56.607155
48,238.83594,65.733877,115.155934,56.735037
49,237.038239,63.10571,115.352738,56.767978
50,239.552763,66.505821,115.255876,56.484253
51,238.515285,65.473713,115.208225,56.629146
52,239.618574,65.588095,116.124162,56.580434
53,238.406612,65.396801,115.274886,56.495683
54,238.588497,64.443315,116.426477,56.488313
55,233.322022,62.270745,113.19869,56.671606
