timestamp_perf_counter_sec,elapsed_sec,step,cpu_util_percent,gpu_util_percent,gpu_mem_used_mb,gpu_power_w,gpu_energy_mj
10985622.277833067,0.00025509484112262726,-1,0.0,11.0,1991.25,17.002,163073865648.0
10985622.780576682,0.5029987096786499,1,1.9,86.0,8757.25,53.26,163073939633.0
10985623.283836288,1.0062583163380623,3,1.9,95.0,8757.25,169.62,163074039148.0
10985623.785900593,1.5083226207643747,5,1.9,97.0,8757.25,210.353,163074138196.0
10985624.292336522,2.014758549630642,7,1.9,97.0,8757.25,210.119,163074240434.0
10985624.795400035,2.5178220625966787,10,1.9,98.0,8757.25,209.516,163074344299.0
10985625.297432655,3.0198546834290028,12,1.9,97.0,8757.25,208.386,163074445616.0
10985625.799555372,3.521977400407195,14,1.9,98.0,8757.25,206.74,163074545436.0
10985626.301932592,4.024354619905353,16,1.9,99.0,8757.25,207.611,163074667318.0
10985626.803964196,4.526386223733425,18,1.9,98.0,8757.25,210.413,163074771058.0
10985627.311612248,5.034034276381135,20,1.9,98.0,8757.25,210.949,163074873234.0
10985627.814029528,5.536451555788517,22,1.9,98.0,8757.25,211.369,163074977292.0
10985628.316195592,6.038617620244622,24,1.9,97.0,8757.25,207.885,163075077727.0
10985628.822752248,6.545174276456237,26,1.9,99.0,8757.25,205.158,163075177661.0
10985629.33044681,7.052868837490678,29,1.9,97.0,8757.25,207.281,163075279916.0
10985629.833185976,7.555608004331589,31,1.9,97.0,8757.25,207.393,163075381537.0
10985630.33523662,8.057658648118377,33,1.9,97.0,8757.25,205.098,163075483499.0
10985630.840316568,8.56273859553039,35,1.9,98.0,8757.25,205.568,163075585223.0
10985631.34239724,9.064819268882275,37,1.9,99.0,8757.25,207.766,163075686508.0
10985631.849658936,9.57208096422255,39,1.9,97.0,8757.25,210.052,163075787825.0
10985632.351926453,10.074348481371999,41,1.9,98.0,8757.25,211.309,163075888921.0
10985632.854056869,10.576478896662593,43,1.6,98.0,8757.25,208.555,163075990557.0
10985633.356368957,11.078790985047817,45,2.2,97.0,8757.25,209.176,163076093799.0
10985633.858796678,11.581218706443906,48,1.8,99.0,8757.25,207.223,163076193433.0
10985634.36086898,12.083291007205844,50,1.8,98.0,8757.25,205.686,163076290667.0
10985634.890272172,12.612694200128317,52,1.9,97.0,8757.25,205.117,163076391478.0
10985635.399211096,13.121633123606443,54,1.9,98.0,8757.25,207.971,163076512469.0
10985635.901188849,13.623610876500607,56,1.8,98.0,8757.25,211.837,163076618946.0
10985636.40814571,14.13056773878634,58,1.9,98.0,8757.25,211.323,163076721651.0
10985636.911566356,14.63398838415742,60,1.8,97.0,8757.25,204.623,163076822720.0
10985637.414721273,15.137143300846219,62,1.9,99.0,8757.25,207.204,163076923492.0
10985637.917029908,15.639451935887337,65,1.7,98.0,8757.25,205.778,163077022307.0
10985638.419059562,16.141481589525938,67,1.9,98.0,8757.25,207.581,163077125610.0
10985638.922133263,16.64455529116094,69,1.9,97.0,8757.25,209.4,163077227154.0
10985639.439919315,17.16234134323895,71,1.9,97.0,8757.25,207.58,163077331182.0
