step,phase,time_ms
0,forward,177.863263
0,backward,218.795649
0,optimizer,62.859089
1,forward,126.334858
1,backward,218.058877
1,optimizer,56.476
2,forward,127.267754
2,backward,219.157605
2,optimizer,56.768675
3,forward,127.489027
3,backward,217.872274
3,optimizer,56.561411
4,forward,127.65452
4,backward,217.713271
4,optimizer,56.922898
5,forward,127.401586
5,backward,218.021626
5,optimizer,56.935148
6,forward,125.794168
6,backward,218.413484
6,optimizer,56.780305
7,forward,127.456427
7,backward,218.760409
7,optimizer,56.860957
8,forward,123.752844
8,backward,218.562355
8,optimizer,56.755695
9,forward,127.476767
9,backward,217.893234
9,optimizer,56.703284
10,forward,126.375408
10,backward,218.128768
10,optimizer,57.027349
11,forward,128.073157
11,backward,218.420283
11,optimizer,56.927548
12,forward,127.06859
12,backward,219.127535
12,optimizer,56.706454
13,forward,128.283701
13,backward,218.142389
13,optimizer,56.765175
14,forward,127.207342
14,backward,218.24737
14,optimizer,56.398659
15,forward,128.26494
15,backward,218.604916
15,optimizer,56.740414
16,forward,127.564958
16,backward,218.940541
16,optimizer,56.767915
17,forward,123.769924
17,backward,218.918362
17,optimizer,57.006689
18,forward,127.561649
18,backward,218.102328
18,optimizer,56.654153
19,forward,126.264456
19,backward,218.121288
19,optimizer,56.900817
20,forward,128.272611
20,backward,218.569346
20,optimizer,56.600022
21,forward,128.394332
21,backward,219.790136
21,optimizer,56.840916
22,forward,128.216669
22,backward,218.417063
22,optimizer,56.963328
23,forward,127.63748
23,backward,219.136725
23,optimizer,56.735795
24,forward,128.070247
24,backward,219.007283
24,optimizer,56.726414
25,forward,127.6228
25,backward,218.604016
25,optimizer,56.42866
26,forward,127.940765
26,backward,218.221629
26,optimizer,56.709744
27,forward,128.308071
27,backward,218.947292
27,optimizer,56.739735
28,forward,127.013689
28,backward,219.117755
28,optimizer,57.202832
29,forward,126.264886
29,backward,218.82609
29,optimizer,56.383519
30,forward,127.860303
30,backward,218.26056
30,optimizer,56.49877
31,forward,128.988133
31,backward,219.149575
31,optimizer,56.821966
32,forward,128.535625
32,backward,219.300808
32,optimizer,56.649353
33,forward,127.1169
33,backward,218.547415
33,optimizer,56.696654
34,forward,128.213339
34,backward,219.37645
34,optimizer,56.598352
35,forward,128.19548
35,backward,219.083605
35,optimizer,56.552822
36,forward,124.490916
36,backward,219.592013
36,optimizer,56.278657
37,forward,127.715401
37,backward,218.750818
37,optimizer,56.746755
38,forward,126.543762
38,backward,218.759389
38,optimizer,56.971878
39,forward,128.639277
39,backward,219.149156
39,optimizer,56.568191
40,forward,128.137038
40,backward,219.869878
40,optimizer,56.857737
41,forward,128.775179
41,backward,218.535396
41,optimizer,56.949578
42,forward,128.669337
42,backward,219.316428
42,optimizer,56.490411
43,forward,126.921217
43,backward,219.422
43,optimizer,57.020969
44,forward,128.156628
44,backward,218.83321
44,optimizer,56.541561
45,forward,128.606267
45,backward,219.43285
45,optimizer,56.46062
46,forward,125.986212
46,backward,219.294587
46,optimizer,56.948138
47,forward,127.496867
47,backward,219.500901
47,optimizer,56.709754
48,forward,126.914839
48,backward,219.069754
48,optimizer,56.733084
49,forward,129.211167
49,backward,219.4463
49,optimizer,56.938258
50,forward,128.421973
50,backward,219.43055
50,optimizer,56.49172
51,forward,129.141935
51,backward,218.938952
51,optimizer,56.621952
52,forward,128.785569
52,backward,219.550142
52,optimizer,56.794685
53,forward,126.786235
53,backward,220.191693
53,optimizer,56.553572
54,forward,128.385722
54,backward,219.165016
54,optimizer,56.733705
55,forward,129.307739
55,backward,219.796427
55,optimizer,56.733625
56,forward,125.611965
56,backward,220.418207
56,optimizer,56.919827
57,forward,127.933795
57,backward,219.327549
57,optimizer,56.387409
58,forward,127.214502
58,backward,219.760226
58,optimizer,56.589852
59,forward,129.090145
59,backward,220.169153
59,optimizer,56.400249
60,forward,128.403902
60,backward,219.191076
60,optimizer,56.554301
61,forward,129.477771
61,backward,220.418217
61,optimizer,56.602712
62,forward,129.398721
62,backward,220.722242
62,optimizer,57.001639
63,forward,127.695841
63,backward,219.626104
63,optimizer,56.817646
64,forward,129.858228
64,backward,220.562669
64,optimizer,56.813875
65,forward,128.900291
65,backward,219.629473
65,optimizer,56.498141
66,forward,129.45492
66,backward,220.241894
66,optimizer,56.947498
67,forward,126.185905
67,backward,220.179133
67,optimizer,56.645283
68,forward,128.404273
68,backward,219.41491
68,optimizer,56.586213
69,forward,127.266343
69,backward,220.03338
69,optimizer,56.816936
70,forward,129.40244
70,backward,220.626831
70,optimizer,56.630972
71,forward,128.660427
71,backward,219.40188
71,optimizer,56.771205
72,forward,129.805837
72,backward,220.343715
72,optimizer,56.967308
73,forward,129.745445
73,backward,219.912978
73,optimizer,56.47024
74,forward,128.603206
74,backward,220.468008
74,optimizer,56.789225
75,forward,127.523488
75,backward,220.378856
75,optimizer,56.398169
76,forward,129.121385
76,backward,219.975579
76,optimizer,56.629923
77,forward,129.782436
77,backward,220.62414
77,optimizer,56.902697
78,forward,125.700717
78,backward,220.778433
78,optimizer,56.879047
79,forward,128.872781
79,backward,219.870867
79,optimizer,57.116061
80,forward,127.892654
80,backward,220.512378
80,optimizer,56.597162
81,forward,129.312179
81,backward,220.421957
81,optimizer,56.587172
82,forward,129.515042
82,backward,220.870296
82,optimizer,56.738725
83,forward,129.252457
83,backward,220.791193
83,optimizer,56.544091
84,forward,129.696754
84,backward,220.286295
84,optimizer,56.973759
85,forward,129.100654
85,backward,220.742402
85,optimizer,56.686594
86,forward,128.656717
86,backward,220.156883
86,optimizer,56.360558
87,forward,129.924429
87,backward,220.958306
87,optimizer,56.361648
88,forward,129.355799
88,backward,220.438958
88,optimizer,56.917277
89,forward,129.482321
89,backward,221.045528
89,optimizer,56.322227
90,forward,126.378179
90,backward,220.682462
90,optimizer,56.694994
91,forward,128.911651
91,backward,219.796456
91,optimizer,56.847846
92,forward,127.845003
92,backward,221.17353
92,optimizer,56.594032
93,forward,129.573412
93,backward,221.044128
93,optimizer,56.566592
94,forward,129.878468
94,backward,222.231828
94,optimizer,56.566801
95,forward,130.03305
95,backward,221.726579
95,optimizer,56.47938
96,forward,130.226274
96,backward,221.859353
96,optimizer,56.738035
97,forward,130.471438
97,backward,220.565319
97,optimizer,56.525651
98,forward,129.321808
98,backward,221.709049
98,optimizer,56.998459
99,forward,128.417953
99,backward,222.634005
99,optimizer,56.505951
100,forward,129.848768
100,backward,222.124296
100,optimizer,56.701234
101,forward,129.723155
101,backward,220.722822
101,optimizer,56.936388
102,forward,125.813319
102,backward,220.804403
102,optimizer,56.898438
103,forward,127.515498
103,backward,222.33949
103,optimizer,56.47872
104,forward,129.688364
104,backward,220.704522
104,optimizer,57.005509
105,forward,128.141918
105,backward,222.037904
105,optimizer,56.48256
106,forward,129.779076
106,backward,221.276711
106,optimizer,56.304787
107,forward,130.244234
107,backward,222.060954
107,optimizer,57.03059
108,forward,129.627854
108,backward,220.942716
108,optimizer,56.451419
109,forward,131.014668
109,backward,222.427891
109,optimizer,56.45249
110,forward,131.200852
110,backward,221.245901
110,optimizer,56.630673
111,forward,130.105812
111,backward,221.814871
111,optimizer,56.355898
112,forward,129.255617
112,backward,220.979537
112,optimizer,56.790176
113,forward,130.487608
113,backward,221.992733
113,optimizer,57.414486
114,forward,130.158373
114,backward,221.983484
114,optimizer,56.834556
115,forward,129.97541
115,backward,222.039624
115,optimizer,56.536731
116,forward,125.959931
116,backward,221.007837
116,optimizer,56.639803
117,forward,129.142256
117,backward,222.205297
117,optimizer,56.767775
118,forward,129.865598
118,backward,221.19666
118,optimizer,56.933908
119,forward,128.299921
119,backward,222.880419
119,optimizer,56.726674
120,forward,130.198293
120,backward,221.105888
120,optimizer,56.695604
121,forward,130.741673
121,backward,221.960594
121,optimizer,57.07201
122,forward,130.505628
122,backward,221.737969
122,optimizer,57.05769
123,forward,130.067291
123,backward,222.674155
123,optimizer,56.922519
124,forward,130.969527
124,backward,222.678146
124,optimizer,56.684974
125,forward,130.979006
125,backward,221.606367
125,optimizer,57.010209
126,forward,129.962979
126,backward,222.39346
126,optimizer,56.278257
127,forward,129.286988
127,backward,221.050878
127,optimizer,56.319647
128,forward,130.512588
128,backward,222.663215
128,optimizer,56.428709
129,forward,130.105621
129,backward,221.378353
129,optimizer,56.392869
130,forward,130.731363
130,backward,222.246359
130,optimizer,56.724894
131,forward,126.030473
131,backward,221.75506
131,optimizer,56.51581
132,forward,130.952276
132,backward,222.636935
132,optimizer,56.587662
133,forward,130.164503
133,backward,221.438764
133,optimizer,56.396539
134,forward,129.157216
134,backward,222.944729
134,optimizer,56.546081
135,forward,128.345852
135,backward,221.586627
135,optimizer,56.816436
136,forward,131.114589
136,backward,222.178146
136,optimizer,56.49092
137,forward,130.434697
137,backward,221.406235
137,optimizer,57.185512
138,forward,131.456894
138,backward,223.189364
138,optimizer,56.670513
139,forward,131.250951
139,backward,223.059662
139,optimizer,56.558171
140,forward,131.494205
140,backward,221.613877
140,optimizer,56.879857
141,forward,130.519208
141,backward,222.430221
141,optimizer,56.930448
142,forward,129.484301
142,backward,221.493865
142,optimizer,56.875847
143,forward,128.036657
143,backward,222.155547
143,optimizer,56.640443
144,forward,129.664474
144,backward,221.409915
144,optimizer,56.526771
145,forward,130.493908
145,backward,220.717342
145,optimizer,56.628963
146,forward,125.832269
146,backward,222.081126
146,optimizer,56.682944
147,forward,129.9855
147,backward,222.36634
147,optimizer,56.555151
148,forward,128.955942
148,backward,221.620887
148,optimizer,56.406529
149,forward,128.278861
149,backward,222.517703
149,optimizer,56.804345
150,forward,129.604703
150,backward,222.255029
150,optimizer,56.552561
151,forward,130.00254
151,backward,222.477523
151,optimizer,56.688333
152,forward,127.364045
152,backward,222.123106
152,optimizer,56.523581
153,forward,130.59668
153,backward,222.582684
153,optimizer,56.586702
154,forward,130.666871
154,backward,221.385364
154,optimizer,57.07176
155,forward,129.504261
155,backward,222.36255
155,optimizer,56.520931
156,forward,128.81655
156,backward,221.641288
156,optimizer,56.687034
157,forward,130.315566
157,backward,222.432582
157,optimizer,57.208712
158,forward,129.785607
158,backward,221.489955
158,optimizer,56.645953
159,forward,130.414736
159,backward,222.083275
159,optimizer,56.845246
160,forward,126.003502
160,backward,221.738519
160,optimizer,56.829066
161,forward,130.284035
161,backward,222.799208
161,optimizer,56.404688
162,forward,130.120362
162,backward,221.674748
162,optimizer,56.908747
163,forward,128.506185
163,backward,222.877829
163,optimizer,56.605772
164,forward,129.9565
164,backward,221.809151
164,optimizer,56.816965
165,forward,130.784284
165,backward,222.627964
165,optimizer,57.125071
166,forward,129.874437
166,backward,222.254598
166,optimizer,56.552531
167,forward,130.730202
167,backward,223.197344
167,optimizer,56.674054
168,forward,131.110399
168,backward,222.884459
168,optimizer,56.45384
169,forward,130.928376
169,backward,222.109896
169,optimizer,56.564122
170,forward,130.294785
170,backward,222.353829
170,optimizer,56.44783
171,forward,129.532692
171,backward,221.934434
171,optimizer,56.423319
172,forward,130.61562
172,backward,222.173247
172,optimizer,56.736884
173,forward,129.700405
173,backward,222.810158
173,optimizer,56.521691
174,forward,130.275805
174,backward,222.182377
174,optimizer,56.551501
175,forward,126.315317
175,backward,221.953683
175,optimizer,56.364708
176,forward,127.6074
176,backward,222.591064
176,optimizer,56.717414
177,forward,129.555583
177,backward,222.059515
177,optimizer,56.875427
178,forward,128.718218
178,backward,222.812039
178,optimizer,56.506241
179,forward,130.256935
179,backward,221.931113
179,optimizer,56.52363
180,forward,130.439918
180,backward,222.684895
180,optimizer,56.378968
181,forward,130.144922
181,backward,223.192924
181,optimizer,56.535671
182,forward,130.993596
182,backward,222.218168
182,optimizer,56.556262
183,forward,130.883095
183,backward,223.300596
183,optimizer,56.454319
184,forward,131.009797
184,backward,221.749709
184,optimizer,56.614562
185,forward,130.635151
185,backward,223.444519
185,optimizer,56.789655
186,forward,129.495751
186,backward,223.242425
186,optimizer,56.535601
187,forward,128.590436
187,backward,223.341557
187,optimizer,56.830296
188,forward,130.421837
188,backward,223.247075
188,optimizer,56.870737
189,forward,130.327735
189,backward,222.486362
189,optimizer,57.148172
190,forward,131.072758
190,backward,220.828584
190,optimizer,56.617192
191,forward,126.320928
191,backward,222.293079
191,optimizer,56.637353
192,forward,130.723052
192,backward,222.969021
192,optimizer,56.337538
193,forward,129.853588
193,backward,222.3567
193,optimizer,56.986989
194,forward,128.87222
194,backward,222.833158
194,optimizer,56.355298
195,forward,128.047196
195,backward,222.061165
195,optimizer,56.787255
196,forward,130.999677
196,backward,222.718436
196,optimizer,56.422219
197,forward,130.474428
197,backward,222.905769
197,optimizer,56.358738
198,forward,129.499401
198,backward,222.784257
198,optimizer,56.818715
199,forward,131.453085
199,backward,223.442208
199,optimizer,56.636803
200,forward,131.286522
200,backward,222.066145
200,optimizer,56.217486
201,forward,130.316505
201,backward,223.028492
201,optimizer,56.696104
202,forward,129.807556
202,backward,222.36937
202,optimizer,56.831936
203,forward,128.710068
203,backward,223.298406
203,optimizer,56.46698
204,forward,130.259575
204,backward,224.171281
204,optimizer,56.580942
205,forward,130.182473
205,backward,222.137906
205,optimizer,56.718964
206,forward,131.091369
206,backward,221.947353
206,optimizer,56.557281
207,forward,126.188815
207,backward,223.207794
207,optimizer,56.621782
208,forward,131.252702
208,backward,223.065772
208,optimizer,56.746124
209,forward,130.418977
209,backward,222.223568
209,optimizer,56.821846
210,forward,129.628694
210,backward,223.245964
210,optimizer,56.633443
211,forward,128.335641
211,backward,222.306149
211,optimizer,56.690643
212,forward,130.303385
212,backward,223.199755
212,optimizer,57.03742
213,forward,130.847514
213,backward,223.231175
213,optimizer,56.572271
214,forward,130.940125
214,backward,222.195347
214,optimizer,56.562152
215,forward,131.995944
215,backward,224.069909
215,optimizer,56.622572
216,forward,131.667708
