step,step_ms,forward_ms,backward_ms,optimizer_ms
0,459.867417,177.863263,218.795649,62.859089
1,402.024114,126.334858,218.058877,56.476
2,404.446095,127.267754,219.157605,56.768675
3,403.157624,127.489027,217.872274,56.561411
4,403.422118,127.65452,217.713271,56.922898
5,403.52156,127.401586,218.021626,56.935148
6,402.153037,125.794168,218.413484,56.780305
7,404.268002,127.456427,218.760409,56.860957
8,400.233314,123.752844,218.562355,56.755695
9,403.287365,127.476767,217.893234,56.703284
10,402.695815,126.375408,218.128768,57.027349
11,404.587058,128.073157,218.420283,56.927548
12,404.070039,127.06859,219.127535,56.706454
13,404.332854,128.283701,218.142389,56.765175
14,402.98329,127.207342,218.24737,56.398659
15,404.7498,128.26494,218.604916,56.740414
16,404.385054,127.564958,218.940541,56.767915
17,400.938405,123.769924,218.918362,57.006689
18,403.53672,127.561649,218.102328,56.654153
19,402.43068,126.264456,218.121288,56.900817
20,404.571278,128.272611,218.569346,56.600022
21,406.179414,128.394332,219.790136,56.840916
22,404.74168,128.216669,218.417063,56.963328
23,404.817401,127.63748,219.136725,56.735795
24,404.966824,128.070247,219.007283,56.726414
25,404.010478,127.6228,218.604016,56.42866
26,404.022138,127.940765,218.221629,56.709744
27,405.156468,128.308071,218.947292,56.739735
28,404.72364,127.013689,219.117755,57.202832
29,402.768967,126.264886,218.82609,56.383519
30,403.784284,127.860303,218.26056,56.49877
31,406.144984,128.988133,219.149575,56.821966
32,405.639065,128.535625,219.300808,56.649353
33,403.51129,127.1169,218.547415,56.696654
34,405.355801,128.213339,219.37645,56.598352
35,404.986215,128.19548,219.083605,56.552822
36,401.508235,124.490916,219.592013,56.278657
37,404.341844,127.715401,218.750818,56.746755
38,403.416028,126.543762,218.759389,56.971878
39,405.560934,128.639277,219.149156,56.568191
40,406.158434,128.137038,219.869878,56.857737
41,405.417923,128.775179,218.535396,56.949578
42,405.718647,128.669337,219.316428,56.490411
43,404.518577,126.921217,219.422,57.020969
44,404.658848,128.156628,218.83321,56.541561
45,405.721667,128.606267,219.43285,56.46062
46,403.391217,125.986212,219.294587,56.948138
47,404.862772,127.496867,219.500901,56.709754
48,403.845766,126.914839,219.069754,56.733084
49,406.948338,129.211167,219.4463,56.938258
50,405.523123,128.421973,219.43055,56.49172
51,405.860189,129.141935,218.938952,56.621952
52,406.294396,128.785569,219.550142,56.794685
53,404.707529,126.786235,220.191693,56.553572
54,405.421102,128.385722,219.165016,56.733705
55,406.987919,129.307739,219.796427,56.733625
56,404.13897,125.611965,220.418207,56.919827
57,405.075496,127.933795,219.327549,56.387409
58,404.697079,127.214502,219.760226,56.589852
59,406.823706,129.090145,220.169153,56.400249
60,405.31968,128.403902,219.191076,56.554301
61,407.63126,129.477771,220.418217,56.602712
62,408.25481,129.398721,220.722242,57.001639
63,405.30055,127.695841,219.626104,56.817646
64,408.395182,129.858228,220.562669,56.813875
65,406.164054,128.900291,219.629473,56.498141
66,407.876784,129.45492,220.241894,56.947498
67,404.173771,126.185905,220.179133,56.645283
