timestamp_perf_counter_sec,elapsed_sec,step,cpu_util_percent,gpu_util_percent,gpu_mem_used_mb,gpu_power_w,gpu_energy_mj
10989285.688928232,0.00017335079610347748,-1,0.0,0.0,1991.25,11.931,132934556050.0
10989286.192039523,0.5032846424728632,0,0.9,97.0,9133.25,52.262,132934640309.0
10989286.69538806,1.0066331792622805,2,0.7,100.0,11717.25,179.148,132934741575.0
10989287.197976124,1.5092212427407503,3,0.6,98.0,11717.25,222.383,132934849902.0
10989287.704396993,2.015642112120986,4,0.6,98.0,11717.25,221.616,132934960427.0
10989288.206353085,2.5175982043147087,5,0.6,100.0,11717.25,226.951,132935070997.0
10989288.708422652,3.0196677707135677,7,0.7,100.0,11717.25,221.872,132935178721.0
10989289.210350065,3.5215951837599277,8,0.7,98.0,11717.25,225.218,132935291282.0
10989289.712626832,4.023871950805187,9,0.7,98.0,11717.25,223.637,132935400686.0
10989290.214999232,4.526244351640344,10,0.9,100.0,11717.25,223.232,132935531664.0
10989290.716908772,5.028153890743852,12,1.0,98.0,11717.25,222.885,132935643699.0
10989291.22313094,5.534376058727503,13,1.2,98.0,11717.25,220.214,132935754374.0
10989291.725816064,6.037061182782054,14,1.4,100.0,11717.25,224.263,132935866513.0
10989292.228187503,6.539432622492313,15,1.7,100.0,11717.25,224.606,132935977427.0
10989292.730280388,7.041525507345796,17,1.3,98.0,11717.25,222.984,132936084313.0
10989293.236927493,7.548172611743212,18,1.1,98.0,11717.25,224.268,132936195167.0
10989293.742269073,8.053514191880822,19,1.0,100.0,11717.25,226.257,132936307109.0
10989294.245015,8.556260120123625,20,1.0,100.0,11717.25,227.392,132936417807.0
10989294.74865174,9.059896858409047,22,0.9,98.0,11717.25,218.737,132936519844.0
10989295.263069523,9.574314642697573,23,1.0,98.0,11717.25,221.148,132936630262.0
10989295.76518096,10.076426079496741,24,1.0,100.0,11717.25,221.357,132936737823.0
10989296.267165335,10.57841045409441,25,1.0,100.0,11717.25,227.088,132936847892.0
10989296.7693922,11.080637319013476,27,1.0,98.0,11717.25,221.509,132936955414.0
10989297.272359593,11.583604712039232,28,1.0,99.0,11717.25,224.031,132937063455.0
10989297.774476556,12.085721675306559,29,1.1,98.0,11717.25,223.674,132937172424.0
10989298.280863935,12.592109054327011,30,1.1,98.0,11717.25,229.188,132937285355.0
10989298.783816196,13.095061315223575,32,1.0,99.0,11717.25,222.232,132937394128.0
10989299.285788609,13.597033727914095,33,1.1,99.0,11717.25,221.989,132937504748.0
10989299.787851024,14.099096143618226,34,1.1,98.0,11717.25,222.641,132937615397.0
10989300.289776616,14.60102173499763,35,1.0,99.0,11717.25,226.118,132937725215.0
10989300.791696148,15.102941267192364,37,1.0,99.0,11717.25,226.759,132937834832.0
10989301.293660212,15.604905331507325,38,1.1,99.0,11717.25,225.401,132937937800.0
10989301.8001213,16.111366419121623,39,1.1,98.0,11717.25,224.186,132938049547.0
10989302.302910328,16.614155447110534,40,1.0,97.0,11717.25,223.765,132938159082.0
10989302.804905592,17.116150710731745,42,1.0,100.0,11717.25,225.844,132938267158.0
10989303.312192274,17.623437393456697,43,1.1,100.0,11717.25,223.411,132938396388.0
10989303.81902508,18.1302701998502,44,1.0,98.0,11717.25,223.348,132938507268.0
10989304.320943901,18.632189020514488,45,1.0,100.0,11717.25,228.708,132938618864.0
10989304.822972955,19.13421807438135,47,1.0,100.0,11717.25,223.132,132938725802.0
10989305.34134402,19.65258913859725,48,1.1,98.0,11717.25,226.025,132938839168.0
10989305.8479505,20.15919561870396,49,1.1,98.0,11717.25,224.373,132938948864.0
10989306.349967154,20.661212272942066,50,1.0,100.0,11717.25,227.965,132939058950.0
10989306.851846507,21.163091626018286,52,1.0,100.0,11717.25,224.219,132939167599.0
10989307.371193973,21.6824390925467,53,1.1,98.0,11717.25,223.464,132939276290.0
10989307.87745088,22.188695998862386,54,1.0,98.0,11717.25,224.174,132939388034.0
10989308.380685205,22.691930323839188,55,1.1,100.0,11717.25,225.424,132939498547.0
10989308.882714909,23.193960027769208,57,1.0,100.0,11717.25,227.573,132939609569.0
10989309.398983736,23.71022885479033,58,1.1,98.0,11717.25,224.325,132939717674.0
10989309.907013172,24.218258291482925,59,1.0,98.0,11717.25,224.329,132939846329.0
10989310.409449222,24.720694340765476,60,1.1,100.0,11717.25,227.977,132939959559.0
10989310.916639904,25.227885022759438,62,1.1,99.0,11717.25,221.061,132940065786.0
10989311.43113041,25.74237552843988,63,1.0,99.0,11717.25,220.119,132940179259.0
10989311.936640134,26.2478852532804,64,1.1,98.0,11717.25,221.567,132940288496.0
10989312.439190065,26.750435184687376,65,1.0,99.0,11717.25,226.906,132940400936.0
10989312.941382624,27.252627743408084,66,1.0,99.0,11717.25,225.137,132940512449.0
10989313.45826314,27.769508259370923,68,1.1,99.0,11717.25,224.752,132940620790.0
10989313.96535465,28.276599768549204,69,1.0,99.0,11717.25,225.441,132940730895.0
10989314.467276944,28.778522063046694,70,1.0,98.0,11717.25,225.007,132940838770.0
10989314.969260637,29.280505755916238,71,2.2,100.0,11717.25,227.368,132940946885.0
10989315.489061272,29.800306390970945,73,2.2,100.0,11717.25,221.333,132941048811.0
10989315.995231796,30.30647691525519,74,1.3,98.0,11717.25,221.833,132941161507.0
10989316.497936113,30.809181232005358,75,1.8,98.0,11717.25,223.099,132941273394.0
10989317.0002568,31.31150191836059,76,1.1,100.0,11717.25,229.629,132941385149.0
10989317.517069297,31.828314416110516,78,1.1,98.0,11717.25,223.914,132941516822.0
10989318.025619563,32.33686468191445,79,1.1,98.0,11717.25,223.394,132941626939.0
10989318.527792368,32.83903748728335,80,1.0,100.0,11717.25,227.963,132941737081.0
10989319.034629405,33.34587452374399,81,1.1,100.0,11717.25,227.342,132941849453.0
