step,phase,time_ms
0,forward,195.98858
0,backward,221.489297
0,optimizer,62.564408
1,forward,126.982069
1,backward,217.480258
1,optimizer,56.155866
2,forward,125.806148
2,backward,217.067119
2,optimizer,56.555652
3,forward,127.536499
3,backward,217.375325
3,optimizer,56.546712
4,forward,128.26257
4,backward,217.793152
4,optimizer,56.706185
5,forward,127.68011
5,backward,218.454364
5,optimizer,56.617173
6,forward,125.963361
6,backward,218.123998
6,optimizer,56.853398
7,forward,129.114886
7,backward,217.480437
7,optimizer,56.933329
8,forward,123.719711
8,backward,217.823772
8,optimizer,56.669554
9,forward,128.160319
9,backward,218.485024
9,optimizer,56.755286
10,forward,126.46467
10,backward,218.341492
10,optimizer,56.883339
11,forward,127.326034
11,backward,218.79574
11,optimizer,56.575213
12,forward,127.170162
12,backward,217.830392
12,optimizer,56.813947
13,forward,128.135569
13,backward,217.66474
13,optimizer,57.045881
14,forward,127.383705
14,backward,218.492115
14,optimizer,57.127863
15,forward,125.997901
15,backward,218.419123
15,optimizer,56.597793
16,forward,127.416146
16,backward,218.841801
16,optimizer,57.00115
17,forward,124.056788
17,backward,218.533495
17,optimizer,56.581323
18,forward,127.907855
18,backward,218.081368
18,optimizer,56.884338
19,forward,126.4929
19,backward,219.035224
19,optimizer,56.888008
20,forward,127.790133
20,backward,218.669997
20,optimizer,56.732896
21,forward,127.739511
21,backward,218.483325
21,optimizer,56.663094
22,forward,128.509985
22,backward,217.805823
22,optimizer,56.654465
23,forward,127.345935
23,backward,218.588486
23,optimizer,56.641484
24,forward,127.784463
24,backward,218.455974
24,optimizer,57.003131
25,forward,127.564448
25,backward,218.545966
25,optimizer,56.610883
26,forward,127.917175
26,backward,218.029007
26,optimizer,56.596613
27,forward,128.21391
27,backward,218.572966
27,optimizer,56.604573
28,forward,126.728064
28,backward,218.542636
28,optimizer,56.738506
29,forward,127.736452
29,backward,218.906042
29,optimizer,56.573283
30,forward,127.841583
30,backward,218.082147
30,optimizer,56.723586
31,forward,128.812811
31,backward,218.84297
31,optimizer,56.622204
32,forward,127.751402
32,backward,218.628857
32,optimizer,56.684365
33,forward,126.50017
33,backward,219.062755
33,optimizer,56.786616
34,forward,128.042857
34,backward,218.154918
34,optimizer,56.670085
35,forward,128.254751
35,backward,218.108908
35,optimizer,56.788087
36,forward,125.715206
36,backward,218.830681
36,optimizer,56.830538
37,forward,127.182242
37,backward,219.448452
37,optimizer,56.44638
38,forward,126.622972
38,backward,219.031843
38,optimizer,57.000561
39,forward,128.493255
39,backward,218.624257
39,optimizer,56.733205
40,forward,129.381031
40,backward,219.482812
40,optimizer,56.865538
41,forward,128.732629
41,backward,218.554706
41,optimizer,57.01403
42,forward,127.104181
42,backward,218.427114
42,optimizer,56.667515
43,forward,128.473124
43,backward,218.565796
43,optimizer,56.93242
44,forward,127.910385
44,backward,219.336699
44,optimizer,56.36995
45,forward,124.508135
45,backward,219.263778
45,optimizer,56.583173
46,forward,127.893434
46,backward,218.514455
46,optimizer,56.551792
47,forward,126.636582
47,backward,219.078335
47,optimizer,56.559022
48,forward,127.898065
48,backward,218.865861
48,optimizer,56.267077
49,forward,127.991556
49,backward,218.79618
49,optimizer,56.717496
50,forward,128.741589
50,backward,218.552855
50,optimizer,56.339299
51,forward,128.134089
51,backward,219.059525
51,optimizer,56.692235
52,forward,126.498329
52,backward,219.435742
52,optimizer,56.743505
53,forward,128.096178
53,backward,218.486665
53,optimizer,56.949269
54,forward,128.233201
54,backward,218.905121
54,optimizer,56.37421
55,forward,126.713964
55,backward,219.208467
55,optimizer,57.024401
56,forward,127.539758
56,backward,219.519652
56,optimizer,56.696295
57,forward,128.179339
57,backward,218.983173
57,optimizer,56.194156
58,forward,128.567836
58,backward,219.792108
58,optimizer,56.859638
59,forward,129.283799
59,backward,220.522931
59,optimizer,56.897028
60,forward,128.900432
60,backward,218.701878
60,optimizer,56.548232
61,forward,128.256592
61,backward,219.35667
61,optimizer,56.885988
62,forward,126.937877
62,backward,220.158924
62,optimizer,56.622844
63,forward,128.293271
63,backward,219.003714
63,optimizer,56.692125
64,forward,129.141885
64,backward,219.91605
64,optimizer,56.554543
65,forward,125.466061
65,backward,219.891249
65,optimizer,57.056791
66,forward,127.942386
66,backward,219.072425
66,optimizer,56.740316
67,forward,126.737754
67,backward,218.906702
67,optimizer,56.364179
68,forward,128.936013
68,backward,219.536063
68,optimizer,56.614934
69,forward,128.499775
69,backward,220.126213
69,optimizer,56.95878
70,forward,129.263899
70,backward,219.556963
70,optimizer,56.734826
71,forward,128.661219
71,backward,219.872418
71,optimizer,56.770836
72,forward,127.962945
72,backward,219.458122
72,optimizer,56.682995
73,forward,128.774689
73,backward,220.082873
73,optimizer,56.838118
74,forward,128.523935
74,backward,219.971
74,optimizer,56.787317
75,forward,128.490655
75,backward,219.269298
75,optimizer,56.709065
76,forward,129.065275
76,backward,220.483559
76,optimizer,56.510412
77,forward,128.028466
77,backward,220.362438
77,optimizer,56.625044
78,forward,128.346892
78,backward,219.320889
78,optimizer,56.916179
79,forward,129.068705
79,backward,220.182754
79,optimizer,56.737756
80,forward,128.997014
80,backward,220.433088
80,optimizer,56.623144
81,forward,129.585005
81,backward,220.162164
81,optimizer,56.597933
82,forward,129.527114
82,backward,220.49914
82,optimizer,56.639674
83,forward,127.994147
83,backward,219.409439
83,optimizer,57.069011
84,forward,129.305739
84,backward,220.024379
84,optimizer,56.800816
85,forward,129.196506
85,backward,220.462958
85,optimizer,56.792647
86,forward,129.258527
86,backward,220.855005
86,optimizer,56.737845
87,forward,126.667962
87,backward,220.503858
87,optimizer,56.732415
88,forward,129.088984
88,backward,219.527781
88,optimizer,56.45896
89,forward,127.562647
89,backward,220.459917
89,optimizer,56.642624
90,forward,129.305088
90,backward,220.433177
90,optimizer,57.068281
91,forward,129.675805
91,backward,219.794765
91,optimizer,56.647664
92,forward,131.05713
92,backward,220.893435
92,optimizer,56.962549
93,forward,130.01261
93,backward,219.703375
93,optimizer,56.682834
94,forward,129.166156
94,backward,220.265784
94,optimizer,56.316268
95,forward,128.182779
95,backward,220.66253
95,optimizer,57.338656
96,forward,129.600584
96,backward,221.580767
96,optimizer,56.614123
97,forward,129.355099
97,backward,220.569349
97,optimizer,56.950479
98,forward,129.499902
98,backward,221.210811
98,optimizer,56.606114
99,forward,126.648911
99,backward,220.828304
99,optimizer,56.631293
100,forward,128.78639
100,backward,220.124592
100,optimizer,57.063551
101,forward,127.721121
101,backward,223.931978
101,optimizer,56.382809
102,forward,129.494262
102,backward,220.287114
102,optimizer,56.850368
103,forward,129.700005
103,backward,221.091308
103,optimizer,56.576493
104,forward,129.932149
104,backward,220.616051
104,optimizer,56.630693
105,forward,130.045371
105,backward,221.824161
105,optimizer,56.47599
106,forward,130.018841
106,backward,220.840614
106,optimizer,56.48361
107,forward,128.657397
107,backward,220.785692
107,optimizer,56.406
108,forward,127.969945
108,backward,220.788653
108,optimizer,56.162105
109,forward,129.40004
109,backward,220.262574
109,optimizer,56.738115
110,forward,130.00573
110,backward,221.197321
110,optimizer,56.450691
111,forward,126.282155
111,backward,221.20573
111,optimizer,56.622564
112,forward,129.255687
112,backward,221.490555
112,optimizer,56.347869
113,forward,128.312321
113,backward,221.609287
113,optimizer,56.736385
114,forward,129.550022
114,backward,220.396276
114,optimizer,56.541082
115,forward,130.203084
115,backward,221.270292
115,optimizer,56.929249
116,forward,129.600263
116,backward,220.110171
116,optimizer,56.584403
117,forward,131.048029
117,backward,221.728459
117,optimizer,56.359488
118,forward,130.758554
118,backward,220.351265
118,optimizer,56.587582
119,forward,129.316559
119,backward,221.407294
119,optimizer,56.713705
120,forward,128.516814
120,backward,222.271749
120,optimizer,56.669264
121,forward,130.286925
121,backward,221.72825
121,optimizer,56.44939
122,forward,129.678684
122,backward,220.768823
122,optimizer,56.782556
123,forward,130.407338
123,backward,221.592447
123,optimizer,56.786856
124,forward,126.309526
124,backward,221.324072
124,optimizer,56.662014
125,forward,129.771537
125,backward,222.361161
125,optimizer,56.745146
126,forward,128.880381
126,backward,221.510956
126,optimizer,56.799876
127,forward,127.709681
127,backward,220.807394
127,optimizer,56.885928
128,forward,130.214994
128,backward,221.857123
128,optimizer,56.497231
129,forward,129.989231
129,backward,221.71965
129,optimizer,56.400719
130,forward,130.065252
130,backward,222.040425
130,optimizer,56.794366
131,forward,130.770634
131,backward,222.977491
131,optimizer,56.611433
132,forward,130.949348
132,backward,220.843704
132,optimizer,56.40995
133,forward,129.690695
133,backward,222.174747
133,optimizer,56.302317
134,forward,128.739669
134,backward,222.84554
134,optimizer,57.482278
135,forward,130.486639
135,backward,222.488773
135,optimizer,56.872758
136,forward,130.017661
136,backward,220.958666
136,optimizer,56.546162
137,forward,130.707842
137,backward,220.888125
137,optimizer,56.398799
138,forward,125.9613
138,backward,221.541007
138,optimizer,56.805677
139,forward,129.907099
139,backward,222.581245
139,optimizer,56.709435
140,forward,128.984473
140,backward,221.482026
140,optimizer,57.088362
141,forward,128.805969
141,backward,222.834219
141,optimizer,56.923338
142,forward,129.99383
142,backward,221.15674
142,optimizer,56.568803
143,forward,130.391137
143,backward,222.259739
143,optimizer,56.412189
144,forward,130.780214
144,backward,221.849452
144,optimizer,57.01793
145,forward,131.402226
145,backward,221.855562
145,optimizer,56.942769
146,forward,131.222142
146,backward,222.283979
146,optimizer,56.857527
147,forward,130.58798
147,backward,221.893153
147,optimizer,56.352908
148,forward,129.701525
148,backward,223.030002
148,optimizer,56.4335
149,forward,128.402263
149,backward,221.684289
149,optimizer,56.840947
150,forward,129.546362
150,backward,222.270179
150,optimizer,56.659354
151,forward,129.593973
151,backward,221.584707
151,optimizer,56.632434
152,forward,129.622394
152,backward,222.33503
152,optimizer,56.40974
153,forward,126.780784
153,backward,222.201598
153,optimizer,56.792856
154,forward,129.119815
154,backward,220.904996
154,optimizer,56.944189
155,forward,128.044136
155,backward,221.571347
155,optimizer,56.563192
156,forward,127.663049
156,backward,221.211391
156,optimizer,56.494421
157,forward,129.867078
157,backward,222.235268
157,optimizer,56.620854
158,forward,129.863259
158,backward,221.070027
158,optimizer,56.652854
159,forward,130.674123
159,backward,222.630166
159,optimizer,56.334768
160,forward,130.478779
160,backward,221.369174
160,optimizer,57.01461
161,forward,129.719866
161,backward,222.29799
161,optimizer,56.333278
162,forward,129.025584
162,backward,221.617268
162,optimizer,56.583363
163,forward,127.734311
163,backward,221.903934
163,optimizer,56.550662
164,forward,129.801098
164,backward,221.645978
164,optimizer,56.46665
165,forward,130.53728
165,backward,220.63923
165,optimizer,56.621823
166,forward,125.96108
166,backward,222.188698
166,optimizer,56.589863
167,forward,130.53241
167,backward,222.451292
167,optimizer,56.562162
168,forward,128.908662
168,backward,221.908933
168,optimizer,56.565292
169,forward,128.284401
169,backward,226.297571
169,optimizer,56.42836
170,forward,129.894278
170,backward,221.486665
170,optimizer,56.801266
171,forward,130.725203
171,backward,222.440602
171,optimizer,56.941729
