step,step_ms,forward_ms,backward_ms,optimizer_ms
0,480.388431,195.98858,221.489297,62.564408
1,401.760811,126.982069,217.480258,56.155866
2,400.545509,125.806148,217.067119,56.555652
3,402.656197,127.536499,217.375325,56.546712
4,403.858528,128.26257,217.793152,56.706185
5,403.913569,127.68011,218.454364,56.617173
6,402.059606,125.963361,218.123998,56.853398
7,404.667581,129.114886,217.480437,56.933329
8,399.40712,123.719711,217.823772,56.669554
9,404.55934,128.160319,218.485024,56.755286
10,402.855641,126.46467,218.341492,56.883339
11,403.864598,127.326034,218.79574,56.575213
12,402.993562,127.170162,217.830392,56.813947
13,403.99074,128.135569,217.66474,57.045881
14,404.293195,127.383705,218.492115,57.127863
15,402.185328,125.997901,218.419123,56.597793
16,404.396907,127.416146,218.841801,57.00115
17,400.310586,124.056788,218.533495,56.581323
18,403.99703,127.907855,218.081368,56.884338
19,403.555332,126.4929,219.035224,56.888008
20,404.324766,127.790133,218.669997,56.732896
21,404.04301,127.739511,218.483325,56.663094
22,404.121853,128.509985,217.805823,56.654465
23,403.709885,127.345935,218.588486,56.641484
24,404.374897,127.784463,218.455974,57.003131
25,403.990591,127.564448,218.545966,56.610883
26,403.641754,127.917175,218.029007,56.596613
27,404.525959,128.21391,218.572966,56.604573
28,403.146075,126.728064,218.542636,56.738506
29,404.355387,127.736452,218.906042,56.573283
30,403.782866,127.841583,218.082147,56.723586
31,405.442436,128.812811,218.84297,56.622204
32,404.230474,127.751402,218.628857,56.684365
33,403.565243,126.50017,219.062755,56.786616
34,404.058441,128.042857,218.154918,56.670085
35,404.351266,128.254751,218.108908,56.788087
36,402.536995,125.715206,218.830681,56.830538
37,404.205025,127.182242,219.448452,56.44638
38,404.00776,126.622972,219.031843,57.000561
39,405.148111,128.493255,218.624257,56.733205
40,406.874241,129.381031,219.482812,56.865538
41,405.454146,128.732629,218.554706,57.01403
42,403.364359,127.104181,218.427114,56.667515
43,405.1228,128.473124,218.565796,56.93242
44,404.749214,127.910385,219.336699,56.36995
45,401.523487,124.508135,219.263778,56.583173
46,404.071921,127.893434,218.514455,56.551792
47,403.42234,126.636582,219.078335,56.559022
48,404.169293,127.898065,218.865861,56.267077
49,404.630412,127.991556,218.79618,56.717496
50,404.755533,128.741589,218.552855,56.339299
51,405.035179,128.134089,219.059525,56.692235
52,403.831417,126.498329,219.435742,56.743505
53,404.710743,128.096178,218.486665,56.949269
54,404.656512,128.233201,218.905121,56.37421
55,404.112202,126.713964,219.208467,57.024401
56,404.942707,127.539758,219.519652,56.696295
57,404.763074,128.179339,218.983173,56.194156
58,406.400933,128.567836,219.792108,56.859638
59,407.834067,129.283799,220.522931,56.897028
60,405.287613,128.900432,218.701878,56.548232
61,405.995576,128.256592,219.35667,56.885988
62,405.163441,126.937877,220.158924,56.622844
63,405.13076,128.293271,219.003714,56.692125
64,406.798259,129.141885,219.91605,56.554543
65,403.542982,125.466061,219.891249,57.056791
66,404.967737,127.942386,219.072425,56.740316
67,403.137505,126.737754,218.906702,56.364179
68,406.209349,128.936013,219.536063,56.614934
69,406.734938,128.499775,220.126213,56.95878
70,406.705058,129.263899,219.556963,56.734826
71,406.422913,128.661219,219.872418,56.770836
72,405.251832,127.962945,219.458122,56.682995
73,406.84401,128.774689,220.082873,56.838118
74,406.407202,128.523935,219.971,56.787317
75,405.607669,128.490655,219.269298,56.709065
76,407.346019,129.065275,220.483559,56.510412
77,406.24434,128.028466,220.362438,56.625044
78,405.792912,128.346892,219.320889,56.916179
79,407.117585,129.068705,220.182754,56.737756
80,407.184896,128.997014,220.433088,56.623144
81,407.497442,129.585005,220.162164,56.597933
82,407.800397,129.527114,220.49914,56.639674
83,405.665378,127.994147,219.409439,57.069011
84,407.297014,129.305739,220.024379,56.800816
85,407.583761,129.196506,220.462958,56.792647
86,408.044488,129.258527,220.855005,56.737845
87,405.115697,126.667962,220.503858,56.732415
88,406.200026,129.088984,219.527781,56.45896
89,406.091414,127.562647,220.459917,56.642624
90,408.029118,129.305088,220.433177,57.068281
91,407.273584,129.675805,219.794765,56.647664
92,410.180155,131.05713,220.893435,56.962549
93,407.538309,130.01261,219.703375,56.682834
94,406.895618,129.166156,220.265784,56.316268
95,407.561859,128.182779,220.66253,57.338656
96,409.013605,129.600584,221.580767,56.614123
97,407.997427,129.355099,220.569349,56.950479
98,408.455416,129.499902,221.210811,56.606114
99,405.245639,126.648911,220.828304,56.631293
100,407.129122,128.78639,220.124592,57.063551
101,409.159968,127.721121,223.931978,56.382809
102,407.839434,129.494262,220.287114,56.850368
103,408.487996,129.700005,221.091308,56.576493
104,408.482316,129.932149,220.616051,56.630693
105,409.484444,130.045371,221.824161,56.47599
106,408.468215,130.018841,220.840614,56.48361
107,407.064622,128.657397,220.785692,56.406
108,406.380479,127.969945,220.788653,56.162105
109,407.542859,129.40004,220.262574,56.738115
110,408.770171,130.00573,221.197321,56.450691
111,405.224549,126.282155,221.20573,56.622564
112,408.223241,129.255687,221.490555,56.347869
113,407.784793,128.312321,221.609287,56.736385
114,407.61061,129.550022,220.396276,56.541082
115,409.518924,130.203084,221.270292,56.929249
116,407.396917,129.600263,220.110171,56.584403
117,410.545651,131.048029,221.728459,56.359488
118,408.870852,130.758554,220.351265,56.587582
119,408.644308,129.316559,221.407294,56.713705
120,408.573037,128.516814,222.271749,56.669264
121,409.581515,130.286925,221.72825,56.44939
122,408.364654,129.678684,220.768823,56.782556
123,409.989373,130.407338,221.592447,56.786856
124,405.437442,126.309526,221.324072,56.662014
125,409.986042,129.771537,222.361161,56.745146
126,408.333333,128.880381,221.510956,56.799876
127,406.596743,127.709681,220.807394,56.885928
128,410.091454,130.214994,221.857123,56.497231
129,409.238739,129.989231,221.71965,56.400719
130,410.032863,130.065252,222.040425,56.794366
131,411.472638,130.770634,222.977491,56.611433
132,409.328281,130.949348,220.843704,56.40995
133,409.562175,129.690695,222.174747,56.302317
134,410.43463,128.739669,222.84554,57.482278
135,411.097072,130.486639,222.488773,56.872758
136,408.638309,130.017661,220.958666,56.546162
137,409.137447,130.707842,220.888125,56.398799
138,405.434892,125.9613,221.541007,56.805677
139,410.335659,129.907099,222.581245,56.709435
140,408.70502,128.984473,221.482026,57.088362
141,409.694847,128.805969,222.834219,56.923338
142,408.827811,129.99383,221.15674,56.568803
143,410.194135,130.391137,222.259739,56.412189
144,410.774746,130.780214,221.849452,57.01793
145,411.317056,131.402226,221.855562,56.942769
146,411.511349,131.222142,222.283979,56.857527
147,409.970672,130.58798,221.893153,56.352908
148,410.627364,129.701525,223.030002,56.4335
149,408.057918,128.402263,221.684289,56.840947
150,409.711127,129.546362,222.270179,56.659354
151,408.933583,129.593973,221.584707,56.632434
152,409.496644,129.622394,222.33503,56.40974
153,406.913218,126.780784,222.201598,56.792856
154,408.084849,129.119815,220.904996,56.944189
155,407.325825,128.044136,221.571347,56.563192
156,406.602593,127.663049,221.211391,56.494421
157,409.85857,129.867078,222.235268,56.620854
158,408.71525,129.863259,221.070027,56.652854
159,410.756356,130.674123,222.630166,56.334768
