timestamp_perf_counter_sec,elapsed_sec,step,cpu_util_percent,gpu_util_percent,gpu_mem_used_mb,gpu_power_w,gpu_energy_mj
10987411.10639006,0.00021551735699176788,-1,0.0,28.0,1991.25,12.709,132805819062.0
10987411.618395757,0.5122212134301662,0,1.5,92.0,9133.25,70.49,132805908873.0
10987412.120426767,1.0142522230744362,2,1.6,98.0,11717.25,189.407,132806020556.0
10987412.6237846,1.5176100563257933,3,1.5,98.0,11717.25,222.407,132806130327.0
10987413.126282828,2.0201082844287157,4,1.4,100.0,11717.25,224.644,132806238272.0
10987413.632974412,2.5267998687922955,5,1.5,100.0,11717.25,222.731,132806348973.0
10987414.13609417,3.0299196261912584,7,1.5,97.0,11717.25,222.352,132806456444.0
10987414.638538089,3.5323635451495647,8,1.4,98.0,11717.25,224.721,132806567566.0
10987415.141051495,4.034876951947808,9,1.5,100.0,11717.25,224.15,132806676335.0
10987415.643666338,4.537491794675589,10,1.4,100.0,11717.25,227.941,132806784660.0
10987416.146290269,5.040115725249052,12,1.4,98.0,11717.25,222.713,132806887568.0
10987416.651333593,5.545159049332142,13,1.4,98.0,11717.25,222.348,132806997411.0
10987417.153844342,6.0476697981357574,14,1.5,99.0,11717.25,221.182,132807105781.0
10987417.656411791,6.550237247720361,15,1.6,100.0,11717.25,227.104,132807215761.0
10987418.158961833,7.052787289023399,17,1.1,98.0,11717.25,220.636,132807320118.0
10987418.663557036,7.557382492348552,18,1.7,98.0,11717.25,224.541,132807433373.0
10987419.170961453,8.064786909148097,19,1.4,100.0,11717.25,224.165,132807543775.0
10987419.67343479,8.56726024672389,20,1.1,99.0,11717.25,227.249,132807655151.0
10987420.17597935,9.069804806262255,22,0.9,99.0,11717.25,221.322,132807763528.0
10987420.692634055,9.586459511891007,23,1.0,99.0,11717.25,221.209,132807877007.0
10987421.195096126,10.088921582326293,24,0.9,99.0,11717.25,221.81,132807985538.0
10987421.697546273,10.591371729969978,25,1.0,99.0,11717.25,226.164,132808096308.0
10987422.200090151,11.093915607780218,27,1.0,99.0,11717.25,222.987,132808227755.0
10987422.703456676,11.597282132133842,28,0.8,99.0,11717.25,223.531,132808341173.0
10987423.211069556,12.104895012453198,29,0.7,99.0,11717.25,224.949,132808452151.0
10987423.713493444,12.60731890052557,30,0.8,99.0,11717.25,226.566,132808563577.0
10987424.2159491,13.109774556010962,32,0.6,100.0,11717.25,220.927,132808668077.0
10987424.719160171,13.61298562772572,33,0.6,98.0,11717.25,222.302,132808778411.0
10987425.22158599,14.115411447361112,34,0.7,97.0,11717.25,223.171,132808884881.0
10987425.729030035,14.622855491936207,35,0.6,100.0,11717.25,226.992,132808994708.0
10987426.232053604,15.125879060477018,37,0.7,100.0,11717.25,221.875,132809102830.0
10987426.7344836,15.628309056162834,38,0.7,98.0,11717.25,225.642,132809211998.0
10987427.23694093,16.130766386166215,39,0.6,97.0,11717.25,223.898,132809320698.0
10987427.739464048,16.633289504796267,40,0.7,100.0,11717.25,226.844,132809428616.0
10987428.241913555,17.13573901169002,42,0.7,100.0,11717.25,219.902,132809533353.0
10987428.757971223,17.6517966799438,43,0.6,98.0,11717.25,222.642,132809643475.0
10987429.260385,18.154210455715656,44,0.6,98.0,11717.25,223.053,132809754086.0
10987429.767520921,18.661346377804875,45,0.6,100.0,11717.25,227.78,132809868146.0
10987430.269960169,19.163785625249147,47,0.7,100.0,11717.25,226.161,132809980412.0
10987430.773206571,19.667032027617097,48,0.7,98.0,11717.25,224.467,132810089135.0
10987431.275746252,20.169571708887815,49,0.7,98.0,11717.25,224.608,132810199109.0
10987431.778229108,20.67205456458032,50,0.7,100.0,11717.25,224.221,132810307375.0
10987432.280624487,21.17444994300604,52,0.7,100.0,11717.25,225.832,132810415256.0
10987432.798603067,21.692428523674607,53,0.7,98.0,11717.25,224.484,132810545894.0
10987433.306535533,22.20036098919809,54,0.6,100.0,11717.25,224.22,132810655186.0
10987433.8101737,22.70399915613234,55,0.7,100.0,11717.25,227.98,132810765445.0
10987434.312941823,23.20676727965474,57,0.7,98.0,11717.25,222.257,132810869127.0
10987434.815424612,23.70925006829202,58,1.0,98.0,11717.25,224.313,132810979801.0
10987435.318167295,24.211992751806974,59,1.1,99.0,11717.25,220.985,132811085733.0
10987435.825503267,24.719328723847866,60,1.1,99.0,11717.25,225.219,132811197546.0
10987436.328499246,25.222324702888727,62,1.1,99.0,11717.25,221.833,132811306697.0
10987436.832030484,25.725855940952897,63,1.0,99.0,11717.25,224.323,132811418334.0
10987437.3344692,26.228294655680656,64,1.0,99.0,11717.25,224.103,132811528497.0
10987437.83700021,26.730825666338205,65,0.7,99.0,11717.25,226.656,132811638238.0
10987438.34466418,27.23848963715136,66,0.8,99.0,11717.25,227.48,132811750993.0
10987438.84837466,27.742200115695596,68,0.8,100.0,11717.25,224.767,132811857684.0
10987439.350884348,28.24470980465412,69,0.8,98.0,11717.25,224.52,132811967432.0
10987439.853427758,28.74725321494043,70,0.8,98.0,11717.25,221.875,132812073833.0
10987440.357420564,29.25124602019787,71,0.8,100.0,11717.25,225.631,132812183330.0
10987440.864610117,29.75843557342887,73,0.8,100.0,11717.25,221.718,132812290178.0
10987441.367171694,30.260997150093317,74,0.8,98.0,11717.25,224.74,132812403679.0
10987441.869740805,30.763566261157393,75,0.8,98.0,11717.25,223.594,132812514758.0
10987442.372404717,31.266230173408985,76,0.8,100.0,11717.25,227.874,132812624708.0
10987442.875114268,31.768939724192023,78,0.7,100.0,11717.25,224.153,132812735403.0
10987443.37768496,32.27151041664183,79,0.8,98.0,11717.25,224.542,132812843862.0
10987443.883285291,32.77711074799299,80,0.7,98.0,11717.25,223.909,132812955569.0
10987444.386386102,33.2802115585655,81,0.8,100.0,11717.25,223.961,132813065512.0
10987444.888947451,33.78277290798724,83,0.7,100.0,11717.25,225.111,132813174612.0
10987445.39607335,34.28989880718291,84,0.8,98.0,11717.25,224.39,132813304178.0
10987445.9029781,34.796803556382656,85,0.9,100.0,11717.25,223.974,132813414113.0
10987446.405954683,35.29978013969958,86,0.9,100.0,11717.25,227.39,132813525271.0
10987446.908385187,35.80221064388752,88,0.7,99.0,11717.25,223.147,132813631964.0
10987447.425846756,36.31967221200466,89,0.7,99.0,11717.25,226.346,132813744921.0
10987447.932151388,36.825976844877005,90,0.6,99.0,11717.25,225.115,132813854944.0
10987448.434561232,37.32838668860495,91,0.6,98.0,11717.25,227.198,132813963411.0
10987448.941928422,37.835753878578544,92,0.7,99.0,11717.25,223.105,132814073804.0
10987449.45486578,38.34869123622775,94,0.7,99.0,11717.25,221.156,132814178902.0
10987449.961466009,38.85529146529734,95,0.7,98.0,11717.25,223.396,132814291487.0
10987450.464508861,39.35833431780338,96,0.9,97.0,11717.25,222.876,132814399348.0
10987450.967047619,39.86087307520211,97,1.0,100.0,11717.25,227.172,132814509108.0
10987451.469569985,40.36339544132352,99,1.1,100.0,11717.25,221.326,132814616879.0
10987451.97338126,40.867206716910005,100,1.1,98.0,11717.25,225.396,132814728204.0
10987452.480744472,41.37456992827356,101,1.1,98.0,11717.25,224.152,132814840671.0
10987452.983668733,41.87749418988824,102,1.3,100.0,11717.25,227.061,132814951823.0
10987453.48621518,42.38004063628614,104,1.8,100.0,11717.25,223.966,132815063573.0
10987453.988883678,42.88270913437009,105,1.2,98.0,11717.25,221.268,132815167356.0
10987454.491554216,43.385379672050476,106,1.0,98.0,11717.25,221.107,132815297998.0
10987454.993836978,43.88766243495047,107,1.1,100.0,11717.25,226.413,132815410041.0
10987455.499794694,44.39362015016377,109,1.0,98.0,11717.25,223.841,132815515980.0
10987456.003072504,44.896897960454226,110,0.9,98.0,11717.25,224.577,132815628031.0
10987456.505457755,45.39928321167827,111,0.9,99.0,11717.25,223.714,132815738466.0
10987457.00790556,45.901731016114354,112,1.1,99.0,11717.25,229.204,132815849003.0
10987457.510391235,46.404216691851616,113,1.0,99.0,11717.25,224.729,132815958369.0
10987458.012964971,46.9067904278636,115,1.0,99.0,11717.25,224.995,132816068958.0
10987458.5184661,47.412291556596756,116,1.1,99.0,11717.25,224.004,132816180376.0
10987459.021523174,47.91534863039851,117,1.1,99.0,11717.25,223.823,132816289586.0
10987459.523906296,48.41773175261915,118,1.1,100.0,11717.25,225.13,132816398234.0
10987460.026438892,48.92026434838772,120,1.0,100.0,11717.25,222.048,132816502967.0
10987460.530685209,49.424510665237904,121,1.1,98.0,11717.25,224.271,132816612640.0
10987461.038237482,49.932062938809395,122,1.0,98.0,11717.25,223.649,132816724700.0
10987461.541132204,50.43495766073465,123,1.1,100.0,11717.25,227.737,132816835245.0
10987462.043745391,50.937570847570896,125,1.0,100.0,11717.25,225.457,132816947218.0
10987462.54759462,51.44142007641494,126,1.0,98.0,11717.25,225.982,132817054822.0
10987463.050032403,51.94385785982013,127,1.1,98.0,11717.25,225.431,132817164008.0
10987463.55713481,52.45096026733518,128,1.0,100.0,11717.25,226.641,132817275259.0
10987464.060076172,52.95390162803233,129,1.1,100.0,11717.25,228.141,132817384966.0
10987464.571364202,53.46518965810537,131,1.0,98.0,11717.25,220.041,132817488531.0
10987465.07685692,53.97068237699568,132,1.1,99.0,11717.25,221.01,132817600477.0
10987465.57963601,54.47346146591008,133,1.1,99.0,11717.25,221.236,132817711826.0
10987466.082146203,54.97597165964544,134,1.1,99.0,11717.25,227.558,132817824080.0
10987466.585026516,55.47885197214782,136,1.1,99.0,11717.25,225.553,132817934346.0
10987467.087684983,55.98151043988764,137,1.0,100.0,11717.25,222.206,132818062375.0
10987467.589991976,56.48381743207574,138,1.0,98.0,11717.25,225.521,132818176488.0
10987468.096083876,56.98990933224559,139,1.1,100.0,11717.25,228.533,132818285796.0
10987468.599323783,57.4931492395699,141,1.0,100.0,11717.25,222.601,132818391698.0
10987469.117135487,58.010960943996906,142,1.1,98.0,11717.25,225.858,132818504563.0
10987469.619698385,58.513523841276765,143,1.0,98.0,11717.25,224.394,132818615957.0
10987470.122157335,59.015982791781425,144,1.1,100.0,11717.25,226.78,132818725728.0
10987470.624591552,59.51841700822115,145,1.0,100.0,11717.25,223.106,132818834103.0
10987471.128083125,60.02190858125687,147,1.0,98.0,11717.25,219.482,132818938580.0
10987471.636597805,60.53042326122522,148,1.1,98.0,11717.25,223.257,132819049549.0
10987472.139033297,61.032858753576875,149,1.1,100.0,11717.25,223.195,132819158211.0
10987472.641483752,61.53530920855701,150,1.1,100.0,11717.25,228.104,132819268840.0
10987473.144284824,62.038110280409455,152,1.1,99.0,11717.25,223.48,132819377486.0
10987473.646725977,62.540551433339715,153,1.0,99.0,11717.25,225.352,132819487724.0
10987474.153810572,63.0476360283792,154,1.1,99.0,11717.25,224.749,132819600630.0
10987474.656187724,63.550013180822134,155,1.0,99.0,11717.25,228.703,132819713583.0
10987475.158556169,64.052381625399,157,1.1,99.0,11717.25,229.878,132819825373.0
10987475.660975842,64.55480129830539,158,1.0,100.0,11717.25,225.436,132819929577.0
10987476.163365057,65.05719051323831,159,1.7,98.0,11717.25,224.189,132820037849.0
10987476.665779129,65.55960458517075,160,2.4,98.0,11717.25,222.373,132820144366.0
10987477.172955817,66.0667812731117,161,1.3,100.0,11717.25,226.646,132820256383.0
10987477.67602826,66.56985371559858,163,1.5,100.0,11717.25,223.964,132820366581.0
10987478.178373624,67.0721990801394,164,1.0,98.0,11717.25,226.158,132820480041.0
10987478.68097438,67.57479983568192,165,1.1,98.0,11717.25,224.512,132820589313.0
10987479.18377518,68.07760063558817,166,1.0,100.0,11717.25,228.157,132820724141.0
10987479.686134163,68.57995961979032,168,1.1,98.0,11717.25,226.048,132820831393.0
10987480.193567976,69.0873934328556,169,1.4,98.0,11717.25,226.421,132820944737.0
10987480.69607852,69.58990397676826,170,1.3,100.0,11717.25,224.662,132821053002.0
10987481.198498404,70.09232386015356,171,1.4,100.0,11717.25,226.946,132821163991.0
10987481.701115211,70.59494066797197,172,1.4,99.0,11717.25,222.681,132821270828.0
10987482.216667457,71.11049291305244,174,1.3,99.0,11717.25,219.584,132821381652.0
10987482.7190393,71.6128647569567,175,1.4,99.0,11717.25,220.782,132821489030.0
10987483.221508453,72.11533390916884,176,1.3,99.0,11717.25,224.665,132821598049.0
10987483.723959858,72.617785314098,177,1.4,100.0,11717.25,228.169,132821707158.0
10987484.23147645,73.12530190683901,179,1.3,100.0,11717.25,223.722,132821812498.0
10987484.733896345,73.62772180140018,180,1.4,98.0,11717.25,223.828,132821925203.0
10987485.236349847,74.13017530366778,181,1.4,98.0,11717.25,225.3,132822037403.0
10987485.738774093,74.63259954936802,182,1.4,100.0,11717.25,230.101,132822147661.0
10987486.241209077,75.13503453321755,184,1.4,100.0,11717.25,225.724,132822258509.0
10987486.75276725,75.64659270644188,185,1.4,97.0,11717.25,226.55,132822368559.0
10987487.255410368,76.14923582412302,186,1.3,98.0,11717.25,225.541,132822479175.0
10987487.757779911,76.65160536766052,187,1.3,100.0,11717.25,224.544,132822586517.0
10987488.260265086,77.15409054234624,188,1.3,100.0,11717.25,225.239,132822693248.0
10987488.76390612,77.65773157589138,190,1.4,99.0,11717.25,220.506,132822797908.0
10987489.27115816,78.16498361714184,191,1.3,99.0,11717.25,222.33,132822912925.0
10987489.773588805,78.66741426102817,192,1.4,99.0,11717.25,224.787,132823023583.0
10987490.276058389,79.16988384537399,193,1.3,99.0,11717.25,228.642,132823134314.0
10987490.778568184,79.67239364050329,195,1.0,99.0,11717.25,223.721,132823263424.0
10987491.28115985,80.17498530633748,196,1.7,100.0,11717.25,225.102,132823377421.0
10987491.789119052,80.68294450826943,197,1.4,98.0,11717.25,223.987,132823486380.0
10987492.291605655,81.18543111160398,198,1.3,100.0,11717.25,229.928,132823597863.0
10987492.79403112,81.68785657733679,200,1.4,100.0,11717.25,224.489,132823704917.0
10987493.296533825,82.190359281376,201,1.3,98.0,11717.25,226.075,132823817183.0
10987493.798876408,82.69270186498761,202,1.3,98.0,11717.25,224.774,132823927697.0
10987494.30122227,83.19504772685468,203,1.3,100.0,11717.25,226.235,132824035670.0
10987494.807550441,83.70137589797378,204,1.3,100.0,11717.25,225.436,132824148073.0
10987495.310700538,84.20452599413693,206,1.3,98.0,11717.25,221.57,132824253206.0
10987495.813141491,84.70696694776416,207,1.1,98.0,11717.25,225.295,132824364700.0
10987496.316500412,85.21032586880028,208,1.3,100.0,11717.25,223.94,132824473411.0
10987496.818904506,85.71272996254265,209,1.3,99.0,11717.25,228.871,132824584162.0
10987497.325706948,86.21953240409493,211,1.4,99.0,11717.25,225.042,132824695667.0
10987497.829105519,86.72293097525835,212,1.4,99.0,11717.25,226.389,132824808333.0
10987498.331518462,87.22534391842782,213,1.4,99.0,11717.25,226.382,132824919284.0
10987498.833961744,87.72778720036149,214,1.3,98.0,11717.25,226.581,132825028838.0
10987499.336552233,88.23037768900394,215,1.4,100.0,11717.25,228.913,132825137801.0
10987499.839042528,88.73286798410118,217,1.3,100.0,11717.25,223.844,132825241368.0
10987500.34604118,89.23986663669348,218,1.3,98.0,11717.25,225.214,132825356073.0
10987500.848948212,89.74277366884053,219,1.3,98.0,11717.25,223.114,132825466327.0
10987501.351390457,90.24521591328084,220,1.3,100.0,11717.25,226.218,132825577094.0
10987501.853808653,90.74763410910964,222,1.3,100.0,11717.25,225.123,132825687263.0
10987502.35760686,91.25143231637776,223,1.4,98.0,11717.25,224.97,132825794798.0
10987502.864580063,91.75840551964939,224,1.3,98.0,11717.25,227.072,132825907685.0
10987503.367745148,92.26157060451806,225,1.3,100.0,11717.25,225.216,132826017007.0
10987503.870161103,92.76398655958474,226,1.3,100.0,11717.25,226.713,132826127018.0
10987504.388975644,93.28280110098422,228,1.4,99.0,11717.25,224.587,132826260403.0
10987504.894553984,93.7883794400841,229,1.3,99.0,11717.25,225.527,132826370850.0
10987505.396998638,94.29082409478724,230,1.4,99.0,11717.25,228.033,132826481062.0
10987505.904245736,94.79807119257748,231,1.3,100.0,11717.25,229.352,132826594395.0
10987506.407466264,95.30129172094166,233,1.3,100.0,11717.25,225.208,132826700462.0
10987506.909888398,95.8037138544023,234,1.4,98.0,11717.25,224.267,132826809960.0
10987507.412398944,96.3062244001776,235,1.4,98.0,11717.25,222.325,132826917864.0
10987507.914782656,96.80860811285675,236,1.3,100.0,11717.25,226.61,132827026998.0
10987508.4172211,97.31104655563831,238,1.4,100.0,11717.25,223.277,132827134910.0
10987508.936446648,97.83027210459113,239,1.3,98.0,11717.25,224.196,132827246156.0
10987509.44328981,98.33711526729167,240,1.4,98.0,11717.25,225.182,132827357939.0
10987509.94602338,98.8398488368839,241,1.3,100.0,11717.25,226.147,132827467337.0
10987510.448477425,99.34230288118124,242,1.4,100.0,11717.25,226.693,132827575723.0
10987510.964778353,99.85860380902886,244,1.4,98.0,11717.25,223.244,132827686596.0
10987511.472341856,100.36616731248796,245,1.1,99.0,11717.25,226.146,132827818697.0
10987511.974770788,100.8685962446034,246,1.5,99.0,11717.25,230.319,132827934425.0
10987512.482324224,101.37614968046546,247,1.3,99.0,11717.25,227.386,132828047851.0
10987512.986176401,101.88000185787678,249,1.3,99.0,11717.25,225.034,132828156570.0
10987513.488573557,102.38239901326597,250,1.3,98.0,11717.25,225.412,132828266700.0
10987513.990925135,102.884750591591,251,1.3,98.0,11717.25,223.274,132828372634.0
10987514.49329164,103.38711709715426,252,1.3,100.0,11717.25,225.52,132828481032.0
10987514.99555006,103.8893755171448,254,1.4,100.0,11717.25,222.207,132828586504.0
10987515.513997085,104.40782254189253,255,1.4,98.0,11717.25,224.535,132828699260.0
10987516.021380777,104.9152062330395,256,1.3,98.0,11717.25,225.725,132828812408.0
10987516.524213638,105.4180390946567,257,1.3,100.0,11717.25,228.548,132828924163.0
10987517.026700744,105.92052620090544,258,1.3,99.0,11717.25,227.931,132829034637.0
10987517.543089403,106.4369148593396,260,1.4,98.0,11717.25,225.231,132829140798.0
10987518.05034919,106.94417464733124,261,1.4,98.0,11717.25,227.738,132829252260.0
10987518.552773863,107.44659931957722,262,1.4,99.0,11717.25,225.564,132829361103.0
10987519.05932928,107.95315473712981,263,1.3,99.0,11717.25,229.947,132829475805.0
10987519.563209629,108.45703508518636,265,1.4,99.0,11717.25,225.971,132829587163.0
10987520.065672964,108.9594984203577,266,1.3,99.0,11717.25,223.253,132829694941.0
10987520.5694153,109.46324075572193,267,1.3,98.0,11717.25,223.73,132829826473.0
10987521.071871825,109.9656972810626,268,1.4,98.0,11717.25,225.541,132829936858.0
10987521.579866229,110.47369168512523,270,1.3,100.0,11717.25,221.311,132830042225.0
10987522.092476048,110.98630150407553,271,1.4,98.0,11717.25,223.342,132830157825.0
10987522.598989025,111.49281448125839,272,1.3,98.0,11717.25,224.601,132830268192.0
10987523.1020391,111.99586455710232,273,1.4,100.0,11717.25,228.896,132830380665.0
10987523.604473185,112.49829864129424,274,1.3,100.0,11717.25,227.174,132830491690.0
10987524.106964597,113.00079005397856,276,1.4,98.0,11717.25,223.797,132830597044.0
10987524.611336526,113.50516198202968,277,1.4,98.0,11717.25,226.106,132830709166.0
10987525.118371252,114.01219670847058,278,1.4,100.0,11717.25,225.24,132830819204.0
10987525.621245304,114.51507076062262,279,1.4,100.0,11717.25,228.721,132830931049.0
10987526.123716308,115.01754176430404,281,1.3,99.0,11717.25,226.233,132831042395.0
10987526.626167892,115.51999334804714,282,1.3,99.0,11717.25,226.217,132831153294.0
10987527.128703818,116.02252927422523,283,1.1,99.0,11717.25,225.463,132831261296.0
10987527.631162632,116.5249880887568,284,1.5,99.0,11717.25,223.968,132831367924.0
10987528.13661636,117.0304418168962,285,1.3,100.0,11717.25,224.931,132831477309.0
10987528.639947757,117.53377321362495,287,1.3,100.0,11717.25,221.643,132831583184.0
10987529.158394365,118.05221982114017,288,1.4,98.0,11717.25,223.772,132831699247.0
10987529.660771927,118.55459738336504,289,1.3,98.0,11717.25,224.907,132831808537.0
10987530.16312028,119.05694573558867,290,1.3,100.0,11717.25,229.438,132831920556.0
10987530.665817857,119.55964331328869,292,1.3,100.0,11717.25,227.373,132832049954.0
10987531.169406433,120.06323188915849,293,1.4,98.0,11717.25,226.559,132832166123.0
10987531.67605166,120.5698771160096,294,1.3,100.0,11717.25,227.273,132832276021.0
10987532.179626664,121.07345212064683,295,1.3,100.0,11717.25,229.231,132832387073.0
10987532.682045529,121.57587098516524,297,1.3,99.0,11717.25,224.527,132832494106.0
10987533.184658155,122.07848361134529,298,1.4,99.0,11717.25,226.503,132832606277.0
10987533.68712676,122.58095221593976,299,1.4,99.0,11717.25,223.218,132832714912.0
10987534.199161371,123.09298682771623,300,1.4,99.0,11717.25,224.703,132832823801.0
10987534.701601844,123.59542730078101,301,1.4,100.0,11717.25,224.303,132832933719.0
10987535.204168722,124.09799417853355,303,1.4,100.0,11717.25,221.199,132833037260.0
10987535.707533441,124.60135889798403,304,1.3,98.0,11717.25,224.712,132833147501.0
10987536.215050204,125.10887566022575,305,1.3,98.0,11717.25,225.444,132833261093.0
10987536.717914509,125.61173996515572,306,1.4,100.0,11717.25,230.238,132833372893.0
10987537.22036626,126.11419171653688,308,1.4,100.0,11717.25,225.613,132833484834.0
10987537.722889457,126.61671491339803,309,1.3,98.0,11717.25,223.918,132833589565.0
10987538.225348212,127.11917366832495,310,1.4,98.0,11717.25,225.06,132833700875.0
10987538.727781735,127.62160719186068,311,1.4,100.0,11717.25,227.242,132833807899.0
10987539.233369883,128.12719533964992,312,1.3,100.0,11717.25,228.657,132833919775.0
10987539.737092232,128.6309176888317,314,1.3,99.0,11717.25,224.188,132834028064.0
10987540.239541885,129.13336734101176,315,1.3,99.0,11717.25,226.144,132834141336.0
10987540.742134912,129.63596036843956,316,1.4,99.0,11717.25,224.555,132834251975.0
10987541.244537797,130.13836325332522,317,1.3,99.0,11717.25,225.712,132834359465.0
10987541.74697044,130.6407958958298,319,1.3,100.0,11717.25,223.868,132834466963.0
10987542.26232662,131.15615207701921,320,1.3,100.0,11717.25,222.423,132834594523.0
10987542.765379244,131.6592047009617,321,1.1,98.0,11717.25,222.858,132834706182.0
10987543.272557212,132.16638266853988,322,1.5,100.0,11717.25,228.731,132834819750.0
10987543.77582932,132.66965477727354,323,1.3,100.0,11717.25,225.078,132834930378.0
10987544.278312784,133.17213824018836,325,1.3,98.0,11717.25,225.243,132835042872.0
10987544.780693928,133.67451938427985,326,1.3,98.0,11717.25,225.983,132835152998.0
10987545.283103293,134.176928749308,327,1.4,100.0,11717.25,227.34,132835262432.0
10987545.785450354,134.67927581071854,328,1.4,100.0,11717.25,229.531,132835368814.0
10987546.291720957,135.185546413064,330,1.3,98.0,11717.25,223.188,132835476484.0
10987546.794978604,135.68880406022072,331,1.3,99.0,11717.25,226.328,132835589252.0
10987547.29750259,136.1913280468434,332,1.4,99.0,11717.25,225.75,132835701005.0
10987547.799934052,136.69375950843096,333,1.3,99.0,11717.25,228.521,132835811287.0
10987548.302397098,137.1962225548923,334,1.4,100.0,11717.25,226.147,132835920057.0
10987548.824914264,137.71873972006142,336,1.4,100.0,11717.25,220.34,132836023160.0
10987549.330152458,138.22397791408002,337,1.4,98.0,11717.25,221.38,132836133946.0
10987549.833467528,138.72729298472404,338,1.4,98.0,11717.25,221.244,132836244033.0
10987550.3358693,139.22969475574791,339,1.4,100.0,11717.25,227.028,132836355215.0
10987550.838462356,139.73228781297803,341,1.4,100.0,11717.25,225.681,132836468021.0
10987551.34090064,140.2347260955721,342,1.4,98.0,11717.25,225.448,132836574764.0
10987551.843385765,140.73721122182906,343,1.3,98.0,11717.25,224.871,132836683402.0
10987552.349744428,141.24356988444924,344,1.3,100.0,11717.25,226.46,132836794556.0
10987552.85266372,141.74648917652667,345,1.3,100.0,11717.25,229.38,132836906397.0
10987553.37250609,142.2663315460086,347,1.4,99.0,11717.25,224.166,132837036945.0
10987553.880610233,142.77443568967283,348,1.3,99.0,11717.25,224.861,132837147969.0
10987554.383044938,143.27687039412558,349,1.3,99.0,11717.25,230.554,132837259242.0
10987554.888977705,143.78280316106975,350,1.3,99.0,11717.25,228.35,132837371920.0
10987555.39218428,144.28600973635912,352,1.4,100.0,11717.25,223.145,132837477428.0
10987555.894593764,144.78841922059655,353,1.3,98.0,11717.25,222.054,132837585577.0
