step,phase,time_ms
0,forward,185.933038
0,backward,223.038057
0,optimizer,41.709571
1,forward,9.901583
1,backward,176.982361
1,optimizer,23.744416
2,forward,128.747405
2,backward,221.084183
2,optimizer,57.166281
3,forward,8.417127
3,backward,182.216782
3,optimizer,23.765636
4,forward,8.55554
4,backward,182.454606
4,optimizer,23.850928
5,forward,128.838896
5,backward,221.077653
5,optimizer,56.681813
6,forward,8.827515
6,backward,182.039989
6,optimizer,23.752516
7,forward,8.5408
7,backward,183.188489
7,optimizer,24.037701
8,forward,130.061749
8,backward,220.152237
8,optimizer,56.762513
9,forward,8.397097
9,backward,182.376444
9,optimizer,23.776457
10,forward,8.768473
10,backward,180.289498
10,optimizer,24.069181
11,forward,128.885347
11,backward,220.381771
11,optimizer,56.906707
12,forward,9.082649
12,backward,177.109072
12,optimizer,23.638305
13,forward,8.848855
13,backward,182.498147
13,optimizer,23.852898
14,forward,128.613483
14,backward,221.223135
14,optimizer,56.674192
15,forward,8.381457
15,backward,179.86503
15,optimizer,23.726185
16,forward,8.633901
16,backward,182.537708
16,optimizer,23.905229
17,forward,129.078231
17,backward,221.584072
17,optimizer,56.970587
18,forward,8.674282
18,backward,183.132198
18,optimizer,23.759537
19,forward,8.878586
19,backward,181.931457
19,optimizer,23.935939
20,forward,127.978932
20,backward,221.174145
20,optimizer,56.593122
21,forward,8.506739
21,backward,183.278281
21,optimizer,23.782296
22,forward,8.55878
22,backward,182.08421
22,optimizer,23.996781
23,forward,125.738512
23,backward,221.400328
23,optimizer,56.745874
24,forward,8.459908
24,backward,183.319511
24,optimizer,23.801227
25,forward,8.59344
25,backward,181.944167
25,optimizer,24.203504
26,forward,127.514834
26,backward,220.780648
26,optimizer,56.328556
27,forward,8.420208
27,backward,183.931712
27,optimizer,23.930089
28,forward,8.623012
28,backward,182.774361
28,optimizer,24.180474
29,forward,130.267502
29,backward,220.897419
29,optimizer,56.622022
30,forward,8.409757
30,backward,182.804882
30,optimizer,24.045621
31,forward,8.59478
31,backward,182.359545
31,optimizer,23.811927
32,forward,130.082158
32,backward,222.125882
32,optimizer,56.574371
33,forward,8.416208
33,backward,182.074519
33,optimizer,23.968439
34,forward,8.54656
34,backward,178.012978
34,optimizer,23.792637
35,forward,129.793573
35,backward,222.788872
35,optimizer,56.438129
36,forward,8.390146
36,backward,182.191792
36,optimizer,24.127923
37,forward,9.282433
37,backward,179.81393
37,optimizer,23.819397
38,forward,130.789891
38,backward,221.852077
38,optimizer,56.570181
39,forward,8.369806
39,backward,183.340432
39,optimizer,23.860357
40,forward,8.786033
40,backward,184.475102
40,optimizer,23.938399
41,forward,131.105446
41,backward,220.807048
41,optimizer,56.555381
42,forward,8.469328
42,backward,184.025014
42,optimizer,23.927249
43,forward,8.57362
43,backward,181.992229
43,optimizer,24.181454
44,forward,130.836051
44,backward,221.650013
44,optimizer,56.434589
45,forward,8.409227
45,backward,184.094975
45,optimizer,24.175503
46,forward,8.728123
46,backward,183.218219
46,optimizer,23.783237
47,forward,128.739475
47,backward,222.692121
47,optimizer,56.661992
48,forward,8.731682
48,backward,182.547998
48,optimizer,23.846038
49,forward,8.54021
49,backward,183.000426
49,optimizer,23.784476
50,forward,131.578005
50,backward,221.560081
50,optimizer,56.651303
51,forward,8.542339
51,backward,185.588861
51,optimizer,23.95902
52,forward,8.589281
52,backward,184.37477
52,optimizer,23.807487
53,forward,133.308045
53,backward,222.746092
53,optimizer,56.623372
54,forward,8.55318
54,backward,187.26454
54,optimizer,23.94573
55,forward,8.594631
55,backward,184.817977
55,optimizer,24.119662
56,forward,131.266929
56,backward,223.330963
56,optimizer,56.602631
57,forward,8.417808
57,backward,182.982585
57,optimizer,23.757407
58,forward,8.702983
58,backward,185.701503
58,optimizer,23.94088
59,forward,131.698167
59,backward,221.769304
59,optimizer,56.894257
60,forward,8.416458
60,backward,185.537149
60,optimizer,24.065171
61,forward,8.57271
61,backward,180.519122
61,optimizer,24.152104
62,forward,132.647234
62,backward,222.933985
62,optimizer,56.992149
63,forward,8.411587
63,backward,183.014616
63,optimizer,23.94773
64,forward,8.569359
64,backward,183.306812
64,optimizer,23.945969
65,forward,131.777939
65,backward,221.835146
65,optimizer,56.343287
66,forward,8.407658
66,backward,185.738973
66,optimizer,23.967421
67,forward,8.555209
67,backward,184.397601
67,optimizer,23.877208
68,forward,133.400757
68,backward,222.909346
68,optimizer,56.679132
69,forward,9.074239
69,backward,187.269851
69,optimizer,23.932509
70,forward,8.621472
70,backward,185.697313
70,optimizer,23.970809
71,forward,131.772068
71,backward,223.296811
71,optimizer,56.557681
72,forward,8.600781
72,backward,183.458634
72,optimizer,23.842618
73,forward,8.53019
73,backward,185.493659
73,optimizer,24.111713
74,forward,131.693707
74,backward,221.798165
74,optimizer,56.661693
75,forward,8.380707
75,backward,186.09984
75,optimizer,24.202854
76,forward,8.59487
76,backward,179.79589
76,optimizer,23.96165
77,forward,131.811618
77,backward,223.14753
77,optimizer,56.697213
78,forward,8.417678
78,backward,183.912712
78,optimizer,23.858318
79,forward,8.59117
79,backward,184.457172
79,optimizer,24.243304
80,forward,130.443175
80,backward,221.577002
80,optimizer,56.902766
81,forward,8.429128
81,backward,184.651544
81,optimizer,24.283165
82,forward,8.686662
82,backward,185.619721
82,optimizer,23.94624
83,forward,129.812103
83,backward,222.59351
83,optimizer,56.473118
84,forward,8.416178
84,backward,186.002999
84,optimizer,24.110712
85,forward,8.603811
85,backward,184.485981
85,optimizer,24.034401
86,forward,130.489746
86,backward,223.964303
86,optimizer,56.476729
87,forward,8.420718
87,backward,182.532047
87,optimizer,24.026521
88,forward,8.60052
