timestamp_perf_counter_sec,elapsed_sec,step,cpu_util_percent,gpu_util_percent,gpu_mem_used_mb,gpu_power_w,gpu_energy_mj
10993852.945450632,0.00012214481830596924,-1,0.0,14.0,1991.25,13.685,133221954573.0
10993853.448907712,0.5035792253911495,1,97.3,92.0,11717.25,74.89,133222045685.0
10993853.951656127,1.0063276402652264,2,101.4,99.0,11717.25,188.148,133222154779.0
10993854.4535734,1.508244913071394,3,99.6,98.0,11717.25,220.973,133222263711.0
10993854.955536224,2.010207736864686,4,101.6,100.0,11717.25,221.591,133222372017.0
10993855.457431125,2.512102637439966,6,99.6,100.0,11717.25,223.539,133222478996.0
10993855.961352885,3.016024397686124,7,103.2,99.0,11717.25,216.591,133222577424.0
10993856.4675547,3.5222262125462294,8,98.8,99.0,11717.25,218.267,133222686787.0
10993856.970424628,4.025096140801907,9,101.4,100.0,11717.25,218.384,133222795791.0
10993857.47235142,4.527022933587432,10,99.6,99.0,11717.25,225.9,133222907423.0
10993857.974366317,5.029037829488516,12,101.6,99.0,11717.25,220.573,133223016112.0
10993858.477646813,5.532318325713277,13,101.3,100.0,11717.25,223.445,133223147864.0
10993858.979982693,6.034654205664992,14,99.5,99.0,11717.25,227.35,133223260984.0
10993859.481828652,6.5365001652389765,15,99.6,100.0,11717.25,223.96,133223374490.0
10993859.989050329,7.043721841648221,17,102.5,100.0,11717.25,221.161,133223485524.0
10993860.491782663,7.5464541763067245,18,99.5,99.0,11717.25,219.051,133223592563.0
10993860.993750319,8.048421831801534,19,99.6,99.0,11717.25,219.905,133223700390.0
10993861.495561978,8.550233490765095,20,103.6,100.0,11717.25,224.918,133223809504.0
10993861.99807536,9.052746873348951,22,99.5,100.0,11717.25,221.63,133223910190.0
10993862.499968624,9.554640136659145,23,101.6,99.0,11717.25,223.729,133224020109.0
10993863.0066945,10.061366012319922,24,100.7,98.0,11717.25,222.409,133224128483.0
10993863.509032588,10.563704101368785,25,101.5,100.0,11717.25,227.364,133224238976.0
10993864.010911752,11.0655832644552,27,97.6,100.0,11717.25,222.68,133224348258.0
10993864.512882864,11.567554377019405,28,101.6,99.0,11717.25,222.722,133224457009.0
10993865.014766347,12.06943785957992,29,99.6,99.0,11717.25,219.375,133224565027.0
