step,step_ms,forward_ms,backward_ms,optimizer_ms
0,312.441843,119.884891,123.348532,68.808062
1,237.485463,64.775421,114.799682,56.656178
2,237.063035,64.604018,114.783892,56.473585
3,237.754717,64.392294,114.533186,57.188657
4,236.722899,64.647969,114.513497,56.294721
5,236.816091,64.481735,114.631639,56.487295
6,237.521012,63.337275,116.167516,56.795471
7,237.715576,65.451683,114.280352,56.75254
8,238.085753,65.636506,114.68516,56.525895
9,239.143442,65.754588,115.621026,56.556986
10,237.97448,65.459512,114.661519,56.652828
11,238.086562,63.979337,116.320098,56.589237
12,237.813158,65.026775,115.010145,56.549546
13,236.909713,62.075474,117.117063,56.503555
14,239.156502,66.068493,115.2901,56.551096
15,236.840991,64.544647,114.566287,56.520936
16,238.616593,64.281352,116.074344,57.019914
17,238.243476,65.594366,114.496017,56.613308
18,235.936735,62.647543,114.894714,57.077975
19,233.874669,63.284425,112.965849,56.353552
20,239.099621,65.541005,115.298271,57.016725
21,238.350967,64.325533,116.225737,56.553186
22,231.803102,61.755627,112.312287,56.504065
23,237.102066,64.623998,114.244812,56.924933
24,239.827574,66.166176,115.948372,56.407713
25,237.3912,64.408964,115.038477,56.668558
26,238.263096,63.644981,116.337268,57.003224
27,239.499758,66.106815,115.451113,56.706838
28,237.223338,62.214335,116.900469,56.843131
29,235.156051,63.825233,113.766574,56.297082
30,238.661313,65.405132,115.488103,56.516705
31,238.245446,64.101699,116.296549,56.586755
32,232.20937,61.569274,112.970509,56.379593
33,236.848941,64.064968,114.858103,56.668658
34,240.014597,66.477961,115.620706,56.670038
35,237.433402,64.686919,114.68512,56.766869
36,238.439389,63.695452,116.781287,56.711579
37,237.615224,64.924923,114.854483,56.553596
38,237.611125,61.583875,118.529966,56.253621
39,237.177657,64.296223,114.65433,56.896992
40,238.803565,65.717846,115.23622,56.597417
41,238.715824,64.582377,116.238377,56.661408
42,238.877407,65.455463,115.206568,56.906872
43,235.62541,62.567102,115.243139,56.554176
44,239.416456,66.248166,115.378962,56.539565
45,237.768837,64.7796,114.781621,56.971823
46,238.53092,64.679129,115.946212,56.665668
47,237.38872,64.529457,114.889453,56.567516
48,235.562839,62.756235,114.906603,56.630308
49,233.755097,63.111541,113.059741,56.338223
50,238.552511,65.758398,115.240898,56.320292
51,239.322715,64.485286,116.698635,56.586396
52,238.639443,65.637026,115.432554,56.305542
53,235.6932,62.689624,115.297091,56.490055
54,239.311405,66.346519,115.149437,56.547966
55,237.88205,64.950924,115.073456,56.630797
56,239.882416,65.133487,116.522952,56.910672
57,237.96517,64.919813,115.162208,56.635968
58,237.889029,63.194992,117.141733,56.317292
59,232.23053,62.123594,112.013992,56.874452
60,237.86348,65.015665,114.912364,56.675038
61,240.19206,65.407331,116.471081,56.976234
62,238.403249,65.486023,115.069486,56.566987
63,236.669079,63.355406,115.475173,56.639397
64,240.035177,67.148722,115.2435,56.464425
65,239.193243,66.127724,115.163308,56.435753
66,240.407783,66.212415,116.288218,56.529015
67,238.957738,66.162806,115.181448,56.361853
68,239.308114,64.953734,116.377449,56.750589
69,239.051001,66.050994,115.208329,56.552945
70,238.184964,63.04052,117.230094,56.630967
71,240.573467,67.271374,115.577925,56.460625
72,239.137651,66.025902,115.190679,56.561447
73,240.473585,66.165106,115.995503,57.006614
74,239.468148,66.151105,115.051566,56.858762
75,240.397094,65.769949,116.556893,56.80363
76,238.858886,66.095273,114.978245,56.519416
77,238.280706,63.305795,116.95981,56.594037
78,240.830781,67.505348,115.627436,56.316632
79,239.811984,61.933921,119.77961,56.884232
80,236.937464,63.921186,114.388654,57.144987
81,239.503978,66.325198,115.444863,56.377903
82,240.130309,65.037724,116.879609,56.994474
83,239.042529,66.184295,115.25343,56.392324
84,238.509631,63.119722,117.211184,56.958293
85,241.173928,67.389597,115.506505,56.728529
86,239.260364,66.288368,115.24111,56.505145
87,237.756347,64.550177,115.107607,56.891552
88,239.248453,66.042543,115.189888,56.77774
89,239.300864,64.951614,116.627024,56.514256
90,239.376876,66.041793,115.366852,56.724048
91,236.76699,63.257044,115.498445,56.719449
92,240.889412,67.098012,115.962423,56.456784
93,239.465598,65.974661,115.895041,56.389003
94,240.537496,66.300818,116.484931,56.507785
95,239.518309,66.138785,115.214619,56.940973
96,239.727972,65.233999,116.862188,56.378893
97,239.764572,66.272067,115.520035,56.76566
98,238.627692,63.321075,117.305786,56.77657
99,239.860944,66.158565,115.664307,56.813221
100,239.524288,66.290958,115.440492,56.591437
101,239.485397,66.333609,115.374892,56.541616
102,239.695962,66.39166,115.412243,56.641688
103,239.946275,66.44541,115.597046,56.663708
104,239.977936,66.528641,115.478893,56.821311
105,239.866985,66.42141,115.781249,56.466245
106,239.276754,65.954722,115.577115,56.569236
107,239.255674,65.956652,115.294961,56.496515
108,239.466087,66.106164,115.328662,56.477235
109,238.994259,65.881099,115.563945,56.371663
110,239.802103,66.44046,115.579075,56.625967
111,238.960988,65.86316,115.586135,56.345092
112,239.725622,66.362039,115.207989,57.033834
113,239.870585,65.965332,115.620406,57.093396
114,239.63875,66.064343,115.600736,56.842141
115,238.843186,65.630555,115.457183,56.620647
116,239.192903,65.912691,115.611476,56.545086
117,239.6072,66.338978,115.604785,56.510005
118,239.081071,66.004473,115.511215,56.454815
119,239.806163,66.43146,115.706308,56.525735
120,239.953716,65.978751,115.455643,57.152317
121,239.576949,65.842239,115.505574,56.952853
122,239.026199,65.747098,115.523484,56.610087
123,239.510189,65.925721,115.959553,56.509636
124,239.340236,65.989652,115.595226,56.594667
125,239.538129,65.92228,115.801259,56.678558
126,239.131142,65.937171,115.548625,56.514985
127,239.440837,65.86501,115.635745,56.496835
128,240.169639,66.005532,116.000772,56.658838
129,239.071811,65.527315,115.980063,56.439844
130,239.285654,66.013242,115.554996,56.591226
131,239.408346,65.8624,115.594546,56.836171
132,239.201713,65.948601,115.489754,56.620967
133,239.761542,64.099039,117.980518,56.538766
134,239.516228,66.263767,115.163808,56.593087
135,239.195353,65.761697,115.637577,56.602377
136,236.507675,64.261021,114.69382,56.386683
137,239.959516,66.504752,115.918701,56.410623
138,240.645848,65.728578,117.445608,56.310142
139,240.385583,66.676084,115.911201,56.622117
140,239.770963,63.804744,117.893937,56.74406
141,241.435082,67.343925,116.39201,56.503386
142,239.009509,62.609202,118.591769,56.421714
143,235.452346,63.917956,113.626141,56.560526
144,240.161159,66.527862,115.952382,56.507464
145,241.174058,66.175775,117.329817,56.477625
146,239.713582,65.888299,115.794269,56.850551
147,239.466787,64.062008,117.495579,56.707068
148,242.280196,67.120442,117.566711,56.075287
149,236.915592,62.970469,115.925671,56.654037
150,236.611057,64.205841,114.243922,56.955753
151,240.691839,66.924318,116.129955,56.476185
152,240.694069,65.88035,117.359167,56.287191
153,239.316144,65.587915,115.83403,56.685508
154,239.269604,63.918206,117.431887,56.595067
155,240.058388,66.165925,115.674907,56.994743
156,239.373706,62.680754,118.951165,56.474575
157,236.174469,64.290192,114.251152,56.356543
158,240.674358,66.814606,116.266638,56.391773
159,241.003214,65.974352,117.464228,56.311101
160,239.403976,65.632676,116.048083,56.486135
161,239.901425,64.133389,117.450049,57.050584
162,239.758663,65.781139,116.269488,56.458315
163,239.348755,62.755774,118.457826,56.651328
164,235.791412,64.041988,113.697503,56.601877
165,241.261679,66.941929,116.226156,56.863181
166,241.797349,65.998863,117.573021,56.959393
167,240.16296,65.659037,116.35189,56.891942
168,240.644348,64.834412,118.006478,56.574206
169,238.021071,64.691769,115.564236,56.553866
170,237.069354,63.339796,115.83776,56.640108
171,236.457935,64.17807,114.332043,56.685748
172,242.098023,66.906789,116.568494,56.448894
173,242.316568,66.620873,117.52322,56.543466
174,239.183222,65.421172,116.008013,56.519565
175,241.018234,64.963004,118.202142,56.637267
176,240.331472,66.786767,115.85948,56.454514
177,240.74899,64.521876,118.325973,56.690958
178,233.512553,62.875568,113.020651,56.371383
179,239.821563,65.673496,116.074174,56.873841
180,241.537524,66.898458,117.069592,56.303732
181,240.21035,65.620506,116.413271,56.946183
182,241.555704,65.28519,118.564597,56.447264
183,239.686461,65.641986,116.241687,56.561276
184,240.231701,63.916546,118.445646,56.451154
185,234.267186,62.780615,113.5772,56.531245
186,239.797783,65.655886,116.282787,56.635938
187,241.242698,66.331529,117.367666,56.301681
188,239.645711,65.625326,116.189026,56.637318
189,241.073736,65.172118,118.12111,56.554746
190,239.641441,65.662037,116.226807,56.546476
191,240.593217,63.935055,118.384265,56.977034
192,233.906919,62.714244,113.455339,56.537066
193,239.797243,65.652156,116.159725,56.733859
194,242.269357,66.753586,117.845056,56.462224
195,239.981007,65.805769,116.351439,56.618897
196,241.195987,65.681876,117.894246,56.450124
197,240.275452,65.90093,116.339949,56.848711
198,240.844772,64.639398,118.539407,56.512615
199,235.448696,62.740816,115.178618,56.382273
200,240.221371,65.903051,116.708606,56.21794
201,242.281337,67.315096,117.017681,56.808581
202,240.618068,66.044013,116.489392,56.974993
203,241.91542,66.605583,117.667053,56.502835
204,241.277829,66.321937,117.209304,56.626857
205,241.606425,66.285577,117.732464,56.448504
206,241.184427,67.258845,116.160536,56.638888
207,241.365371,64.647959,118.917983,56.662728
208,241.693557,67.186233,116.685525,56.652817
209,239.057551,64.551258,116.828268,56.444985
210,235.462406,63.906095,113.55921,56.674538
211,240.403483,66.282836,116.282248,56.672208
212,242.004012,66.596634,117.418377,56.808601
213,239.435137,65.81345,115.974192,56.469014
214,241.757227,65.232429,118.673439,56.662648
215,240.846182,66.599203,116.727036,56.356682
216,240.272022,64.013208,118.690611,56.401183
217,234.392658,62.861637,113.863506,56.514136
218,239.919295,65.801049,116.4078,56.537095
219,243.324385,67.078271,117.970158,57.071955
220,240.635568,66.045793,116.561442,56.840541
221,241.633725,66.148855,117.758874,56.573906
222,240.624458,66.088554,116.831067,56.527586
223,241.380571,65.32235,118.497497,56.395963
224,241.517233,66.584502,117.243005,56.536995
225,238.859176,64.338843,116.835758,56.540926
226,243.126902,68.501376,116.959789,56.494145
