step,phase,time_ms
0,forward,326.900933
0,backward,215.477598
0,optimizer,69.119992
1,forward,124.28714
1,backward,207.149443
1,optimizer,56.869197
2,forward,123.590358
2,backward,207.147993
2,optimizer,57.166013
3,forward,123.499816
3,backward,206.867348
3,optimizer,56.697444
4,forward,124.061816
4,backward,206.705275
4,optimizer,56.682114
5,forward,121.998389
5,backward,207.147253
5,optimizer,57.178632
6,forward,119.428795
6,backward,206.855697
6,optimizer,57.06806
7,forward,121.953769
7,backward,207.002691
7,optimizer,56.646943
8,forward,123.465846
8,backward,207.731784
8,optimizer,56.688144
9,forward,123.961764
9,backward,207.324726
9,optimizer,56.886758
10,forward,123.967495
10,backward,206.820158
10,optimizer,56.483211
11,forward,119.097579
11,backward,207.254345
11,optimizer,57.256563
12,forward,121.820167
12,backward,206.574723
12,optimizer,58.1947
13,forward,122.151762
13,backward,206.734375
13,optimizer,56.546532
14,forward,122.909585
14,backward,207.01167
14,optimizer,56.952899
15,forward,123.292982
15,backward,207.463709
15,optimizer,56.945779
16,forward,123.673769
16,backward,206.555463
16,optimizer,57.219274
17,forward,123.301832
17,backward,207.163003
17,optimizer,56.865657
18,forward,125.000262
18,backward,206.644293
18,optimizer,57.020511
19,forward,122.272444
19,backward,207.247665
19,optimizer,56.881067
20,forward,119.335113
20,backward,206.579422
20,optimizer,57.574551
21,forward,121.926838
21,backward,209.489394
21,optimizer,56.454931
22,forward,123.626998
22,backward,206.836967
22,optimizer,56.275037
23,forward,123.80037
23,backward,206.98156
23,optimizer,56.989789
24,forward,123.719029
24,backward,206.720206
24,optimizer,56.812277
25,forward,119.524576
25,backward,207.294195
25,optimizer,57.075041
26,forward,121.721654
26,backward,207.132903
26,optimizer,56.714655
27,forward,124.114306
27,backward,207.085442
27,optimizer,59.629816
28,forward,122.749002
28,backward,208.389595
28,optimizer,56.902949
29,forward,123.039208
29,backward,207.089203
29,optimizer,56.899628
30,forward,123.480395
30,backward,206.821037
30,optimizer,56.770776
31,forward,123.272602
31,backward,207.304066
31,optimizer,56.847747
32,forward,124.003285
32,backward,207.202634
32,optimizer,56.537311
33,forward,124.486384
33,backward,207.094452
33,optimizer,56.661563
34,forward,123.883963
34,backward,207.229234
34,optimizer,56.841387
35,forward,119.413064
35,backward,208.047439
35,optimizer,57.165102
36,forward,121.747245
36,backward,206.718136
36,optimizer,56.859007
37,forward,123.789301
37,backward,209.630226
37,optimizer,57.05316
38,forward,123.67515
38,backward,207.313686
38,optimizer,56.606313
39,forward,123.414774
39,backward,206.879978
39,optimizer,56.542852
40,forward,120.397091
40,backward,207.274585
40,optimizer,56.685684
41,forward,121.728376
41,backward,208.13558
41,optimizer,56.952948
42,forward,125.156755
42,backward,207.192394
42,optimizer,57.015789
43,forward,122.806334
43,backward,207.071552
43,optimizer,56.624903
44,forward,123.823301
44,backward,207.793734
44,optimizer,56.700815
45,forward,123.564497
45,backward,208.174771
45,optimizer,56.636713
46,forward,123.371434
46,backward,207.374337
46,optimizer,56.751885
47,forward,124.843
47,backward,206.857628
47,optimizer,56.708095
48,forward,122.176943
48,backward,207.346027
48,optimizer,57.002309
49,forward,124.507813
49,backward,206.96404
49,optimizer,56.559772
50,forward,123.323383
50,backward,206.946339
50,optimizer,56.671464
51,forward,123.876843
51,backward,207.328166
51,optimizer,56.723015
52,forward,124.27568
52,backward,206.946129
52,optimizer,57.203284
53,forward,121.804596
53,backward,207.391838
53,optimizer,56.677944
54,forward,119.655888
54,backward,208.096169
54,optimizer,56.970019
55,forward,122.416927
55,backward,207.216284
55,optimizer,57.53138
56,forward,121.47655
56,backward,208.09784
56,optimizer,56.907759
57,forward,123.803171
57,backward,207.447938
57,optimizer,56.226026
58,forward,123.617447
58,backward,207.110122
58,optimizer,57.142913
59,forward,121.115004
59,backward,207.803274
59,optimizer,57.353507
60,forward,121.911358
60,backward,207.865705
60,optimizer,57.086622
61,forward,123.524176
61,backward,207.420038
61,optimizer,56.721985
62,forward,123.607708
62,backward,206.771307
62,optimizer,56.948249
63,forward,123.78858
63,backward,207.704413
63,optimizer,56.473351
64,forward,123.624878
64,backward,207.519609
64,optimizer,56.486681
65,forward,123.74908
65,backward,207.55697
65,optimizer,56.941109
66,forward,124.88419
66,backward,207.336796
66,optimizer,56.759836
67,forward,122.431907
67,backward,207.741333
67,optimizer,56.694165
68,forward,119.926743
68,backward,207.450308
68,optimizer,56.886098
69,forward,122.967936
69,backward,207.793345
