step,phase,time_ms
0,forward,311.89807199999996
0,backward,457.235028
0,optimizer,63.195412
1,forward,260.81387900000004
1,backward,452.557902
1,optimizer,56.980356
2,forward,260.679727
2,backward,453.653687
2,optimizer,56.874554
3,forward,261.154853
3,backward,453.78417
3,optimizer,56.734472
4,forward,262.901917
4,backward,451.60569
4,optimizer,57.052447
5,forward,261.160843
5,backward,453.884572
5,optimizer,56.713712
6,forward,261.461957
6,backward,453.877632
6,optimizer,56.942826
7,forward,258.624148
7,backward,452.3598
7,optimizer,57.006027
8,forward,259.241486
8,backward,454.48344
8,optimizer,56.416588
9,forward,258.921021
9,backward,455.22965999999997
9,optimizer,57.153518
10,forward,260.103567
10,backward,453.65112799999997
10,optimizer,56.952566
11,forward,260.22393
11,backward,454.605052
11,optimizer,56.375457
12,forward,260.752458
12,backward,453.376553
12,optimizer,56.927665
13,forward,260.688647
13,backward,453.89981
13,optimizer,56.57757
14,forward,262.108076
14,backward,455.061847
14,optimizer,56.844604
15,forward,259.362887
15,backward,453.690869
15,optimizer,56.879195
16,forward,260.048047
16,backward,454.36132699999996
16,optimizer,56.658471
17,forward,258.186651
17,backward,455.26579
17,optimizer,57.148969
18,forward,263.057369
18,backward,455.50015399999995
18,optimizer,56.967796
19,forward,261.382645
19,backward,454.859186
19,optimizer,56.731812
20,forward,261.34004400000003
20,backward,453.802961
20,optimizer,57.553204
21,forward,260.87894900000003
21,backward,454.669771
21,optimizer,56.50813
22,forward,262.146909
22,backward,455.477794
22,optimizer,56.815793
23,forward,259.71450300000004
23,backward,457.506621
23,optimizer,57.019707
24,forward,260.20743
24,backward,456.346905
24,optimizer,56.597061
25,forward,260.563094
25,backward,453.937251
25,optimizer,56.479509
26,forward,260.771318
26,backward,455.485164
26,optimizer,56.789513
27,forward,262.14500599999997
27,backward,455.38264200000003
27,optimizer,57.213339
28,forward,262.737744
28,backward,455.25728100000003
28,optimizer,56.796233
29,forward,260.707537
29,backward,455.34952899999996
