step,phase,time_ms
0,forward,118.240308
0,backward,124.269394
0,optimizer,68.536409
1,forward,61.687249
1,backward,113.858651
1,optimizer,56.488968
2,forward,62.579845
2,backward,114.663536
2,optimizer,56.692361
3,forward,65.945664
3,backward,114.706097
3,optimizer,57.15937
4,forward,64.624621
4,backward,114.685206
4,optimizer,56.378726
5,forward,64.260304
5,backward,115.409428
5,optimizer,56.641091
6,forward,65.300403
6,backward,115.234466
6,optimizer,56.887266
7,forward,62.85197
7,backward,116.386956
7,optimizer,56.674602
8,forward,62.30081
8,backward,111.705993
8,optimizer,56.860115
9,forward,65.060848
9,backward,114.696006
9,optimizer,56.61529
10,forward,64.600771
10,backward,116.243234
10,optimizer,56.895115
11,forward,61.743881
11,backward,113.21014
11,optimizer,56.531419
12,forward,62.270399
12,backward,117.049488
12,optimizer,56.748513
13,forward,65.856901
13,backward,115.106514
13,optimizer,56.463008
14,forward,64.408967
14,backward,114.690247
14,optimizer,56.661511
15,forward,63.952189
15,backward,116.101571
15,optimizer,56.964486
16,forward,64.325325
16,backward,114.560564
16,optimizer,56.62551
17,forward,62.447872
17,backward,116.63364
17,optimizer,56.804214
18,forward,64.290934
18,backward,114.422551
18,optimizer,56.482478
19,forward,65.14792
19,backward,115.674223
19,optimizer,56.254304
20,forward,64.304365
20,backward,116.073451
20,optimizer,56.432357
21,forward,62.051105
21,backward,113.197161
21,optimizer,56.884605
22,forward,64.530759
22,backward,114.744538
22,optimizer,56.341136
23,forward,65.896543
23,backward,115.953708
23,optimizer,56.938376
24,forward,64.58517
24,backward,114.705327
24,optimizer,56.484669
25,forward,63.490031
25,backward,116.12299
25,optimizer,56.952127
26,forward,65.526956
26,backward,114.758447
26,optimizer,56.455338
27,forward,65.324392
27,backward,114.742827
27,optimizer,56.686192
28,forward,64.489458
28,backward,114.574754
28,optimizer,56.59096
29,forward,65.321143
29,backward,115.713674
29,optimizer,56.928455
30,forward,64.430837
30,backward,116.619091
30,optimizer,57.002167
31,forward,62.169767
31,backward,112.686192
31,optimizer,56.383317
32,forward,62.269499
32,backward,117.138448
32,optimizer,56.699122
33,forward,66.249969
33,backward,115.461969
33,optimizer,56.498098
34,forward,64.661821
34,backward,115.137773
34,optimizer,56.641761
35,forward,63.828306
35,backward,116.181732
35,optimizer,56.802694
36,forward,64.728392
36,backward,114.373561
36,optimizer,56.655381
37,forward,62.034675
37,backward,117.993534
37,optimizer,56.883485
38,forward,64.898316
38,backward,114.820989
38,optimizer,56.648941
39,forward,65.628948
39,backward,115.081164
39,optimizer,56.907605
40,forward,64.803974
40,backward,116.506858
40,optimizer,56.548689
41,forward,62.137587
41,backward,113.070617
41,optimizer,56.793664
42,forward,62.266239
42,backward,117.550047
42,optimizer,56.405117
43,forward,66.738197
43,backward,115.790415
43,optimizer,56.820635
44,forward,64.454447
44,backward,114.825818
44,optimizer,56.484588
45,forward,64.218033
45,backward,116.185832
45,optimizer,56.663401
46,forward,65.873973
46,backward,115.580901
46,optimizer,56.281294
47,forward,62.801989
47,backward,115.626003
47,optimizer,56.221933
48,forward,63.908868
48,backward,113.699339
48,optimizer,56.404367
49,forward,65.502526
49,backward,115.842396
49,optimizer,56.764014
50,forward,64.919886
50,backward,116.476927
50,optimizer,56.496718
51,forward,62.186018
51,backward,113.323493
51,optimizer,56.805854
52,forward,62.390962
52,backward,117.113619
52,optimizer,56.434737
53,forward,65.982735
53,backward,115.858587
53,optimizer,56.346945
54,forward,64.674241
54,backward,114.943541
54,optimizer,56.6007
55,forward,64.170023
55,backward,116.254944
55,optimizer,56.61644
56,forward,65.937263
56,backward,115.697324
56,optimizer,56.254203
57,forward,62.793759
57,backward,115.694684
57,optimizer,56.178103
58,forward,64.092081
58,backward,114.016903
58,optimizer,57.065119
59,forward,65.74936
59,backward,115.699154
59,optimizer,56.54904
60,forward,65.083378
60,backward,116.640951
60,optimizer,56.662452
61,forward,65.683559
61,backward,115.720894
61,optimizer,56.502528
62,forward,63.105874
62,backward,115.782645
62,optimizer,56.487038
63,forward,66.186488
63,backward,115.911647
63,optimizer,56.399117
64,forward,65.300213
64,backward,115.630513
64,optimizer,56.386937
65,forward,65.657688
65,backward,116.498677
65,optimizer,56.530669
66,forward,65.127189
66,backward,115.396758
66,optimizer,56.203463
67,forward,64.399956
67,backward,117.087219
67,optimizer,56.663171
68,forward,62.402702
68,backward,113.569417
68,optimizer,56.424027
69,forward,64.862765
69,backward,115.361778
69,optimizer,56.61456
70,forward,66.155067
70,backward,116.667931
70,optimizer,56.5969
71,forward,64.798244
71,backward,115.602643
71,optimizer,56.868925
72,forward,64.102161
72,backward,116.5998
72,optimizer,56.517399
73,forward,64.796123
73,backward,114.803668
73,optimizer,56.735563
74,forward,62.494793
74,backward,118.044774
74,optimizer,56.351917
75,forward,64.380196
75,backward,114.37488
75,optimizer,56.428717
76,forward,65.72905
76,backward,115.769915
76,optimizer,56.412797
77,forward,65.085738
77,backward,117.029377
77,optimizer,56.708162
78,forward,65.917253
78,backward,115.824996
78,optimizer,56.849744
79,forward,63.45941
79,backward,117.975174
79,optimizer,56.247564
80,forward,66.951142
80,backward,115.4958
80,optimizer,56.452837
81,forward,65.812582
81,backward,115.638533
81,optimizer,56.328635
82,forward,65.994525
82,backward,115.989188
82,optimizer,56.529109
83,forward,65.851392
83,backward,115.790325
83,optimizer,56.424418
84,forward,65.433574
84,backward,116.616009
84,optimizer,56.669272
85,forward,65.878462
85,backward,115.687923
85,optimizer,56.758684
86,forward,63.421709
86,backward,118.155756
86,optimizer,56.479818
87,forward,67.133285
87,backward,115.715834
87,optimizer,56.279865
88,forward,66.022615
88,backward,115.679093
88,optimizer,56.606611
89,forward,65.610138
89,backward,115.647172
89,optimizer,56.537949
90,forward,66.016345
90,backward,115.663663
90,optimizer,56.925706
91,forward,65.805611
91,backward,116.664941
91,optimizer,56.386006
92,forward,66.012165
92,backward,115.758685
92,optimizer,56.125782
93,forward,63.317338
93,backward,117.176709
93,optimizer,56.443187
94,forward,67.036013
94,backward,115.736495
94,optimizer,56.294054
95,forward,66.031965
95,backward,116.252534
95,optimizer,56.292275
96,forward,65.211901
96,backward,115.310828
96,optimizer,56.662642
97,forward,65.964633
97,backward,116.03583
97,optimizer,56.257604
98,forward,65.21474
98,backward,117.000146
98,optimizer,56.495738
99,forward,65.784081
99,backward,116.02443
99,optimizer,56.586639
100,forward,63.44246
100,backward,118.170017
100,optimizer,56.387827
101,forward,65.836122
101,backward,116.458097
101,optimizer,56.418477
102,forward,65.855272
102,backward,116.03861
102,optimizer,56.423187
103,forward,66.158097
103,backward,116.205622
103,optimizer,56.512568
104,forward,66.089626
104,backward,115.897108
104,optimizer,56.390696
105,forward,65.643598
105,backward,116.974836
105,optimizer,56.583069
106,forward,66.164908
106,backward,115.793986
106,optimizer,56.585429
107,forward,63.543432
107,backward,117.559617
107,optimizer,56.403756
108,forward,67.296637
108,backward,115.702654
108,optimizer,56.272014
109,forward,66.125237
109,backward,115.783696
109,optimizer,56.565809
110,forward,64.901815
110,backward,115.250366
110,optimizer,56.716252
111,forward,66.075905
111,backward,115.966549
111,optimizer,56.61245
112,forward,65.694049
112,backward,116.960377
112,optimizer,56.60155
113,forward,66.190088
113,backward,116.02195
113,optimizer,56.63985
114,forward,63.782836
114,backward,117.263092
114,optimizer,56.268074
115,forward,67.46849
115,backward,115.974259
115,optimizer,56.783453
116,forward,65.579347
116,backward,116.07545
116,optimizer,56.801954
117,forward,64.390146
117,backward,114.451461
117,optimizer,56.203613
118,forward,65.981524
118,backward,116.07929
118,optimizer,56.768863
119,forward,65.839992
119,backward,116.777673
119,optimizer,56.622691
120,forward,66.233909
120,backward,115.821806
120,optimizer,56.581391
121,forward,63.989269
121,backward,117.289671
121,optimizer,56.502399
122,forward,67.557732
122,backward,116.220472
122,optimizer,56.399967
123,forward,65.547977
123,backward,115.641712
123,optimizer,56.426187
124,forward,64.732923
124,backward,114.763497
124,optimizer,56.548679
125,forward,66.107836
125,backward,115.932718
125,optimizer,56.418797
126,forward,65.654818
126,backward,117.027437
126,optimizer,56.400067
127,forward,66.294359
127,backward,116.237293
127,optimizer,56.842285
128,forward,63.638144
128,backward,117.145509
128,optimizer,56.782043
129,forward,67.49773
129,backward,116.173922
129,optimizer,56.951966
130,forward,65.552487
130,backward,116.138502
130,optimizer,56.57594
131,forward,64.336846
131,backward,114.242338
131,optimizer,56.713222
132,forward,66.177618
132,backward,116.270834
132,optimizer,56.329605
133,forward,65.523906
133,backward,117.514415
133,optimizer,56.61641
134,forward,65.927523
134,backward,116.280134
134,optimizer,56.458347
135,forward,63.99083
135,backward,117.622948
135,optimizer,56.63462
136,forward,67.142565
136,backward,117.779371
136,optimizer,56.388546
137,forward,63.323898
137,backward,116.537439
137,optimizer,56.378656
138,forward,64.551169
138,backward,114.33317
138,optimizer,56.379727
139,forward,66.360271
139,backward,116.382046
139,optimizer,56.571069
140,forward,66.218048
140,backward,117.372293
140,optimizer,56.815303
141,forward,65.619688
141,backward,115.971849
141,optimizer,56.287954
142,forward,64.161042
142,backward,118.009374
142,optimizer,56.489168
143,forward,66.88464
143,backward,116.015379
143,optimizer,56.469728
144,forward,63.870588
144,backward,116.059391
144,optimizer,56.357036
145,forward,64.548179
145,backward,114.727697
145,optimizer,56.756903
146,forward,66.34202
146,backward,116.578039
146,optimizer,56.566819
147,forward,65.74929
147,backward,117.088258
147,optimizer,56.899075
148,forward,65.808381
148,backward,116.483917
148,optimizer,56.61202
149,forward,64.271834
149,backward,118.175577
149,optimizer,56.953986
150,forward,66.726727
150,backward,116.342005
150,optimizer,56.853085
151,forward,64.132861
151,backward,116.288465
151,optimizer,56.691392
152,forward,64.453277
152,backward,113.880243
152,optimizer,56.769423
153,forward,66.227139
