step,step_ms,forward_ms,backward_ms,optimizer_ms
0,798.84531,310.055385,425.955849,62.51422
1,731.519888,248.633924,424.816861,56.578698
2,730.123285,248.191717,424.491185,56.296905
3,729.719619,246.946116,424.662827,56.922935
4,732.606347,249.303645,425.474052,56.63338
5,729.622616,248.645865,423.248324,56.498608
6,734.238995,248.651754,427.650878,56.61677
7,732.381193,249.033951,425.045734,57.084757
8,736.585794,249.657131,428.504732,57.114588
9,730.700235,249.162563,423.901044,56.392866
10,735.093319,249.343915,427.952504,56.546488
11,731.430507,248.98626,424.688588,56.451448
12,739.020816,249.01605,432.153855,56.63234
13,731.370906,249.164674,424.610527,56.292654
14,734.614111,248.890689,427.731989,56.60965
15,732.21234,249.264444,425.162586,56.454617
16,739.20423,249.328306,431.610325,57.075118
17,731.340335,249.505309,423.949626,56.631779
18,735.437915,249.154213,428.468253,56.578499
19,733.645185,249.963706,425.94835,56.521338
20,733.168886,250.478075,424.445234,56.995566
21,734.216225,250.048488,426.207543,56.778633
22,736.247189,249.909116,428.678177,56.409496
23,733.912219,249.806355,426.278595,56.66041
24,733.653564,250.74441,424.885162,56.68302
25,733.751016,250.684329,425.229527,56.444596
26,738.11518,250.298452,429.563981,56.717882
27,737.122093,250.063438,428.979301,56.749092
28,735.10141,250.597648,427.005637,56.360685
29,732.469875,249.733803,425.220797,56.347996
30,733.081336,248.558134,426.833134,56.412116
31,738.029279,250.509716,429.720274,56.525498
32,738.768972,250.879672,430.165851,56.562369
33,734.869705,248.780966,428.210088,56.6439
34,731.58361,247.549586,425.602363,57.184859
35,733.844897,250.478465,425.619244,56.509237
36,737.943397,251.661656,428.622435,56.509008
37,737.004792,249.344927,430.079739,56.425196
38,733.226387,247.812189,427.409935,56.838362
39,733.850669,249.590361,425.969199,56.977006
40,735.491505,251.490472,426.226484,56.475327
41,737.248035,249.448707,429.728494,56.741262
42,737.181975,248.172377,431.110947,56.64614
43,740.706424,250.499246,431.731928,57.091888
44,739.145768,250.981954,430.474566,56.441667
45,738.971525,250.917382,430.571518,56.332305
46,739.25559,251.148327,430.594549,56.365865
47,739.721917,251.709386,430.10859,56.629999
48,738.876303,249.920697,431.319131,56.454506
49,737.230505,248.475072,431.121967,56.138542
50,738.64076,250.528107,430.68439,56.284924
51,740.340428,251.267069,431.399331,56.433347
52,740.732504,251.283509,431.761158,56.430217
53,740.365599,251.632835,430.673169,56.887625
54,739.223679,252.608102,429.079273,56.390995
55,738.891543,250.233141,431.075306,56.443137
56,739.963821,251.93842,430.174821,56.64212
57,747.666102,251.253549,438.555033,56.323765
58,734.326806,251.461861,425.394481,56.325065
59,735.67493,249.445659,428.247749,56.755732
60,737.589581,250.545366,429.422978,56.366425
61,739.098347,250.648318,430.585418,56.64261
62,738.033989,249.59946,430.802132,56.375925
63,733.782308,248.135806,428.216178,56.280584
64,734.241394,249.409687,426.969247,56.551448
65,734.407318,250.15486,426.770613,56.270314
66,736.263769,249.196134,429.356588,56.467578
67,737.573721,248.435411,430.983846,56.932475
68,738.637899,249.666942,430.994475,56.741291
69,739.160369,250.541186,430.755811,56.596049
70,738.69662,250.176421,430.911914,56.377635
71,739.161868,250.498266,430.825603,56.643341
72,740.283277,251.158087,431.501593,56.358415
73,737.792735,249.472218,430.539487,56.543198
74,733.802098,247.964323,428.098905,56.539419
75,734.439229,249.863625,426.838055,56.588459
76,735.338833,250.636427,426.899966,56.394736
77,737.575902,249.210124,430.065339,56.499118
78,737.002961,247.967213,431.219819,56.568249
79,739.399832,250.333873,431.433553,56.480347
80,740.044143,250.891382,431.459303,56.547329
81,741.149872,250.357884,433.256463,56.316194
82,737.711563,250.79184,429.46639,56.277703
83,739.273831,251.366821,429.938317,56.727952
84,738.021559,249.125402,431.144958,56.537499
85,737.291116,248.805527,430.640909,56.6326
86,737.863576,249.818193,430.367235,56.439586
87,737.811995,250.597558,428.97682,56.965135
88,734.984668,249.936897,427.215121,56.577929
89,735.466355,250.600817,427.19741,56.226183
90,735.784481,250.788191,427.191101,56.589559
91,737.904858,251.29446,428.562974,56.64592
92,738.282133,250.883362,429.444638,56.562969
93,739.067157,250.596047,430.455906,56.786712
94,739.095277,251.452201,429.966938,56.523858
95,738.217262,249.264955,431.181058,56.538848
96,736.356661,248.36055,430.604398,56.255183
97,735.77806,250.032937,428.287009,56.314034
98,736.429941,251.101606,427.621828,56.543968
99,734.608201,250.13181,426.938486,56.300544
100,735.899103,251.124546,427.208871,56.411217
101,737.475559,250.497426,429.135794,56.6668
102,739.062016,250.73383,430.649879,56.431966
103,739.100778,250.361974,430.968104,56.531638
104,739.772708,251.034675,430.939804,56.64383
105,739.129198,251.663485,429.862976,56.437687
106,739.244009,249.63672,432.008152,56.411686
107,738.755921,248.97244,432.372148,56.278414
108,746.451002,250.585838,437.514205,57.062528
109,736.396019,250.976752,428.025415,56.235023
110,736.427123,249.829215,428.830699,56.59133
111,738.833402,250.979144,429.684643,57.037227
112,738.927954,251.787197,429.762084,56.217483
113,738.797742,249.871605,431.305021,56.392256
114,738.047809,248.309349,432.001342,56.449776
115,740.094955,250.427145,432.006432,56.438527
116,739.550284,251.126667,430.807352,56.350565
117,738.613439,251.033765,430.247042,55.983479
118,739.398572,250.999354,430.795572,56.373555
119,739.86098,252.357047,429.337407,56.760542
120,738.534737,249.396446,431.190169,56.785293
121,737.882567,248.796368,431.359141,56.529768
