step,step_ms,forward_ms,backward_ms,optimizer_ms
0,810.393192,324.898353,422.503762,62.370007
1,725.10621,246.0177,421.147579,56.378646
2,719.708239,245.001042,417.283623,56.304165
3,722.426624,245.162885,419.4742,56.532868
4,726.831438,245.931748,422.877707,56.868985
5,722.526426,243.847542,420.65685,56.732662
6,723.532112,245.738455,419.756564,56.817743
7,723.96006,245.767545,420.234663,56.780643
8,723.917149,244.434812,421.674417,56.557329
9,727.53401,243.621999,426.220983,56.505658
10,723.789366,245.877716,419.976128,56.61036
11,724.127912,245.569671,420.881213,56.390386
12,727.627092,247.329161,422.657903,56.481778
13,723.269688,246.008458,419.609592,56.527099
14,723.188976,245.734803,419.694923,56.55889
15,728.208972,246.612949,423.451656,56.874615
16,722.940102,245.135243,420.223382,56.436527
17,727.182073,246.766721,422.689884,56.554079
18,727.712963,246.469137,423.519028,56.512098
19,723.298738,245.367818,419.990228,56.796003
20,721.63663,243.232112,420.594029,56.576499
21,725.004678,246.449546,421.131128,56.244654
22,728.580177,246.609509,423.868434,56.685302
23,725.973493,247.397031,420.810142,56.430267
24,725.028008,245.396059,421.887451,56.55922
25,727.803424,245.011211,424.398022,56.693462
26,725.248811,246.976414,420.604589,56.368626
27,727.024412,246.505647,422.356408,56.981287
28,727.707562,247.147488,422.199005,57.1536
29,724.418718,245.563401,421.331741,56.350716
30,730.652263,247.26121,425.189266,57.006716
31,725.975344,247.094847,421.261619,56.455928
32,729.438982,247.499493,424.001396,56.644251
33,727.751754,247.927731,421.927451,56.700612
34,725.14079,245.660102,421.568595,56.703791
35,732.429531,246.066269,428.860297,56.349096
36,728.011358,247.815449,422.547011,56.504759
37,735.92252,247.436272,430.826001,56.471458
38,730.423258,247.877809,424.763559,56.504999
39,725.921573,246.630249,421.474983,56.459268
40,727.152223,244.854979,424.26538,56.818993
41,725.506745,246.020788,421.524115,56.6407
42,729.056546,248.531442,422.860206,56.380586
43,729.566644,248.342747,423.405296,56.58348
44,727.060451,247.545224,421.777909,56.573949
45,731.05048,248.718215,424.535485,56.591499
46,727.899705,247.514283,422.612822,56.61231
47,731.840272,249.317834,424.198769,57.155679
48,726.826999,246.534138,422.759015,56.349046
49,733.603651,246.569527,429.03321,56.834404
50,730.451458,248.51955,424.22707,56.480588
51,729.076076,248.753875,422.628032,56.57513
52,733.322467,248.50366,426.973876,56.652031
53,728.347783,247.687946,422.436999,57.019377
54,731.760211,248.824767,425.48181,56.293325
