step,phase,time_ms
0,forward,293.06889
0,backward,420.420735
0,optimizer,62.763817
1,forward,245.507241
1,backward,421.533484
1,optimizer,56.381149
2,forward,245.402051
2,backward,419.156802
2,optimizer,56.848736
3,forward,244.552476
3,backward,419.481359
3,optimizer,56.455749
4,forward,242.873258
4,backward,419.552731
4,optimizer,56.916487
5,forward,245.829628
5,backward,420.347174
5,optimizer,56.406158
6,forward,245.41692
6,backward,423.503217
6,optimizer,57.311775
7,forward,244.596047
7,backward,419.920516
7,optimizer,56.644293
8,forward,244.594117
8,backward,419.863176
8,optimizer,56.52518
9,forward,245.551493
9,backward,419.763724
9,optimizer,56.491429
10,forward,243.156913
10,backward,421.148347
10,optimizer,56.606922
11,forward,246.695232
11,backward,423.157481
11,optimizer,56.502071
12,forward,247.209611
12,backward,420.060148
12,optimizer,56.463879
13,forward,246.648822
13,backward,420.965454
13,optimizer,56.456189
14,forward,245.130416
14,backward,424.327412
14,optimizer,57.068229
15,forward,243.754802
15,backward,420.231152
15,optimizer,56.47984
16,forward,246.5873
16,backward,417.888562
16,optimizer,56.635173
17,forward,245.929999
17,backward,421.790598
17,optimizer,56.340317
18,forward,247.558397
18,backward,422.791955
18,optimizer,56.433258
19,forward,246.928527
19,backward,420.313723
19,optimizer,56.329236
20,forward,246.978997
20,backward,422.080053
20,optimizer,56.44499
21,forward,246.57805
21,backward,421.791939
21,optimizer,57.08729
22,forward,246.179723
22,backward,420.846182
22,optimizer,56.493881
23,forward,248.074436
23,backward,424.717657
23,optimizer,56.566482
24,forward,247.10202
24,backward,421.249899
24,optimizer,56.557741
25,forward,246.991618
25,backward,421.136467
25,optimizer,56.455419
26,forward,248.041075
26,backward,422.852516
26,optimizer,56.560321
27,forward,246.441447
27,backward,421.249359
27,optimizer,56.51613
28,forward,248.445782
28,backward,425.317427
28,optimizer,56.416069
29,forward,247.07899
29,backward,419.168843
29,optimizer,56.363058
30,forward,247.391895
30,backward,421.552794
30,optimizer,56.902806
31,forward,247.752941
31,backward,423.013759
31,optimizer,56.261697
32,forward,246.450457
32,backward,421.498093
32,optimizer,56.678074
33,forward,248.843008
33,backward,425.353389
33,optimizer,56.435599
34,forward,247.821082
34,backward,422.933787
34,optimizer,56.390518
35,forward,246.5738
35,backward,425.755916
35,optimizer,56.498439
36,forward,247.895383
36,backward,422.574382
36,optimizer,56.54074
37,forward,247.584978
37,backward,425.031494
37,optimizer,56.734734
38,forward,247.860322
38,backward,422.385609
38,optimizer,56.252317
39,forward,246.504739
39,backward,426.346215
39,optimizer,56.614992
40,forward,245.034695
40,backward,422.303567
40,optimizer,56.509591
41,forward,248.535264
41,backward,426.6214
41,optimizer,56.422948
42,forward,248.149057
42,backward,422.898387
42,optimizer,56.4778
43,forward,248.89593
43,backward,424.524275
43,optimizer,56.437489
44,forward,248.012905
44,backward,423.004639
44,optimizer,56.372358
45,forward,249.059453
45,backward,424.218049
45,optimizer,56.693514
46,forward,248.33513
46,backward,424.544714
46,optimizer,56.695244
47,forward,248.456203
47,backward,422.653473
47,optimizer,56.269836
48,forward,246.775754
48,backward,421.631906
48,optimizer,56.833206
49,forward,247.102098
49,backward,425.164566
49,optimizer,56.266517
50,forward,248.862719
50,backward,424.150998
50,optimizer,56.605162
51,forward,249.345418
51,backward,423.373064
51,optimizer,56.347578
52,forward,248.565975
52,backward,427.581617
52,optimizer,56.407939
53,forward,248.043696
53,backward,423.435026
53,optimizer,56.363477
54,forward,249.283087
54,backward,425.308568
54,optimizer,56.412399
55,forward,248.258299
55,backward,424.593556
55,optimizer,56.395099
56,forward,249.674653
56,backward,423.820332
56,optimizer,56.270957
57,forward,248.108176
57,backward,427.167239
57,optimizer,56.497191
58,forward,245.927639
58,backward,423.573428
58,optimizer,56.630402
59,forward,249.354838
59,backward,427.044797
59,optimizer,56.662902
60,forward,250.02528
60,backward,426.877625
60,optimizer,56.551581
61,forward,249.304737
61,backward,424.23533
61,optimizer,56.723745
62,forward,247.793761
62,backward,425.41781
62,optimizer,56.704184
63,forward,249.369048
63,backward,426.04262
63,optimizer,56.507251
64,forward,249.507431
64,backward,423.480186
64,optimizer,56.52589
65,forward,249.787175
65,backward,426.61779
65,optimizer,56.440028
66,forward,249.812796
66,backward,426.364126
66,optimizer,56.258036
67,forward,249.686794
67,backward,424.010096
67,optimizer,56.561432
68,forward,249.381777
68,backward,434.425793
68,optimizer,56.47848
69,forward,249.735433
69,backward,424.22751
69,optimizer,56.381888
70,forward,249.824056
70,backward,428.650314
70,optimizer,56.854186
71,forward,249.887907
71,backward,425.828106
71,optimizer,56.508431
72,forward,250.152092
72,backward,428.834298
72,optimizer,56.818475
73,forward,250.196762
73,backward,423.04979
73,optimizer,56.305186
74,forward,249.707354
74,backward,429.051982
74,optimizer,56.531041
75,forward,249.805425
75,backward,426.812994
75,optimizer,56.215106
76,forward,250.808762
76,backward,425.803466
76,optimizer,56.44771
77,forward,249.916687
77,backward,424.28846
77,optimizer,56.759795
78,forward,250.244253
78,backward,428.953789
78,optimizer,56.530701
79,forward,250.318914
79,backward,428.843318
79,optimizer,56.53066
80,forward,250.425796
80,backward,426.130572
80,optimizer,56.724783
81,forward,250.168042
81,backward,424.083587
81,optimizer,56.278857
82,forward,250.030718
82,backward,427.130529
82,optimizer,56.218595
83,forward,250.371815
83,backward,429.973618
83,optimizer,56.629712
84,forward,251.144738
84,backward,430.215651
84,optimizer,56.44124
85,forward,248.87151
85,backward,426.915954
85,optimizer,56.455019
86,forward,247.347283
86,backward,424.796879
86,optimizer,56.682543
87,forward,250.66213
87,backward,427.345493
87,optimizer,56.645822
88,forward,250.913304
88,backward,429.57029
88,optimizer,56.407029
89,forward,249.100522
89,backward,429.398128
89,optimizer,56.278147
90,forward,247.584837
90,backward,426.122231
90,optimizer,56.499261
91,forward,249.145735
91,backward,425.209446
91,optimizer,56.561291
92,forward,251.978942
92,backward,427.838231
92,optimizer,56.005332
93,forward,249.412528
93,backward,429.862566
93,optimizer,56.931567
94,forward,248.142047
94,backward,427.149489
94,optimizer,56.5425
95,forward,249.583622
95,backward,426.511919
95,optimizer,56.328898
96,forward,252.021332
96,backward,426.453137
96,optimizer,56.573402
97,forward,249.346407
97,backward,429.521889
97,optimizer,56.561831
98,forward,251.25457
98,backward,429.759513
98,optimizer,56.401539
99,forward,250.499877
99,backward,431.070575
99,optimizer,56.520811
100,forward,250.911725
100,backward,430.320613
100,optimizer,56.610181
101,forward,251.25148
101,backward,430.315503
101,optimizer,56.279656
102,forward,250.797782
102,backward,430.828702
102,optimizer,56.390597
103,forward,251.467724
103,backward,430.431355
103,optimizer,56.407109
104,forward,249.740084
104,backward,430.873093
104,optimizer,56.520011
105,forward,248.475893
105,backward,428.602265
105,optimizer,56.346718
106,forward,250.352585
106,backward,427.456094
106,optimizer,56.863307
107,forward,251.557575
107,backward,425.921847
107,optimizer,56.44251
108,forward,250.406376
108,backward,426.904915
108,optimizer,56.155834
109,forward,251.607057
109,backward,428.242448
109,optimizer,56.241865
110,forward,250.856164
110,backward,430.255393
110,optimizer,57.102551
111,forward,251.146528
111,backward,429.729343
111,optimizer,56.882787
112,forward,251.272269
112,backward,429.851625
112,optimizer,56.44608
113,forward,251.378661
113,backward,430.184801
113,optimizer,56.649363
114,forward,251.887681
114,backward,429.62241
114,optimizer,56.594062
115,forward,250.451507
115,backward,430.354553
115,optimizer,56.893117
116,forward,251.279271
116,backward,429.938206
116,optimizer,56.574591
117,forward,250.412096
117,backward,431.149527
117,optimizer,56.371967
118,forward,250.930755
118,backward,430.367714
118,optimizer,56.932818
119,forward,251.423053
119,backward,430.040118
119,optimizer,56.5038
120,forward,251.401222
120,backward,429.923167
120,optimizer,56.4442
121,forward,251.755898
121,backward,430.234072
121,optimizer,56.500171
122,forward,249.766355
122,backward,431.247518
122,optimizer,56.48104
123,forward,248.569915
123,backward,431.449971
123,optimizer,56.562881
124,forward,251.090357
124,backward,431.511674
124,optimizer,56.235605
125,forward,251.353922
125,backward,431.247599
125,optimizer,56.248195
126,forward,251.297681
126,backward,430.150561
126,optimizer,56.849776
127,forward,251.954502
127,backward,426.802693
127,optimizer,56.747835
128,forward,251.031656
128,backward,430.660349
128,optimizer,56.123924
129,forward,249.858465
129,backward,431.372461
129,optimizer,56.412809
130,forward,248.823529
130,backward,428.187616
130,optimizer,56.49765
131,forward,250.369916
131,backward,427.671358
131,optimizer,56.573882
132,forward,252.306268
132,backward,426.857924
132,optimizer,56.460969
133,forward,250.807673
133,backward,427.066988
133,optimizer,56.183394
134,forward,251.87858
134,backward,428.101666
134,optimizer,56.654944
135,forward,251.322581
135,backward,438.199687
135,optimizer,56.318287
136,forward,251.753667
136,backward,425.469811
136,optimizer,57.279274
137,forward,249.098503
137,backward,427.465395
137,optimizer,56.426599
138,forward,250.825533
138,backward,429.04362
138,optimizer,56.869707
139,forward,250.960155
139,backward,430.122929
139,optimizer,56.802976
140,forward,249.274337
140,backward,430.232952
140,optimizer,56.622022
141,forward,247.70774
141,backward,426.993667
141,optimizer,56.173904
142,forward,249.214215
142,backward,426.422167
142,optimizer,56.618422
143,forward,251.469623
143,backward,426.694822
143,optimizer,56.585882
144,forward,249.071802
144,backward,430.265892
144,optimizer,56.48454
145,forward,250.629519
145,backward,430.392554
145,optimizer,56.886677
146,forward,249.952438
146,backward,430.813211
146,optimizer,56.47349
147,forward,250.447097
147,backward,431.097286
147,optimizer,56.391088
148,forward,250.288554
148,backward,430.743041
148,optimizer,56.348707
149,forward,250.305864
149,backward,430.624529
149,optimizer,57.051419
150,forward,251.533405
150,backward,431.132668
150,optimizer,56.372589
151,forward,249.442218
151,backward,430.915903
151,optimizer,56.871867
152,forward,248.279079
152,backward,429.050932
152,optimizer,56.526561
153,forward,250.143402
153,backward,427.685278
153,optimizer,56.545101
154,forward,251.123048
154,backward,426.992916
154,optimizer,56.387329
155,forward,249.872586
155,backward,426.882965
155,optimizer,56.463999
156,forward,251.131569
156,backward,426.975567
156,optimizer,56.854096
157,forward,249.52007
157,backward,430.830062
157,optimizer,56.331647
158,forward,250.468936
158,backward,430.368134
158,optimizer,56.576752
159,forward,250.457226
159,backward,429.610861
159,optimizer,56.426449
160,forward,250.511267
160,backward,428.838168
160,optimizer,56.323108
161,forward,251.882161
161,backward,427.420043
161,optimizer,56.616482
162,forward,250.61628
162,backward,426.878004
162,optimizer,56.510561
163,forward,248.967581
163,backward,427.140089
163,optimizer,56.561991
164,forward,250.65347
164,backward,428.98835
164,optimizer,56.728444
165,forward,251.467484
165,backward,429.664103
165,optimizer,56.290077
166,forward,249.174654
166,backward,431.243919
166,optimizer,56.4328
167,forward,251.054886
167,backward,430.905293
167,optimizer,56.914997
168,forward,250.311374
168,backward,431.085825
168,optimizer,56.236866
169,forward,250.860243
169,backward,431.040284
169,optimizer,56.536251
170,forward,250.414976
170,backward,430.533007
170,optimizer,56.479699
171,forward,250.68781
171,backward,431.076206
171,optimizer,56.723113
172,forward,251.924872
172,backward,429.652502
172,optimizer,56.321617
173,forward,249.511371
173,backward,431.127547
173,optimizer,56.093564
174,forward,248.235618
174,backward,428.814207
174,optimizer,56.304017
175,forward,250.230552
175,backward,427.282182
175,optimizer,56.536611
176,forward,250.922205
176,backward,426.730901
176,optimizer,56.641733
177,forward,249.670483
177,backward,427.712978
177,optimizer,56.349438
178,forward,251.053136
178,backward,428.996161
178,optimizer,56.425228
179,forward,250.370255
179,backward,430.435645
179,optimizer,56.222744
180,forward,250.900764
180,backward,431.052375
180,optimizer,56.514921
181,forward,250.480156
181,backward,430.994674
181,optimizer,56.685564
182,forward,250.866993
182,backward,430.467226
182,optimizer,56.727445
183,forward,251.513014
183,backward,429.687342
183,optimizer,56.262446
184,forward,249.386769
184,backward,431.054095
184,optimizer,56.657313
185,forward,248.616705
185,backward,429.777053
185,optimizer,56.47179
186,forward,250.272963
186,backward,428.124736
186,optimizer,56.962808
187,forward,250.852384
187,backward,427.416124
187,optimizer,56.612922
188,forward,249.923907
188,backward,426.638151
188,optimizer,56.565061
189,forward,251.29293
189,backward,426.677752
189,optimizer,56.373439
190,forward,250.798752
190,backward,437.009177
190,optimizer,56.370839
191,forward,250.653619
191,backward,426.863904
191,optimizer,56.330517
192,forward,250.091831
192,backward,428.474951
192,optimizer,56.286477
193,forward,250.861803
193,backward,430.218361
193,optimizer,56.563271
194,forward,251.168498
194,backward,430.655879
194,optimizer,56.52553
195,forward,249.610052
195,backward,430.887243
195,optimizer,56.603542
196,forward,248.184728
196,backward,429.273725
