step,step_ms,forward_ms,backward_ms,optimizer_ms
0,331.124411,135.290358,122.342411,73.163246
1,237.590257,65.200957,114.668206,56.486173
2,237.382984,64.844441,114.642455,56.701037
3,237.304252,64.766229,114.539494,56.660216
4,237.230271,64.630246,114.692707,56.638586
5,236.991596,64.604975,114.507013,56.558344
6,237.990004,64.740898,114.92214,56.91935
7,237.608397,64.747119,114.475252,56.958121
8,238.075756,65.011294,114.806779,56.734647
9,238.469923,65.086965,115.526311,56.572504
10,237.114118,64.82537,114.378991,56.696877
11,237.73244,63.15042,116.514429,56.83701
12,240.335476,66.796155,115.580752,56.603125
13,238.913831,65.714506,114.8886,56.943761
14,238.523243,65.285398,115.235026,56.736567
15,238.90493,65.710195,115.224636,56.658486
16,239.224646,64.544055,116.132031,56.951651
17,239.212935,65.622554,114.997692,56.992252
18,236.206383,62.946607,115.177925,56.826309
19,239.49619,66.154724,115.115903,56.702267
20,237.794821,65.059465,114.778177,56.660586
21,238.428422,65.088814,115.709965,56.396351
22,237.393934,64.768999,114.88187,56.522204
23,238.125347,63.543647,116.55618,56.806199
24,231.935488,62.416027,111.378198,56.89175
25,238.29906,65.334779,115.064743,56.595145
26,239.500771,65.456841,116.111091,56.698126
27,238.533385,65.473712,114.753858,56.999602
28,237.783421,63.374875,116.656671,56.512904
29,240.832274,66.884966,115.566392,56.884379
30,239.041963,65.94686,114.86875,56.850259
31,237.964214,64.84394,114.998092,56.84853
32,238.688997,65.784037,115.070324,56.616385
33,239.47413,64.941542,116.180402,56.594705
34,238.975242,65.797687,115.141625,56.816129
35,236.294804,63.12931,114.996602,56.935401
36,239.263226,66.249775,115.085994,56.696707
37,238.182228,65.235337,115.243586,56.478113
38,239.4287,65.360689,115.939048,56.8711
39,238.197099,65.269048,115.273117,56.386331
40,238.720907,64.202079,116.721132,56.537594
41,233.000686,62.58674,112.833724,56.32425
42,238.012594,64.85574,114.670476,57.137175
43,239.607962,65.877838,116.139692,56.343701
44,238.810939,64.836169,114.919421,57.581923
45,238.620805,63.947625,116.274874,57.060123
46,238.083376,65.055914,114.777279,56.972732
47,238.110776,65.138316,114.775788,56.954991
48,236.364876,64.064736,114.135087,56.914731
49,238.89135,65.774776,115.295507,56.393251
50,238.694966,64.719498,116.217583,56.529504
51,238.934891,65.620033,115.517901,56.581725
52,236.003029,63.024378,115.024013,56.721598
53,240.171053,66.399237,115.563522,56.990792
54,238.137597,65.214206,115.283047,56.401512
55,239.775766,65.383259,115.957779,57.167265
56,238.543084,65.486281,115.414249,56.405092
57,239.231317,64.160209,116.827504,56.754358
58,233.496545,62.635751,113.097628,56.524943
59,238.114146,64.909211,115.378869,56.553534
60,240.270474,66.350787,116.171902,56.486064
61,238.112496,64.851639,114.909761,57.114994
62,239.285267,64.401612,116.688842,56.649856
63,239.481911,66.346476,115.080944,56.631576
64,237.313972,63.629819,115.534371,56.597385
65,234.488973,63.69917,112.998646,56.522324
66,238.982372,65.858728,115.48889,56.351151
67,240.119902,65.308308,116.431317,57.116694
68,239.214536,66.239775,115.094114,56.678426
