step,phase,time_ms
0,forward,189.169097
0,backward,213.041297
0,optimizer,62.519847
1,forward,120.361626
1,backward,208.047763
1,optimizer,56.618198
2,forward,123.371646
2,backward,209.09064
2,optimizer,56.674989
3,forward,124.925731
3,backward,208.779725
3,optimizer,56.866612
4,forward,125.340049
4,backward,207.749918
4,optimizer,56.448085
5,forward,122.295508
5,backward,208.404619
5,optimizer,56.725249
6,forward,120.299484
6,backward,209.064739
6,optimizer,56.372374
7,forward,122.850637
7,backward,211.011954
7,optimizer,56.649759
8,forward,124.162519
8,backward,208.297737
8,optimizer,56.605608
9,forward,125.135055
9,backward,208.675643
9,optimizer,56.427415
10,forward,124.717128
10,backward,208.073314
10,optimizer,56.518626
11,forward,120.702811
11,backward,208.564551
11,optimizer,56.954263
12,forward,123.274114
12,backward,207.946571
12,optimizer,57.041735
13,forward,123.549039
13,backward,208.648044
13,optimizer,56.78682
14,forward,123.809012
14,backward,208.175145
14,optimizer,56.860792
15,forward,124.343452
15,backward,209.155672
15,optimizer,57.011034
16,forward,123.335295
16,backward,208.295667
16,optimizer,56.564468
17,forward,124.346891
17,backward,209.01057
17,optimizer,56.614808
18,forward,125.573272
18,backward,208.785515
18,optimizer,56.498267
19,forward,123.799622
19,backward,208.047053
19,optimizer,56.630348
20,forward,124.492085
20,backward,208.725634
20,optimizer,56.886503
21,forward,124.413762
21,backward,208.228606
21,optimizer,56.646468
22,forward,124.596856
22,backward,209.204623
22,optimizer,56.928894
23,forward,125.880818
23,backward,209.191363
23,optimizer,56.390834
24,forward,123.886174
24,backward,209.850864
24,optimizer,56.767401
25,forward,124.608856
25,backward,208.818745
25,optimizer,56.634038
26,forward,124.729709
26,backward,208.482801
26,optimizer,56.805751
27,forward,124.282381
27,backward,209.251303
27,optimizer,56.458956
28,forward,125.654844
28,backward,208.815397
28,optimizer,56.904233
29,forward,124.110618
29,backward,208.340678
29,optimizer,56.864423
30,forward,124.756218
30,backward,209.279844
30,optimizer,56.712049
31,forward,124.912581
31,backward,208.920307
31,optimizer,56.846612
32,forward,124.457433
32,backward,208.631223
32,optimizer,56.888762
33,forward,124.434353
33,backward,208.910227
33,optimizer,57.015345
34,forward,123.66
34,backward,208.395039
34,optimizer,56.958393
35,forward,124.789379
