batch_size,mode,run,phase,mean_phase_ms,std_phase_ms,avg_gpu_util_percent,avg_cpu_util_percent,avg_gpu_mem_used_mb,avg_gpu_power_w,peak_gpu_power_w
4,fine_grain,1,backward,118.17844969730587,1.3526111841474124,97.71592775041051,0.5116584564860427,8754.622742200329,212.40433333333334,220.061
4,fine_grain,1,forward,66.37656342551506,5.959833697026786,97.71592775041051,0.5116584564860427,8754.622742200329,212.40433333333334,220.061
4,fine_grain,1,optimizer,56.6843903296355,0.6883632016781978,97.71592775041051,0.5116584564860427,8754.622742200329,212.40433333333334,220.061
4,fine_grain,2,backward,117.51634800079239,1.1221416073802797,97.77429983525535,1.1177924217462931,8752.380148270182,212.52916639209226,218.04
4,fine_grain,2,forward,66.16913425039618,7.70587702545089,97.77429983525535,1.1177924217462931,8752.380148270182,212.52916639209226,218.04
4,fine_grain,2,optimizer,56.64746883280507,0.7584185989085497,97.77429983525535,1.1177924217462931,8752.380148270182,212.52916639209226,218.04
4,fine_grain,3,backward,117.61905820839937,1.7422253524944071,97.8102310231023,1.1603960396039603,8752.510726072607,212.33076237623763,218.044
4,fine_grain,3,forward,66.01185527654518,6.9780282802874884,97.8102310231023,1.1603960396039603,8752.510726072607,212.33076237623763,218.044
4,fine_grain,3,optimizer,56.65368853248812,0.6967121051724843,97.8102310231023,1.1603960396039603,8752.510726072607,212.33076237623763,218.044
8,fine_grain,1,backward,206.54156365414508,2.678101936579873,98.06,1.6548333333333332,11712.94,224.05774333333335,232.995
8,fine_grain,1,forward,123.71718645725387,10.103491145088736,98.06,1.6548333333333332,11712.94,224.05774333333335,232.995
8,fine_grain,1,optimizer,56.754766667098444,0.5460121299970554,98.06,1.6548333333333332,11712.94,224.05774333333335,232.995
8,fine_grain,2,backward,209.67725434585492,1.1726157323024418,98.48178807947019,1.0334437086092714,11712.971854304637,225.36142052980134,233.432
8,fine_grain,2,forward,125.1282344365285,7.440105299688134,98.48178807947019,1.0334437086092714,11712.971854304637,225.36142052980134,233.432
8,fine_grain,2,optimizer,56.809117225388604,0.5547705520889467,98.48178807947019,1.0334437086092714,11712.971854304637,225.36142052980134,233.432
8,fine_grain,3,backward,209.6028421981865,1.0470223745598342,98.40397350993378,1.030298013245033,11712.971854304637,225.22375496688738,233.369
8,fine_grain,3,forward,124.9654497357513,8.929353692032839,98.40397350993378,1.030298013245033,11712.971854304637,225.22375496688738,233.369
8,fine_grain,3,optimizer,56.74043140544041,0.4930852872399543,98.40397350993378,1.030298013245033,11712.971854304637,225.22375496688738,233.369
16,fine_grain,1,backward,422.26481943309005,3.5596429068497306,98.72,0.9741666666666666,19341.383333333335,229.0935583333333,236.085
16,fine_grain,1,forward,250.73731796593674,11.199693795797277,98.72,0.9741666666666666,19341.383333333335,229.0935583333333,236.085
16,fine_grain,1,optimizer,56.74432257420925,0.5657231549117495,98.72,0.9741666666666666,19341.383333333335,229.0935583333333,236.085
16,fine_grain,2,backward,426.75199848786406,3.0827551746204187,98.59173553719009,1.0256198347107437,19338.846694214877,231.22908099173551,237.753
16,fine_grain,2,forward,249.82181231796116,10.275316981553159,98.59173553719009,1.0256198347107437,19338.846694214877,231.22908099173551,237.753
16,fine_grain,2,optimizer,56.691761871359226,0.8160200498126287,98.59173553719009,1.0256198347107437,19338.846694214877,231.22908099173551,237.753
16,fine_grain,3,backward,426.88822605582527,3.123968565546245,98.7900826446281,1.260661157024793,19341.448347107438,231.1260545454545,238.394
16,fine_grain,3,forward,249.91515832281556,9.50031502814006,98.7900826446281,1.260661157024793,19341.448347107438,231.1260545454545,238.394
16,fine_grain,3,optimizer,56.628771849514564,0.6023063385366391,98.7900826446281,1.260661157024793,19341.448347107438,231.1260545454545,238.394
