step,phase,time_ms
0,forward,120.98257
0,backward,125.868486
0,optimizer,68.170645
1,forward,65.466478
1,backward,118.201751
1,optimizer,56.371066
2,forward,65.965696
2,backward,116.705764
2,optimizer,56.867765
3,forward,64.964299
3,backward,115.597824
3,optimizer,56.927406
4,forward,64.252676
4,backward,116.631053
4,optimizer,56.969558
5,forward,65.00393
5,backward,115.904259
5,optimizer,56.330496
6,forward,62.84261
6,backward,116.094933
6,optimizer,56.910996
7,forward,64.302537
7,backward,114.495134
7,optimizer,56.704643
8,forward,65.961356
8,backward,116.012391
8,optimizer,56.303156
9,forward,65.710252
9,backward,117.007709
9,optimizer,56.543
10,forward,66.109829
10,backward,116.301007
10,optimizer,56.859916
11,forward,63.615895
11,backward,117.295924
11,optimizer,57.266783
12,forward,66.924424
12,backward,115.548044
12,optimizer,56.430468
13,forward,62.528045
13,backward,119.163357
13,optimizer,56.285785
14,forward,64.932238
14,backward,115.212928
14,optimizer,56.471508
15,forward,66.233031
15,backward,116.178605
15,optimizer,56.415867
16,forward,65.58169
16,backward,116.975398
16,optimizer,56.303775
17,forward,66.087489
17,backward,116.159894
17,optimizer,56.5732
18,forward,63.725427
18,backward,117.442767
18,optimizer,56.613681
19,forward,66.913924
19,backward,115.868069
19,optimizer,56.463179
20,forward,62.452714
20,backward,118.834411
20,optimizer,57.295024
21,forward,64.426069
21,backward,114.205949
21,optimizer,56.341036
22,forward,66.093279
22,backward,116.444109
22,optimizer,56.509729
23,forward,65.344126
23,backward,117.188033
23,optimizer,56.525709
24,forward,65.960607
24,backward,116.308347
24,optimizer,56.953217
25,forward,63.750118
25,backward,117.387587
25,optimizer,56.634501
26,forward,66.558217
26,backward,116.065742
26,optimizer,56.661062
27,forward,62.77381
27,backward,119.017495
27,optimizer,56.936857
28,forward,64.240536
28,backward,114.079487
28,optimizer,56.5642
29,forward,66.244012
29,backward,116.55162
29,optimizer,56.838555
30,forward,65.531309
30,backward,117.468207
30,optimizer,56.646452
31,forward,65.62643
31,backward,116.329427
31,optimizer,56.458528
32,forward,64.005642
32,backward,117.284135
32,optimizer,56.841705
33,forward,66.471746
33,backward,116.165825
33,optimizer,56.908675
34,forward,62.892772
34,backward,118.582498
34,optimizer,57.076969
35,forward,64.236095
35,backward,114.099808
35,optimizer,56.945046
36,forward,66.089179
36,backward,116.247015
36,optimizer,56.461169
37,forward,65.625421
37,backward,117.007239
37,optimizer,56.231635
38,forward,65.667591
38,backward,116.421978
38,optimizer,56.387928
39,forward,64.256126
39,backward,117.64753
39,optimizer,56.893397
40,forward,66.124969
40,backward,116.090143
40,optimizer,56.609141
41,forward,62.980114
41,backward,118.484815
41,optimizer,56.891586
42,forward,64.233196
42,backward,114.048827
42,optimizer,56.409227
43,forward,66.479155
43,backward,116.560322
43,optimizer,56.54076
44,forward,65.798433
44,backward,117.672731
44,optimizer,56.355926
45,forward,65.640331
45,backward,116.640923
45,optimizer,56.54972
46,forward,64.393669
46,backward,118.345003
46,optimizer,57.10799
47,forward,66.462125
47,backward,116.260535
47,optimizer,56.482809
48,forward,64.287276
48,backward,116.251715
48,optimizer,56.895116
49,forward,64.104883
49,backward,113.528037
49,optimizer,56.170433
50,forward,66.053468
50,backward,116.803995
50,optimizer,56.462899
51,forward,66.245012
51,backward,117.772683
51,optimizer,56.58781
52,forward,65.449057
52,backward,116.363128
52,optimizer,56.60328
53,forward,64.803966
53,backward,118.14535
53,optimizer,56.875086
54,forward,65.164902
54,backward,116.025531
54,optimizer,56.471899
55,forward,63.387161
55,backward,118.567527
55,optimizer,56.676302
56,forward,65.510199
56,backward,116.413458
56,optimizer,56.927067
57,forward,65.610801
57,backward,116.556181
57,optimizer,56.466809
58,forward,66.74366
58,backward,117.371775
58,optimizer,56.277335
59,forward,65.472948
59,backward,116.365188
59,optimizer,56.482528
60,forward,65.212403
60,backward,117.58702
60,optimizer,56.780383
61,forward,66.252402
61,backward,116.110813
61,optimizer,57.046419
62,forward,65.143891
62,backward,118.075317
62,optimizer,56.952437
63,forward,62.77673
63,backward,114.440013
63,optimizer,56.903956
64,forward,62.984504
64,backward,119.766158
64,optimizer,56.720553
65,forward,66.489346
65,backward,116.753094
65,optimizer,56.782375
66,forward,65.539829
66,backward,116.853956
66,optimizer,56.289126
67,forward,65.963446
67,backward,117.803444
67,optimizer,56.61024
68,forward,65.822223
68,backward,116.738515
