step,step_ms,forward_ms,backward_ms,optimizer_ms
0,315.404337,120.98257,125.868486,68.170645
1,241.174385,65.466478,118.201751,56.371066
2,240.619504,65.965696,116.705764,56.867765
3,238.685771,64.964299,115.597824,56.927406
4,238.940595,64.252676,116.631053,56.969558
5,238.385645,65.00393,115.904259,56.330496
6,236.946199,62.84261,116.094933,56.910996
7,236.631904,64.302537,114.495134,56.704643
8,239.423313,65.961356,116.012391,56.303156
9,240.405501,65.710252,117.007709,56.543
10,240.403251,66.109829,116.301007,56.859916
11,239.325992,63.615895,117.295924,57.266783
12,240.064924,66.924424,115.548044,56.430468
13,239.087618,62.528045,119.163357,56.285785
14,237.781464,64.932238,115.212928,56.471508
15,239.960373,66.233031,116.178605,56.415867
16,240.072235,65.58169,116.975398,56.303775
17,239.974703,66.087489,116.159894,56.5732
18,238.898924,63.725427,117.442767,56.613681
19,240.35882,66.913924,115.868069,56.463179
20,239.925313,62.452714,118.834411,57.295024
21,236.241487,64.426069,114.205949,56.341036
22,240.186447,66.093279,116.444109,56.509729
23,240.190717,65.344126,117.188033,56.525709
24,240.37327,65.960607,116.308347,56.953217
25,238.919775,63.750118,117.387587,56.634501
26,240.417142,66.558217,116.065742,56.661062
27,239.883181,62.77381,119.017495,56.936857
28,236.004923,64.240536,114.079487,56.5642
29,240.759417,66.244012,116.55162,56.838555
30,240.855708,65.531309,117.468207,56.646452
31,239.553055,65.62643,116.329427,56.458528
32,239.258851,64.005642,117.284135,56.841705
33,240.677795,66.471746,116.165825,56.908675
34,239.696278,62.892772,118.582498,57.076969
35,236.43245,64.236095,114.099808,56.945046
36,239.939624,66.089179,116.247015,56.461169
37,240.001904,65.625421,117.007239,56.231635
38,239.631487,65.667591,116.421978,56.387928
39,239.941033,64.256126,117.64753,56.893397
40,239.937542,66.124969,116.090143,56.609141
41,239.559795,62.980114,118.484815,56.891586
42,235.921411,64.233196,114.048827,56.409227
43,240.717506,66.479155,116.560322,56.54076
44,240.950771,65.798433,117.672731,56.355926
45,239.971843,65.640331,116.640923,56.54972
46,241.191385,64.393669,118.345003,57.10799
47,240.526123,66.462125,116.260535,56.482809
48,238.551758,64.287276,116.251715,56.895116
49,235.120788,64.104883,113.528037,56.170433
50,240.457482,66.053468,116.803995,56.462899
51,241.737174,66.245012,117.772683,56.58781
52,239.548665,65.449057,116.363128,56.60328
53,240.945662,64.803966,118.14535,56.875086
54,238.776832,65.164902,116.025531,56.471899
55,239.78346,63.387161,118.567527,56.676302
56,239.974063,65.510199,116.413458,56.927067
57,239.979733,65.610801,116.556181,56.466809
58,241.52506,66.74366,117.371775,56.277335
59,239.432474,65.472948,116.365188,56.482528
60,240.730136,65.212403,117.58702,56.780383
61,240.524824,66.252402,116.110813,57.046419
62,241.303347,65.143891,118.075317,56.952437
63,235.23412,62.77673,114.440013,56.903956
64,240.660965,62.984504,119.766158,56.720553
65,241.283996,66.489346,116.753094,56.782375
66,239.902832,65.539829,116.853956,56.289126
67,241.48893,65.963446,117.803444,56.61024
68,240.284339,65.822223,116.738515,56.58309
69,241.427809,65.341376,118.254771,56.669492
70,240.997761,66.320663,116.945528,56.583681
71,240.904259,64.190135,118.977904,56.638792
72,242.02657,67.586775,116.901537,56.426578
73,238.540747,64.397218,116.650523,56.379467
74,237.726573,64.763805,114.938683,56.882965
75,239.079317,65.664942,115.88783,56.384866
76,240.172096,65.453278,116.703554,56.859485
77,239.724679,65.349486,116.346417,56.695913
78,239.412814,63.894079,117.809963,56.604741
79,241.755205,66.780571,117.381625,56.473649
80,237.399978,62.924252,116.300486,56.968927
81,236.483091,64.281927,114.168599,56.864836
82,239.880252,66.044358,115.974051,56.721914
83,239.949833,65.292104,116.704993,56.811454
84,239.602527,66.009267,115.92772,56.539809
85,239.567616,63.760687,117.775843,56.892665
86,240.746787,66.535767,116.248735,56.849605
87,238.778693,62.634037,118.629698,56.377827
88,236.601804,64.408029,114.686808,56.402587
89,240.425131,66.17812,116.167644,56.918937
90,240.088205,65.150042,117.015089,56.823025
91,239.617337,65.946066,116.123903,56.406527
92,240.107785,63.811849,118.058458,56.791503
93,239.567566,66.454745,115.585014,56.403527
94,240.193168,63.138757,118.599198,56.957246
95,236.476391,64.307756,114.345502,56.703052
96,239.896352,66.060619,116.433069,56.285875
97,240.045724,65.428017,117.029939,56.479008
98,239.656508,65.948646,116.171474,56.398808
99,239.664768,63.88883,118.105518,56.549251
100,240.179166,66.582217,116.226495,56.256636
101,239.611107,65.580879,116.351247,56.5135
102,236.470892,64.423159,114.517475,56.331546
103,240.272349,66.314072,116.304037,56.533799
104,241.007521,65.564239,117.273894,56.956107
105,239.875652,65.539059,116.575281,56.626371
106,239.659178,64.219625,117.726662,56.58471
107,239.950213,66.376934,115.893869,56.55859
108,239.080117,63.089816,118.070768,56.556751
109,237.263465,64.434509,115.208447,56.513049
110,240.396141,66.060208,116.214125,56.965037
111,240.92275,65.870305,117.394896,56.523149
112,239.805711,65.59861,116.500671,56.56158
113,240.123246,64.381908,117.937146,56.695212
114,241.575242,66.609237,117.365395,56.459239
115,239.630647,63.669466,118.096888,56.656312
116,234.867023,63.653955,113.630059,56.434698
117,239.749369,65.65329,116.567841,56.187143
118,241.353638,66.356553,117.538488,56.337166
119,239.105658,65.396417,116.140253,56.437668
120,240.134676,64.556381,117.803743,56.671663
121,240.89973,66.642998,116.329157,56.811624
122,239.536545,64.065643,117.847674,56.513928
123,235.636487,63.636295,113.936295,56.497468
124,240.025454,65.624011,116.323817,56.59363
125,241.507341,66.062188,117.856764,56.444978
126,239.23226,65.406586,116.358837,56.362617
127,240.164987,64.693404,117.931625,56.416458
128,240.204438,66.340963,116.285276,56.215854
129,239.840501,64.224795,117.960316,56.513359
130,234.465516,63.378801,113.481246,56.484109
131,240.237058,65.63453,116.816416,56.609321
132,241.409119,66.17717,117.697562,56.394876
133,239.387963,65.414577,116.49806,56.142312
134,240.165627,64.704574,117.930845,56.422809
135,240.463621,66.371913,116.262036,56.697703
136,240.694796,64.695744,118.443054,56.441398
137,239.735529,65.265164,116.47052,56.883846
138,239.561946,65.412787,116.619402,56.417247
139,242.169212,66.991144,117.691532,56.356796
140,240.084616,65.556749,116.735335,56.653032
141,240.784088,65.830914,117.614229,56.239255
142,239.685058,65.674122,116.586002,56.320277
143,240.96321,64.931168,118.363863,56.57013
144,234.421655,62.856172,114.046827,56.403688
145,240.018754,65.57904,116.814915,56.414277
146,241.672143,66.920503,117.235304,56.379186
147,240.659725,65.932176,116.746745,56.859675
148,241.740575,66.16387,117.855424,56.50067
149,241.101743,66.293642,117.381335,56.315136
150,241.262586,66.142669,117.782762,56.207414
151,240.36059,66.313013,116.595572,56.321586
152,241.147854,64.362078,118.73997,56.931616
153,239.987453,65.893115,116.488241,56.409296
154,239.75075,63.29998,118.792131,56.499639
155,236.347668,64.311606,114.424014,56.340536
156,241.023003,66.047018,117.369406,56.469798
157,241.748195,66.229241,118.000056,56.409228
158,240.020094,65.553389,116.900897,56.437069
159,240.959501,65.00323,118.267111,56.580351
160,241.356098,66.627468,116.927599,56.691222
161,241.189115,65.202822,118.476095,56.382607
162,234.845033,63.017045,114.253411,56.411797
163,239.754869,65.506458,116.647113,56.461098
164,242.078561,66.729031,117.766632,56.413978
165,240.079615,65.529068,116.861936,56.55323
166,241.782655,65.756083,118.335452,56.57646
167,241.171435,66.082788,117.05661,56.921097
168,241.245896,65.207953,118.391354,56.53989
169,242.229324,66.374113,117.853595,56.865336
170,241.244055,64.199045,119.306589,56.55107
171,242.6183,67.607845,117.289223,56.573871
172,239.119198,64.009862,116.938638,56.754993
173,236.547353,64.387418,114.21639,56.602101
174,240.002433,65.417166,116.545791,56.938316
175,241.060533,65.940766,117.310265,56.691812
176,239.286512,65.446208,116.338007,56.391837
177,239.912522,64.183615,117.880844,56.706213
178,240.35388,66.550836,116.267185,56.422818
179,237.605372,64.061482,116.110913,56.295106
180,238.032849,64.703504,114.839481,57.12371
181,240.096955,65.764552,116.713943,56.336547
182,241.633413,66.369574,117.603609,56.54302
183,239.216199,65.113091,116.065883,56.907706
184,240.277769,64.393458,117.758393,56.998827
185,240.083705,66.349493,116.256985,56.361286
186,237.346057,63.807398,116.155184,56.254545
187,236.779866,64.263896,114.513004,56.880316
188,239.562206,65.703951,116.291866,56.466738
189,240.616495,65.61869,117.069479,56.806405
190,240.158846,65.450857,116.406368,57.138141
