timestamp_perf_counter_sec,elapsed_sec,step,cpu_util_percent,gpu_util_percent,gpu_mem_used_mb,gpu_power_w,gpu_energy_mj
9622228.08534528,0.00024406425654888153,-1,0.0,1.0,1991.25,17.862,137493718155.0
9622228.588276628,0.503175413236022,1,1.1,95.0,8757.25,57.885,137493802361.0
9622229.095482964,1.0103817488998175,3,1.0,98.0,8757.25,177.109,137493906834.0
9622229.598633984,1.5135327689349651,5,1.1,99.0,8757.25,210.5,137494010615.0
9622230.10090725,2.015806034207344,8,1.0,98.0,8757.25,207.941,137494111813.0
9622230.6029404,2.5178391840308905,10,1.1,99.0,8757.25,205.929,137494208332.0
9622231.105042832,3.0199416168034077,12,1.1,98.0,8757.25,204.311,137494306439.0
9622231.614668613,3.5295673981308937,14,1.1,97.0,8757.25,205.251,137494409529.0
9622232.117334016,4.032232800498605,16,1.1,98.0,8757.25,206.003,137494512624.0
9622232.619495148,4.534393932670355,18,1.0,98.0,8757.25,210.895,137494618620.0
9622233.1216182,5.036516984924674,20,1.1,98.0,8757.25,209.219,137494716104.0
9622233.623872597,5.538771381601691,22,1.0,97.0,8757.25,208.236,137494815836.0
9622234.125975449,6.040874233469367,24,1.1,98.0,8757.25,210.134,137494917118.0
9622234.633212805,6.548111589625478,27,1.0,99.0,8757.25,210.285,137495020957.0
9622235.15482552,7.06972430460155,29,1.1,98.0,8757.25,207.158,137495143126.0
9622235.65682175,7.571720534935594,31,1.0,99.0,8757.25,207.508,137495246182.0
9622236.158927033,8.07382581755519,33,1.1,98.0,8757.25,209.826,137495348542.0
9622236.661042703,8.575941488146782,35,1.1,98.0,8757.25,210.766,137495449446.0
9622237.163194844,9.078093629330397,37,1.0,99.0,8757.25,214.066,137495552009.0
9622237.665319119,9.580217903479934,39,1.1,98.0,8757.25,212.027,137495652761.0
9622238.172572564,10.087471349164844,41,1.1,97.0,8757.25,208.173,137495755309.0
9622238.67536984,10.590268624946475,44,1.0,98.0,8757.25,209.25,137495857291.0
9622239.17741844,11.092317225411534,46,1.1,98.0,8757.25,207.122,137495955198.0
9622239.67947542,11.594374204054475,48,1.0,99.0,8757.25,204.453,137496055405.0
9622240.193593409,12.108492193743587,50,1.1,98.0,8757.25,204.957,137496157469.0
