task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #1,2026-02-21T19:53:56,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.3481564512476325,1.9189981135875625e-07,5.509730372790766e-07,360.0,133.83005962995517,10.0,3.482455825433135e-05,1.2946399245095108e-05,9.672970045357943e-07,4.873825450396225e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #2,2026-02-21T19:53:57,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.2567451214417815,1.4578847701164722e-07,5.677310132044939e-07,360.0,150.69048327428848,10.0,2.559982994571328e-05,1.0716119685838521e-05,7.110586079458395e-07,3.702700823949765e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #3,2026-02-21T19:53:57,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.2586965225636959,1.6091573654010747e-07,6.220639586436863e-07,360.0,200.0220319851984,10.0,2.581067821010947e-05,1.4341400362383183e-05,7.169148134481576e-07,4.086899338594081e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #4,2026-02-21T19:53:57,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.2574548115953803,1.5742921843721297e-07,6.114528700722983e-07,360.0,190.57699599514743,10.0,2.5676945131272076e-05,1.3593344206697111e-05,7.132065301347108e-07,3.99834958681039e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #5,2026-02-21T19:53:57,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.30341833736747503,1.7131710794000335e-07,5.647357045740584e-07,360.0,171.1880627090302,10.0,2.8943161293864235e-05,1.3763622121132357e-05,8.03925368624429e-07,4.351070878362104e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #6,2026-02-21T19:53:58,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.25369569193571806,1.4457448283493015e-07,5.697639752324375e-07,360.0,149.80071125553386,10.0,2.5430106185376632e-05,1.0582230689948346e-05,7.063440305905211e-07,3.671868090591548e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #7,2026-02-21T19:53:58,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.25625433307141066,1.5913900364880523e-07,6.209663718929443e-07,360.0,199.58761302789264,10.0,2.554513905197382e-05,1.4163066886396791e-05,7.095370829726261e-07,4.0417743021343186e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #8,2026-02-21T19:53:58,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.25824098475277424,1.47802248509002e-07,5.722996083550515e-07,360.0,154.54829942597794,10.0,2.57625904865563e-05,1.1060286627895266e-05,7.155839871201254e-07,3.7538461101571685e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #9,2026-02-21T19:53:58,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.25861173029989004,1.606346539302368e-07,6.212072062274833e-07,360.0,199.13405160470248,10.0,2.580580916255711e-05,1.4275011420039618e-05,7.167841152598466e-07,4.079760469785659e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #10,2026-02-21T19:53:59,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.2585291303694248,1.582196613310356e-07,6.121349617491863e-07,360.0,191.34265213768532,10.0,2.5770654715597647e-05,1.3697788730837601e-05,7.158072147932321e-07,4.01842506612285e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
