task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #1,2026-02-21T20:08:27,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.12427949532866478,5.2148957169202304e-08,4.217223809752553e-07,360.0,21.656270362088055,10.0,1.2174173537641763e-05,7.325005881853031e-07,3.379931233616339e-07,1.32446672491887e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #1,2026-02-21T20:08:28,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.12668450362980366,7.237734873850289e-08,5.736334042438306e-07,360.0,153.56204059729896,10.0,1.2639059964567424e-05,5.392226537281886e-06,3.5093919270568424e-07,1.8382225694554992e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #1,2026-02-21T20:08:28,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.08922102022916079,5.609702010770431e-08,6.301601754242936e-07,360.0,239.3885104275626,10.0,8.41622790321708e-06,5.597504475929327e-06,2.3365443986323138e-07,1.4247386819009638e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #2,2026-02-21T20:08:28,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.06865727063268423,3.846699214603914e-08,5.646489255027244e-07,360.0,153.0667048992644,10.0,6.723677925765515e-06,2.8594467309517313e-06,1.8662988311714606e-07,9.769754539834396e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #2,2026-02-21T20:08:28,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.11100404523313046,1.0089037800490601e-07,9.140735356714706e-07,360.0,303.5799492573763,10.0,1.3694197870790955e-05,1.1549453688530775e-05,3.8024502185483785e-07,2.5623896581176572e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #2,2026-02-21T20:08:28,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.0584452198818326,2.6488866067971148e-08,4.554840015793861e-07,360.0,0.0,10.0,6.545871123671528e-06,0.0,1.8170764152374522e-07,6.72757876519528e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #3,2026-02-21T20:08:28,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.06677348166704178,4.057943275445014e-08,6.1056751245296e-07,360.0,192.07904114742496,10.0,6.600547861307859e-06,3.5225028156560256e-06,1.832164694658585e-07,1.030626714642974e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #3,2026-02-21T20:08:28,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.1173798767849803,7.105310564647548e-08,6.086234105187323e-07,360.0,91.06894344685814,10.0,1.4089935086667542e-05,3.5647250733461533e-06,3.9123744548608844e-07,1.8045897605499782e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #3,2026-02-21T20:08:28,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.059738969430327415,4.668223094390422e-08,7.8977080110077e-07,360.0,373.0252940924538,10.0,5.743753444403414e-06,5.953060316699066e-06,1.594274537637828e-07,1.1856241214866254e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #4,2026-02-21T20:08:28,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.0667176116257906,4.439431198507736e-08,6.687805447286561e-07,360.0,245.8944280165137,10.0,6.590009853243834e-06,4.502225827707207e-06,1.829253561380838e-07,1.1275161037089116e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #4,2026-02-21T20:08:28,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.11819429975003004,7.143841360359268e-08,6.078639491242817e-07,360.0,91.50378451231904,10.0,1.4152993075549605e-05,3.597780651176663e-06,3.9298347093992774e-07,1.81437571976662e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #4,2026-02-21T20:08:28,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.05868532322347164,4.3823539607953085e-08,7.508892528985656e-07,360.0,317.66569895694204,10.0,5.826249532401559e-06,5.142226338961109e-06,1.6172176433934113e-07,1.1130197635702004e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #5,2026-02-21T20:08:29,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.0665953392162919,4.8054212686343005e-08,7.254153270561242e-07,360.0,295.31969526581685,10.0,6.6033391281962326e-06,5.41805988873989e-06,1.8329483508649817e-07,1.2204693852022638e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #5,2026-02-21T20:08:29,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.1173383453860879,7.600370958340612e-08,6.512970857310263e-07,360.0,121.799305660048,10.0,1.4129779767245063e-05,4.781114935070718e-06,3.9234543477909444e-07,1.930324013709489e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #5,2026-02-21T20:08:29,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.059587037190794945,4.148471967649609e-08,7.033879070539701e-07,360.0,288.0612066635348,10.0,5.7634307071566455e-06,4.612781470569871e-06,1.5997757307357288e-07,1.0536189750800097e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #6,2026-02-21T20:08:29,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.06685983389616013,2.6694452701997705e-08,4.0270844462125124e-07,360.0,0.0,10.0,6.596679892390965e-06,0.0,1.831132737505764e-07,6.779793166141542e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #6,2026-02-21T20:08:29,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.11730082612484694,9.603997621139007e-08,8.234899174338685e-07,360.0,247.85027639988314,10.0,1.421181801706552e-05,9.785563385378282e-06,3.9462174754589813e-07,2.439200314998969e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #6,2026-02-21T20:08:29,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.058773226104676723,2.3450865480479892e-08,4.0350382264154643e-07,360.0,0.0,10.0,5.795134231448176e-06,0.0,1.6086042030817898e-07,5.955994651756364e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #7,2026-02-21T20:08:29,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.06577396672219038,4.0517507794079575e-08,6.212770648642022e-07,360.0,202.10280537719552,10.0,6.4749749377369795e-06,3.6358362400790156e-06,1.7972841548422968e-07,1.0290539593300256e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #7,2026-02-21T20:08:29,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.11844299361109734,6.911465257856088e-08,5.866338670045722e-07,360.0,165.4470192895202,10.0,1.1801460664719347e-05,5.4244487834864685e-06,3.2766448954741165e-07,1.755357393775324e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #7,2026-02-21T20:08:29,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.05906828958541155,4.265766212746213e-08,7.326636878576521e-07,360.0,309.32440069282893,10.0,5.740851163864145e-06,4.93389283562351e-06,1.593468659039997e-07,1.0834090865391639e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #8,2026-02-21T20:08:29,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.06718105915933847,4.152692209768935e-08,6.212060149138515e-07,360.0,194.28873919064128,10.0,6.728196982294307e-06,3.6319473508683586e-06,1.8676388750059777e-07,1.0546908220663285e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #8,2026-02-21T20:08:30,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.11926837638020515,6.610367379212041e-08,5.585870567791095e-07,360.0,152.4733255041119,10.0,1.1567672062665237e-05,4.900003919061646e-06,3.211767749033041e-07,1.6788852756630178e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #8,2026-02-21T20:08:30,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.05852256156504154,4.5276363301886494e-08,7.77916093605752e-07,360.0,214.70140480033996,10.0,7.0796025916933995e-06,4.22305893366115e-06,1.9652079273429178e-07,1.1499182318088841e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #9,2026-02-21T20:08:30,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.06656076852232218,2.912517150989965e-08,4.3931698968935377e-07,360.0,0.0,10.0,7.1973513811826606e-06,0.0,1.9978992640972113e-07,7.397141307592388e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #9,2026-02-21T20:08:30,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.11640929151326418,8.748571893856193e-08,7.571021575064339e-07,360.0,323.8891335009008,10.0,1.1527134291827685e-05,1.037223051980618e-05,3.2004856297539326e-07,2.2219413374609254e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #9,2026-02-21T20:08:30,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.07569301407784224,2.3184520692216088e-08,3.085131040312028e-07,360.0,0.0,10.0,5.7293951511383175e-06,0.0,1.589538891696264e-07,5.88834904030795e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #10,2026-02-21T20:08:30,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.06513969600200653,3.7408101507279677e-08,5.786635216665743e-07,360.0,155.9693901176146,10.0,6.502541434019797e-06,2.8177800324158397e-06,1.8049856492628695e-07,9.500820031361947e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #10,2026-02-21T20:08:30,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.11539936438202858,7.247868972022431e-08,6.33404655943624e-07,360.0,154.79899712182535,10.0,1.2627076916396618e-05,5.4302821226315245e-06,3.506049953608048e-07,1.8407964034388954e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #10,2026-02-21T20:08:30,energy-efficiency,d5bb6562-9b15-44a1-84f3-c82fa312ca16,0.0781667036935687,4.580004821416552e-08,5.920395232068342e-07,360.0,360.69819630453304,10.0,5.730342213064433e-06,5.742782370532495e-06,1.590619743284254e-07,1.163218655792533e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
